id,5151032@初級會計學（一）@1@1,5152020@統計學（一）@1@2,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5152021@統計學（二）@2@2,5152200@投資學@2@1,5152400@商用軟體應用與設計@2@1,5152100@財務管理（一）@1@1,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154210@投資組合分析@1@1,5152101@財務管理（二）@2@1,5152200@投資學@2@2,5154180@國際財務管理@2@1
403120045,86,100,90,94,96,88,88,97,86,86,96,-1,NaN,-1
403120002,NaN,82,88,73,-1,NaN,NaN,71,NaN,NaN,NaN,-1,-1,NaN
403120028,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120025,NaN,81,NaN,NaN,-1,NaN,NaN,76,NaN,NaN,NaN,-1,-1,NaN
