id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151013@經濟學原理（二）@2@1,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5153173@金融倫理學@1@1,5154441@不動產概論@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5152400@商用軟體應用與設計@2@2,5153351@財務風險管理@2@1,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153300@金融市場與機構@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5153340@期貨與選擇權@1@2,5154172@財務金融個案研究@1@1,5154220@證券分析@1@1,5154314@金融風險與金控公司管理@1@1,5154400@風險管理與保險@1@1,5152101@財務管理（二）@2@3,5153100@財務理論與政策@2@1,5154171@高階財務管理@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154340@實質選擇權@2@1,5154411@人身風險與退休規畫@2@1,5154661@財務預測@2@1,5154172@財務金融個案研究@1@2,5154210@投資組合分析@1@1,5154350@國際金融市場@1@1,5153174@企業價值評估@2@1,5154315@銀行管理@2@1,5154320@投資銀行@2@1,5154400@風險管理與保險@2@1
401515071,70,85,NaN,NaN,74,NaN,NaN,NaN,70,NaN,88,79,NaN,NaN,78,NaN,91,86,NaN,NaN,83,NaN,NaN,85,87,NaN,83,87,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,86,NaN,88,NaN,90,86,91,NaN,NaN,NaN,NaN
401515073,70,NaN,85,73,67,NaN,NaN,NaN,61,79,NaN,87,NaN,NaN,100,90,NaN,NaN,87,NaN,84,NaN,NaN,90,86,82,NaN,86,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,92,93,NaN,NaN,NaN,NaN,NaN,NaN
401515075,NaN,82,NaN,NaN,NaN,NaN,NaN,96,NaN,83,NaN,87,NaN,100,NaN,94,NaN,NaN,94,NaN,99,93,NaN,87,91,93,NaN,92,NaN,98,91,NaN,NaN,95,NaN,97,NaN,NaN,91,97,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401515076,NaN,82,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,99,NaN,88,NaN,79,NaN,NaN,90,84,NaN,NaN,96,80,84,88,NaN,NaN,72,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,97,NaN,88,NaN,NaN,NaN,NaN,90,93,NaN
401515077,NaN,82,NaN,NaN,NaN,NaN,NaN,81,NaN,72,NaN,72,NaN,75,NaN,72,NaN,NaN,75,83,NaN,90,NaN,70,83,NaN,74,86,NaN,75,NaN,74,NaN,NaN,NaN,86,NaN,NaN,78,NaN,NaN,87,94,NaN,NaN,NaN,80,NaN,NaN
401515078,NaN,82,NaN,NaN,NaN,NaN,NaN,97,NaN,79,NaN,65,NaN,83,NaN,86,NaN,80,NaN,83,NaN,NaN,NaN,92,90,NaN,92,90,NaN,93,NaN,77,NaN,NaN,NaN,89,92,NaN,88,NaN,NaN,90,96,NaN,NaN,NaN,NaN,NaN,NaN
401515079,NaN,82,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,72,NaN,86,NaN,82,NaN,94,NaN,NaN,99,NaN,NaN,80,86,76,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,84,93,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
401515081,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,67,91,NaN,87,NaN,88,NaN,91,NaN,NaN,NaN,78,74,NaN,NaN,NaN,86,NaN,NaN,94,90,NaN,NaN,NaN,NaN,NaN,NaN
401515083,NaN,85,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,64,NaN,78,NaN,22,-1,77,NaN,NaN,NaN,20,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,40,85,0,NaN,-1,NaN,NaN,-1
401515084,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,86,84,NaN,89,NaN,80,NaN,94,NaN,NaN,NaN,82,98,NaN,NaN,NaN,87,NaN,NaN,92,92,NaN,NaN,NaN,NaN,NaN,NaN
401515082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,69,73,NaN,73,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401515080,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,89,85,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,98,88,93,90,NaN,NaN,94,NaN,NaN,NaN,NaN,92,100,90,NaN,99,NaN,NaN,NaN,85,93,96,NaN,NaN,NaN,NaN,NaN
