id,2605202@有機合成（二）@1@1,2605237@生化分子@1@1,2605266@有機反應與機制@1@1,2605307@高等無機化學@1@1,2605317@固態化學@1@1,2605417@高等量子化學@1@1,2605441@光譜應用（一）@1@1,2605507@光譜化學分析與化學計量學@1@1,2605527@分離方法@1@1,2605707@奈米材料科學@1@1,2605717@工業觸媒化學@1@1,2605901@有機化學書報討論（一）@1@1,2605905@無機化學書報討論（一）@1@1,2605909@物理化學書報討論（一）@1@1,2605913@分析化學書報討論（一）@1@1,2605914@分析化學書報討論（三）@1@1,2605211@高等有機化學（一）@2@1,2605242@有機光譜分析化學（二）@2@1,2605256@高等有機合成@2@1,2605269@藥物生化@2@1,2605328@有機金屬化學@2@1,2605338@無機光譜化學@2@1,2605421@化學動力學（一）@2@1,2605457@計算化學@2@1,2605519@電分析與感測器@2@1,2605531@生物分析化學（一）@2@1,2605728@應用化學專論@2@1,2605921@有機化學書報討論（二）@2@1,2605925@無機化學書報討論（二）@2@1,2605929@物理化學書報討論（二）@2@1,2605933@分析化學書報討論（二）@2@1,2605934@分析化學書報討論（四）@2@1,2605338@無機光譜化學@1@1,2605531@生物分析化學（一）@1@1,2605902@有機化學書報討論（三）@1@1,2605906@無機化學書報討論（三）@1@1,2605910@物理化學書報討論（三）@1@1,2605302@高等無機化學（二）@2@1,2605442@光譜應用（二）@2@1,2605527@分離方法@2@1,2605707@奈米材料科學@2@1,2605922@有機化學書報討論（四）@2@1,2605926@無機化學書報討論（四）@2@1,2605930@物理化學書報討論（四）@2@1
602260062,NaN,NaN,NaN,98,90,NaN,NaN,NaN,NaN,84,72,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,82,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
602260068,NaN,NaN,NaN,76,79,NaN,NaN,NaN,NaN,83,73,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,81,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN
602260069,NaN,NaN,NaN,72,75,84,NaN,NaN,NaN,NaN,70,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,70,NaN,90,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN
602260074,NaN,NaN,NaN,83,90,NaN,NaN,NaN,NaN,90,75,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,79,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN
602260076,NaN,NaN,NaN,98,70,NaN,NaN,NaN,NaN,77,72,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,84,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN
602260006,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,91,82,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,80,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,85
602260019,NaN,NaN,NaN,NaN,63,77,NaN,NaN,NaN,93,70,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,80,94,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,88,NaN,NaN,NaN,NaN,81
602260029,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,88,95,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,90,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,86
602260012,NaN,NaN,NaN,NaN,NaN,72,91,NaN,NaN,82,97,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,87
602260015,NaN,NaN,NaN,NaN,NaN,80,81,NaN,NaN,70,81,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,85
602260048,NaN,NaN,NaN,NaN,NaN,82,78,NaN,NaN,NaN,72,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,75,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,91
602260064,NaN,NaN,NaN,NaN,NaN,72,84,NaN,NaN,84,85,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,80,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,85
602260070,NaN,NaN,NaN,NaN,NaN,86,76,NaN,NaN,NaN,70,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,74,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,85
602260078,NaN,NaN,56,NaN,NaN,83,71,NaN,NaN,NaN,71,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,83,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,79,NaN,NaN,NaN,NaN,87
602260003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,86,85,NaN,NaN,NaN,75,86,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,80,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
