id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201888@學系服務學習@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201888@學系服務學習@2@1,3203033@勞工政策@2@1,3201025@勞動市場與就業專題討論@1@1,3202021@組織行為@1@1,3202034@組織理論@1@1,3202035@勞動法概論@1@1,3202039@總體經濟學@1@1,3203032@勞資談判@1@1,3203053@國際人力資源管理@1@1,3203054@行政法@1@1,3202004@勞動基準法@2@1,3202030@勞工保險理論與實務@2@1,3202031@就業安全理論與實務@2@1,3202037@統計學@2@1,3203001@集體協商@2@1,3203029@薪資福利管理@2@1,3203050@全球化與勞動@2@1,3202031@就業安全理論與實務@1@1,3203001@集體協商@1@1,3203031@勞資爭議處理@1@1,3203040@工會法@1@1,3203041@社會科學統計應用@1@1,3203043@國際勞工運動@1@1,3203047@績效考核與管理@1@1,3203051@比較勞工關係@1@1,3201027@勞工關係實用英語@2@1,3202026@勞工運動理論@2@1,3202032@性別與工作@2@1,3202035@勞動法概論@2@1,3202040@職業安全衛生法規@2@1,3202041@企業倫理@2@1,3203002@勞動經濟學@2@1,3203044@研究方法@2@1,3202038@人力資源發展@1@1,3203002@勞動經濟學@1@1,3203055@勞保給付、爭議與救濟@1@1,3204001@論文撰寫@1@1,3204001@論文撰寫@1@2,3201025@勞動市場與就業專題討論@2@1,3201026@就業諮商與輔導@2@1,3203031@勞資爭議處理@2@1,3203047@績效考核與管理@2@1,3203056@人力資源經濟分析@2@1,3201024@個體經濟學@1@1,3202032@性別與工作@1@1
400320022,78,91,96,90,NaN,80,89,87,88,90,94,NaN,89,81,82,88,90,NaN,78,73,76,90,78,NaN,85,86,NaN,90,92,83,93,NaN,NaN,NaN,NaN,91,NaN,NaN,87,NaN,93,92,89,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320023,72,84,87,86,90,78,90,90,96,NaN,95,NaN,90,81,82,85,NaN,89,NaN,75,92,91,85,NaN,85,89,NaN,90,90,NaN,99,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,93,88,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320024,68,88,87,84,NaN,69,80,88,86,88,82,80,90,86,84,NaN,NaN,82,69,77,71,88,81,NaN,88,92,NaN,85,88,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,78,87,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN
400320025,74,79,83,76,88,70,78,73,77,NaN,91,NaN,80,86,60,73,NaN,NaN,NaN,68,90,83,66,NaN,78,NaN,NaN,90,90,82,94,91,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,81,89,86,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320026,61,77,82,NaN,NaN,67,71,72,71,75,72,NaN,77,69,62,68,80,88,NaN,60,80,85,60,NaN,70,NaN,NaN,81,77,NaN,77,NaN,NaN,80,53,NaN,NaN,NaN,NaN,83,74,82,NaN,NaN,NaN,0,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320027,61,88,88,77,89,72,81,81,88,NaN,95,NaN,86,79,76,80,80,82,78,69,78,83,82,NaN,85,83,NaN,90,85,NaN,96,93,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,80,84,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,82,NaN,NaN
400320028,83,90,83,NaN,NaN,76,77,81,89,78,84,NaN,84,82,71,85,77,76,NaN,70,76,84,80,NaN,86,NaN,NaN,85,82,NaN,93,93,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,90,86,NaN,NaN,78,NaN,86,NaN,NaN,NaN,NaN,94,NaN,NaN
400320029,65,86,85,79,87,68,75,78,91,NaN,79,NaN,93,87,70,90,NaN,87,NaN,65,94,89,82,90,NaN,91,NaN,NaN,83,NaN,97,NaN,80,NaN,NaN,82,NaN,NaN,74,NaN,90,87,NaN,NaN,87,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320030,71,89,80,81,NaN,68,78,84,85,87,93,NaN,84,83,70,80,73,86,NaN,65,93,81,83,NaN,82,NaN,NaN,83,NaN,NaN,74,87,81,90,NaN,NaN,NaN,NaN,74,87,75,89,NaN,NaN,NaN,NaN,91,NaN,NaN,80,NaN,NaN,NaN,NaN
400320031,74,88,89,NaN,91,70,75,84,78,NaN,79,NaN,83,81,60,NaN,88,83,72,60,84,85,89,NaN,75,92,NaN,88,85,NaN,95,95,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,84,86,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320032,75,90,89,78,NaN,NaN,72,85,89,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320033,73,85,84,77,91,62,69,66,74,NaN,89,NaN,77,NaN,55,67,79,83,NaN,60,NaN,83,60,NaN,NaN,88,NaN,90,NaN,NaN,71,NaN,76,80,NaN,83,NaN,60,NaN,NaN,NaN,82,79,82,NaN,81,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN
400320034,86,89,91,NaN,NaN,67,80,82,92,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320035,70,86,76,73,90,65,67,84,78,NaN,91,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,78,79,NaN,84,NaN,83,87,NaN,91,NaN,NaN,95,NaN,NaN,92,81,85,NaN,60,NaN,NaN,89,88,92,NaN,NaN,84,NaN,NaN,NaN,85,NaN,91,NaN,NaN
400320036,68,76,91,84,NaN,76,79,83,100,78,87,NaN,90,84,73,90,NaN,83,NaN,70,84,82,91,NaN,85,84,NaN,88,82,NaN,99,NaN,NaN,97,NaN,NaN,NaN,NaN,99,NaN,96,85,87,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320037,74,90,90,84,90,77,67,87,99,NaN,95,NaN,87,90,69,NaN,81,NaN,NaN,81,90,86,93,NaN,80,90,NaN,90,89,NaN,81,NaN,NaN,NaN,NaN,87,91,NaN,NaN,83,95,88,95,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320038,60,81,77,77,NaN,67,70,73,64,75,95,NaN,60,76,74,60,73,73,60,60,79,81,60,NaN,75,NaN,NaN,82,76,NaN,81,79,NaN,NaN,NaN,NaN,NaN,55,72,NaN,71,84,83,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320039,72,87,81,81,89,81,92,80,93,NaN,75,NaN,85,88,86,92,89,85,NaN,84,93,NaN,76,NaN,85,NaN,86,91,90,92,96,NaN,87,NaN,NaN,96,NaN,NaN,91,84,98,87,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320040,81,84,77,72,NaN,63,79,81,74,86,80,NaN,78,87,61,NaN,70,76,NaN,60,79,82,61,89,NaN,88,NaN,NaN,80,NaN,81,88,84,89,80,NaN,NaN,NaN,NaN,NaN,66,85,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320041,74,83,78,81,87,66,63,74,79,NaN,74,NaN,82,85,60,73,73,83,NaN,67,80,78,72,NaN,82,NaN,NaN,82,80,NaN,74,NaN,78,81,88,NaN,NaN,NaN,NaN,NaN,66,85,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320042,68,83,87,78,NaN,71,75,81,83,85,95,NaN,82,86,69,73,88,80,NaN,63,73,86,74,NaN,83,87,NaN,88,85,NaN,87,NaN,NaN,NaN,NaN,91,NaN,NaN,92,NaN,73,87,91,NaN,76,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320043,76,82,78,67,90,31,78,88,NaN,NaN,NaN,NaN,44,NaN,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320044,72,85,94,79,NaN,74,65,84,94,80,95,NaN,87,77,73,87,88,91,NaN,75,88,88,91,NaN,88,84,NaN,90,88,NaN,95,NaN,NaN,81,NaN,90,NaN,NaN,86,NaN,87,89,NaN,NaN,86,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320045,73,86,83,81,90,75,80,85,98,NaN,95,NaN,80,NaN,70,80,80,87,NaN,66,87,88,60,NaN,84,92,NaN,90,87,NaN,90,92,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,80,88,89,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320046,74,87,89,82,NaN,74,82,82,98,83,95,NaN,84,85,68,86,76,83,NaN,73,71,84,74,NaN,84,88,NaN,82,86,NaN,96,90,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,85,89,85,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320047,76,87,97,81,90,77,73,85,94,NaN,95,NaN,81,88,75,90,86,88,NaN,83,84,84,89,NaN,NaN,NaN,NaN,92,88,89,87,NaN,81,NaN,NaN,91,NaN,NaN,97,NaN,83,90,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320048,70,91,76,82,NaN,69,66,76,77,80,80,NaN,88,85,67,NaN,80,77,NaN,60,86,88,73,NaN,77,85,NaN,90,NaN,NaN,77,91,81,NaN,88,NaN,NaN,NaN,NaN,NaN,72,88,NaN,NaN,NaN,NaN,93,NaN,NaN,83,NaN,NaN,NaN,NaN
400320050,82,87,90,79,NaN,78,85,84,94,90,95,NaN,87,84,75,88,82,85,NaN,71,90,87,63,NaN,75,NaN,NaN,91,NaN,88,78,92,81,NaN,89,NaN,NaN,NaN,NaN,NaN,83,84,NaN,NaN,NaN,NaN,88,NaN,NaN,85,NaN,NaN,NaN,NaN
400320051,80,91,87,87,92,79,94,88,99,NaN,95,NaN,85,83,87,98,NaN,86,83,73,88,NaN,87,88,88,NaN,NaN,NaN,86,86,96,88,NaN,96,NaN,NaN,NaN,NaN,NaN,89,91,91,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320052,73,83,74,78,NaN,66,83,79,69,83,86,NaN,74,72,65,74,77,83,NaN,67,78,86,70,NaN,82,87,NaN,88,85,NaN,96,91,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,75,85,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,94,NaN,NaN
400320053,77,90,85,82,90,74,87,87,89,NaN,87,NaN,83,88,76,81,NaN,86,NaN,69,90,87,82,NaN,90,91,NaN,88,88,87,98,91,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,88,86,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320054,68,NaN,62,69,NaN,61,82,71,NaN,92,80,NaN,83,73,60,80,NaN,63,NaN,64,72,NaN,71,NaN,NaN,70,80,85,69,NaN,69,88,NaN,80,NaN,NaN,NaN,49,60,72,67,83,85,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,60,NaN
400320055,86,88,79,83,NaN,70,83,83,NaN,90,88,71,78,NaN,NaN,92,77,NaN,NaN,70,87,NaN,77,NaN,81,NaN,88,85,86,81,94,NaN,78,NaN,NaN,NaN,NaN,61,NaN,NaN,83,88,82,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
