id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201888@學系服務學習@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201027@勞工關係實用英語@2@1,3201888@學系服務學習@2@1,3202030@勞工保險理論與實務@2@1,3203050@全球化與勞動@2@1,3202021@組織行為@1@1,3202031@就業安全理論與實務@1@1,3202035@勞動法概論@1@1,3202038@人力資源發展@1@1,3202039@總體經濟學@1@1,3203001@集體協商@1@1,3203032@勞資談判@1@1,3203043@國際勞工運動@1@1,3203051@比較勞工關係@1@1,3203054@行政法@1@1,3201025@勞動市場與就業專題討論@2@1,3202004@勞動基準法@2@1,3202026@勞工運動理論@2@1,3202037@統計學@2@1,3202041@企業倫理@2@1,3203031@勞資爭議處理@2@1,3203033@勞工政策@2@1,3203047@績效考核與管理@2@1,3201024@個體經濟學@1@1,3202032@性別與工作@1@1,3202043@勞工互助與合作@1@1,3203002@勞動經濟學@1@1,3203029@薪資福利管理@1@1,3203041@社會科學統計應用@1@1,3203053@國際人力資源管理@1@1,3203055@勞保給付、爭議與救濟@1@1,3202034@組織理論@2@1,3202035@勞動法概論@2@1,3202039@總體經濟學@2@1,3203043@國際勞工運動@2@1,3203044@研究方法@2@1,3203056@人力資源經濟分析@2@1,3203057@人力資源管理與勞工關係之競合@2@1,3202040@職業安全衛生法規@1@1,3202044@勞工教育與職業訓練@1@1,3204001@論文撰寫@1@1,3204001@論文撰寫@1@2,3202032@性別與工作@2@1,3203058@高齡社會導論@2@1,3203059@國際遷移與勞動人權@2@1
402320019,75,89,94,80,98,69,85,85,94,NaN,NaN,91,NaN,93,88,70,NaN,88,80,84,NaN,NaN,NaN,88,69,NaN,95,NaN,82,86,82,NaN,NaN,NaN,100,90,93,NaN,NaN,76,NaN,NaN,NaN,87,92,NaN,79,NaN,91,NaN,NaN,NaN,NaN
402320020,91,93,97,87,NaN,82,97,95,94,88,85,99,NaN,92,87,78,NaN,94,90,93,NaN,NaN,NaN,NaN,83,NaN,98,NaN,83,94,88,NaN,NaN,92,100,93,94,NaN,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN
402320021,73,84,75,NaN,94,71,95,79,NaN,NaN,NaN,85,85,82,NaN,76,88,NaN,89,94,91,NaN,NaN,89,75,NaN,80,NaN,86,80,81,NaN,93,NaN,94,NaN,90,NaN,NaN,87,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,-1
402320022,80,88,89,84,NaN,74,89,83,88,NaN,89,85,NaN,93,89,75,NaN,NaN,90,87,NaN,95,NaN,90,74,90,84,NaN,83,86,79,NaN,NaN,89,92,85,88,NaN,NaN,74,NaN,NaN,NaN,89,NaN,NaN,77,90,91,NaN,NaN,-1,-1
402320023,65,74,85,NaN,10,67,71,81,75,NaN,79,75,NaN,79,87,70,NaN,NaN,80,77,NaN,NaN,NaN,NaN,66,NaN,-1,85,70,90,67,NaN,NaN,NaN,96,NaN,73,NaN,67,NaN,NaN,NaN,NaN,83,-1,NaN,NaN,80,NaN,82,NaN,-1,NaN
402320024,74,83,96,83,NaN,71,71,81,77,81,86,-1,88,93,84,67,NaN,83,88,92,85,85,NaN,NaN,66,87,87,NaN,81,81,NaN,NaN,NaN,NaN,92,86,87,NaN,86,76,NaN,NaN,NaN,89,84,NaN,94,NaN,90,NaN,NaN,NaN,NaN
402320025,74,91,94,83,91,76,83,82,91,80,NaN,87,NaN,75,87,68,NaN,NaN,88,83,82,91,NaN,86,74,88,91,NaN,90,88,NaN,NaN,NaN,NaN,100,NaN,93,83,NaN,87,NaN,NaN,NaN,90,-1,NaN,83,86,NaN,90,NaN,NaN,NaN
402320026,71,78,71,85,NaN,-1,60,69,NaN,NaN,85,71,NaN,60,NaN,55,82,NaN,88,81,NaN,85,NaN,NaN,61,-1,-1,83,64,80,-1,NaN,NaN,NaN,72,70,60,NaN,NaN,NaN,61,-1,80,85,NaN,NaN,NaN,73,82,NaN,-1,NaN,NaN
402320027,74,82,82,77,92,62,88,84,90,80,NaN,75,NaN,92,NaN,72,90,93,86,NaN,NaN,96,NaN,NaN,65,NaN,83,88,84,86,NaN,NaN,NaN,85,100,NaN,92,87,NaN,88,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN
402320028,84,80,96,76,NaN,68,89,78,85,75,81,84,NaN,86,89,66,74,83,90,NaN,NaN,NaN,NaN,89,78,NaN,70,81,83,80,84,NaN,83,88,95,NaN,85,77,NaN,86,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,-1
402320030,80,91,80,NaN,NaN,72,72,77,-1,84,83,43,NaN,77,87,64,NaN,70,83,88,NaN,NaN,NaN,89,66,NaN,71,86,82,81,72,NaN,NaN,NaN,82,78,78,NaN,NaN,84,NaN,NaN,87,89,-1,NaN,74,NaN,NaN,76,NaN,NaN,NaN
402320031,66,84,86,78,93,63,83,76,76,81,NaN,76,NaN,64,91,60,NaN,NaN,85,83,NaN,92,NaN,NaN,64,NaN,73,80,82,90,NaN,NaN,NaN,NaN,95,83,82,NaN,NaN,NaN,NaN,NaN,NaN,92,-1,NaN,91,84,NaN,92,NaN,NaN,NaN
402320032,73,83,90,72,NaN,61,79,76,71,82,82,-1,82,85,87,65,NaN,NaN,85,78,NaN,NaN,NaN,NaN,69,79,67,80,80,86,NaN,NaN,NaN,88,99,85,75,NaN,NaN,82,NaN,NaN,NaN,88,75,NaN,90,NaN,87,NaN,NaN,NaN,-1
402320033,75,80,64,78,84,65,82,81,-1,NaN,NaN,76,NaN,91,87,68,NaN,86,80,87,NaN,NaN,NaN,NaN,72,NaN,62,NaN,74,-1,66,NaN,NaN,NaN,64,69,71,NaN,68,76,NaN,NaN,NaN,89,NaN,NaN,62,85,91,NaN,NaN,NaN,NaN
402320034,68,86,86,76,NaN,73,74,87,91,82,87,-1,NaN,89,87,70,NaN,90,87,62,NaN,91,NaN,NaN,72,NaN,82,87,69,86,85,NaN,NaN,NaN,90,91,95,NaN,NaN,NaN,NaN,NaN,NaN,89,81,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
402320035,75,85,84,78,97,63,79,79,81,77,NaN,94,NaN,93,84,71,NaN,90,81,80,NaN,NaN,NaN,86,71,NaN,73,NaN,80,81,80,NaN,NaN,NaN,94,89,93,NaN,NaN,84,NaN,NaN,NaN,89,NaN,NaN,71,NaN,92,NaN,NaN,NaN,NaN
402320036,89,91,94,83,NaN,80,93,88,93,NaN,85,-1,NaN,97,88,73,NaN,97,92,97,NaN,NaN,NaN,93,73,92,88,NaN,81,-1,81,NaN,NaN,NaN,100,NaN,81,85,NaN,89,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
402320037,70,87,76,72,92,67,73,NaN,79,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402320038,71,83,94,72,NaN,69,75,80,79,NaN,89,84,NaN,92,87,72,NaN,92,86,90,NaN,84,NaN,89,70,NaN,94,86,83,86,84,NaN,NaN,NaN,100,87,91,NaN,NaN,81,NaN,NaN,NaN,89,-1,NaN,88,NaN,NaN,92,NaN,NaN,NaN
402320039,76,91,94,NaN,91,71,82,-1,77,87,NaN,79,NaN,80,NaN,72,NaN,83,90,81,NaN,NaN,NaN,NaN,65,86,74,92,75,77,61,NaN,NaN,NaN,94,NaN,90,88,NaN,NaN,NaN,NaN,87,89,-1,NaN,NaN,87,NaN,94,NaN,NaN,-1
