id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201025@勞動市場與就業專題討論@1@1,3201888@學系服務學習@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201026@就業諮商與輔導@2@1,3201888@學系服務學習@2@1,3202021@組織行為@1@1,3202031@就業安全理論與實務@1@1,3202034@組織理論@1@1,3202039@總體經濟學@1@1,3203001@集體協商@1@1,3203032@勞資談判@1@1,3203043@國際勞工運動@1@1,3203047@績效考核與管理@1@1,3203051@比較勞工關係@1@1,3203053@國際人力資源管理@1@1,3201027@勞工關係實用英語@2@1,3202004@勞動基準法@2@1,3202026@勞工運動理論@2@1,3202030@勞工保險理論與實務@2@1,3202032@性別與工作@2@1,3202035@勞動法概論@2@1,3202037@統計學@2@1,3202040@職業安全衛生法規@2@1,3202041@企業倫理@2@1,3203033@勞工政策@2@1,3203050@全球化與勞動@2@1,3202035@勞動法概論@1@1,3202038@人力資源發展@1@1,3203002@勞動經濟學@1@1,3203040@工會法@1@1,3203041@社會科學統計應用@1@1,3203054@行政法@1@1,3203055@勞保給付、爭議與救濟@1@1,3201025@勞動市場與就業專題討論@2@1,3203031@勞資爭議處理@2@1,3203044@研究方法@2@1,3203047@績效考核與管理@2@1,3203056@人力資源經濟分析@2@1,3201024@個體經濟學@1@1,3202043@勞工互助與合作@1@1,3203029@薪資福利管理@1@1,3204001@論文撰寫@1@1,3204001@論文撰寫@1@2,3202034@組織理論@2@1,3202039@總體經濟學@2@1,3203043@國際勞工運動@2@1,3203057@人力資源管理與勞工關係之競合@2@1,3202040@職業安全衛生法規@1@1,3202044@勞工教育與職業訓練@1@1
401320020,74,83,75,72,NaN,NaN,66,86,85,NaN,NaN,85,80,83,56,78,75,NaN,NaN,NaN,85,79,NaN,68,NaN,70,NaN,68,92,82,81,83,NaN,NaN,88,87,NaN,89,73,NaN,NaN,84,87,81,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320021,67,80,82,74,86,81,62,76,69,NaN,NaN,NaN,73,NaN,73,65,80,73,NaN,NaN,NaN,71,NaN,65,80,70,NaN,55,66,62,78,82,NaN,63,NaN,75,65,87,NaN,NaN,NaN,83,89,62,76,NaN,NaN,64,80,NaN,NaN,NaN,NaN,78,NaN,NaN
401320022,62,84,72,67,NaN,NaN,63,60,73,NaN,NaN,85,71,88,81,60,75,NaN,NaN,NaN,88,80,NaN,60,NaN,64,84,42,66,NaN,75,80,NaN,60,68,72,NaN,93,60,NaN,NaN,80,89,63,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401320023,66,70,71,75,NaN,84,60,77,80,73,82,NaN,78,83,75,73,75,72,78,NaN,NaN,83,84,62,80,NaN,NaN,55,64,NaN,NaN,95,NaN,61,NaN,77,74,70,NaN,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,82
401320024,63,85,87,82,NaN,NaN,60,74,75,69,82,90,90,82,90,69,86,80,NaN,NaN,NaN,85,NaN,65,86,NaN,89,60,69,NaN,89,85,91,NaN,90,89,80,83,NaN,68,NaN,83,86,74,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
401320025,63,82,73,77,NaN,86,71,76,77,NaN,82,NaN,87,82,72,69,87,75,NaN,NaN,NaN,NaN,NaN,62,85,NaN,87,70,77,NaN,79,88,85,NaN,NaN,86,78,87,NaN,77,NaN,84,87,75,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN
401320026,64,65,63,70,NaN,NaN,63,62,66,NaN,NaN,92,78,83,71,NaN,85,62,NaN,NaN,NaN,78,79,69,80,73,NaN,57,61,NaN,NaN,82,76,69,NaN,84,NaN,65,NaN,NaN,NaN,86,85,72,NaN,NaN,90,74,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320027,72,80,78,75,82,80,61,71,64,68,NaN,NaN,80,81,72,73,80,75,NaN,NaN,92,80,85,68,83,70,NaN,52,86,NaN,87,94,NaN,62,NaN,88,NaN,96,NaN,NaN,NaN,84,86,NaN,88,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN
401320028,82,95,92,NaN,75,NaN,77,91,83,89,85,85,78,90,NaN,NaN,93,93,NaN,NaN,88,91,89,75,NaN,94,NaN,68,78,NaN,94,94,93,NaN,NaN,91,NaN,92,NaN,NaN,NaN,85,90,87,98,NaN,NaN,NaN,93,NaN,NaN,89,90,NaN,NaN,NaN
401320029,77,86,85,NaN,NaN,88,66,80,78,86,82,NaN,69,91,84,NaN,91,85,NaN,NaN,NaN,79,83,62,84,93,NaN,60,65,NaN,83,84,NaN,NaN,90,92,NaN,97,NaN,76,NaN,87,87,80,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401320030,80,79,90,81,NaN,NaN,77,82,86,88,NaN,85,89,86,NaN,91,88,81,NaN,NaN,NaN,NaN,NaN,69,88,89,NaN,69,95,95,NaN,93,NaN,NaN,86,97,NaN,98,NaN,NaN,NaN,85,86,85,92,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320031,80,88,90,85,NaN,88,79,84,85,92,NaN,NaN,81,88,84,87,86,91,NaN,NaN,NaN,91,NaN,74,82,87,NaN,72,90,NaN,87,82,90,NaN,81,89,NaN,96,NaN,NaN,NaN,87,86,79,90,NaN,NaN,88,NaN,93,NaN,NaN,NaN,87,NaN,NaN
401320032,77,84,79,78,NaN,NaN,66,81,77,79,NaN,92,83,83,71,66,86,75,NaN,NaN,NaN,82,NaN,63,85,79,NaN,61,87,NaN,87,85,90,NaN,87,87,74,96,NaN,NaN,NaN,79,88,80,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320033,86,90,94,86,NaN,85,77,83,85,97,NaN,NaN,81,87,77,NaN,87,NaN,NaN,NaN,84,86,NaN,63,78,NaN,NaN,72,77,NaN,80,-1,85,NaN,NaN,100,NaN,92,NaN,NaN,NaN,89,90,NaN,NaN,NaN,NaN,89,NaN,92,NaN,NaN,NaN,NaN,86,NaN
401320034,67,75,75,80,87,NaN,63,80,76,NaN,NaN,90,74,82,77,74,83,76,NaN,NaN,86,86,NaN,63,85,88,NaN,57,63,78,79,73,NaN,68,NaN,89,71,93,72,NaN,NaN,83,88,60,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320035,70,89,71,87,89,80,70,89,76,NaN,NaN,NaN,84,92,NaN,NaN,85,89,NaN,NaN,96,86,89,71,92,80,NaN,NaN,82,NaN,88,95,NaN,87,91,90,90,87,NaN,NaN,NaN,75,86,NaN,92,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
401320037,65,90,89,92,81,89,77,89,95,NaN,NaN,NaN,78,88,91,NaN,80,90,NaN,NaN,NaN,82,NaN,77,87,87,NaN,70,98,NaN,NaN,80,93,NaN,89,83,86,90,NaN,NaN,NaN,87,88,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN
401320038,84,89,90,88,NaN,NaN,78,91,86,NaN,NaN,95,89,86,NaN,93,91,89,87,NaN,92,90,NaN,69,NaN,90,NaN,68,71,NaN,NaN,91,94,NaN,NaN,97,NaN,87,NaN,NaN,NaN,86,89,84,86,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320039,81,84,85,82,NaN,82,69,84,81,88,NaN,NaN,79,84,80,87,86,87,NaN,NaN,NaN,75,NaN,60,87,95,NaN,57,84,NaN,91,90,91,73,88,95,NaN,94,NaN,NaN,NaN,84,85,88,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320040,83,85,83,80,NaN,NaN,67,78,76,78,NaN,85,90,NaN,NaN,69,86,82,NaN,NaN,82,81,NaN,65,NaN,80,NaN,NaN,87,73,87,89,85,71,NaN,89,NaN,98,70,NaN,NaN,80,87,81,90,NaN,NaN,NaN,NaN,82,NaN,NaN,86,NaN,NaN,NaN
401320041,73,85,76,80,NaN,90,71,81,85,NaN,NaN,NaN,83,83,NaN,78,89,80,NaN,NaN,NaN,87,NaN,60,83,65,NaN,60,66,NaN,NaN,85,89,NaN,NaN,84,NaN,98,NaN,NaN,NaN,82,86,74,89,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN
401320042,65,87,74,82,NaN,NaN,70,78,81,72,NaN,95,80,85,88,NaN,85,74,NaN,NaN,82,81,NaN,65,87,78,NaN,65,78,78,NaN,74,88,NaN,81,86,NaN,86,NaN,NaN,NaN,81,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
401320043,70,84,75,69,83,81,69,72,72,60,NaN,NaN,69,82,69,75,85,76,NaN,NaN,NaN,85,NaN,60,75,85,NaN,57,83,74,84,75,NaN,65,NaN,83,NaN,88,66,NaN,NaN,82,84,66,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN
401320044,67,92,79,79,NaN,NaN,65,74,83,NaN,88,85,77,87,NaN,77,85,85,NaN,NaN,NaN,72,NaN,63,81,62,NaN,63,62,NaN,NaN,89,NaN,NaN,NaN,91,NaN,92,61,77,NaN,82,90,71,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320045,82,88,95,76,NaN,85,70,82,80,95,NaN,NaN,81,90,68,91,80,83,NaN,NaN,NaN,NaN,NaN,63,87,82,NaN,63,87,65,NaN,74,93,NaN,NaN,98,NaN,93,NaN,NaN,NaN,82,88,77,85,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
401320046,80,82,84,74,NaN,NaN,68,80,80,74,NaN,85,81,83,69,NaN,88,82,NaN,NaN,88,85,85,60,NaN,NaN,NaN,60,80,NaN,NaN,85,NaN,NaN,NaN,89,NaN,88,NaN,NaN,NaN,84,84,80,NaN,NaN,NaN,84,NaN,71,NaN,NaN,88,NaN,NaN,NaN
401320047,81,88,87,85,NaN,90,60,83,85,89,NaN,NaN,84,91,NaN,NaN,80,NaN,NaN,NaN,NaN,88,NaN,62,79,73,NaN,56,64,NaN,93,93,91,78,NaN,79,NaN,86,NaN,NaN,NaN,85,88,83,90,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320048,83,92,98,86,NaN,NaN,87,98,92,100,NaN,85,92,92,NaN,100,97,97,NaN,NaN,NaN,91,91,84,NaN,93,NaN,90,99,NaN,93,88,NaN,NaN,NaN,100,NaN,99,NaN,88,NaN,90,91,NaN,99,NaN,89,91,90,NaN,NaN,NaN,92,NaN,NaN,NaN
401320049,76,87,70,81,88,83,64,76,79,72,NaN,NaN,82,92,80,NaN,91,83,NaN,NaN,94,79,NaN,65,86,88,NaN,55,66,NaN,87,86,NaN,65,NaN,80,NaN,97,NaN,NaN,NaN,84,90,77,NaN,NaN,NaN,85,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
401320050,71,81,69,62,82,NaN,65,70,78,67,NaN,90,61,83,57,NaN,85,76,NaN,NaN,NaN,75,NaN,66,80,86,NaN,55,64,67,81,72,NaN,72,84,76,NaN,89,73,NaN,NaN,77,86,73,84,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
401320051,70,85,83,80,NaN,88,65,81,81,NaN,NaN,NaN,72,87,NaN,74,90,85,NaN,NaN,NaN,88,NaN,66,81,70,NaN,75,72,73,NaN,88,86,NaN,NaN,84,NaN,96,NaN,90,NaN,84,88,77,91,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320052,77,82,87,81,NaN,NaN,76,80,90,88,NaN,85,81,82,83,85,84,82,NaN,NaN,86,88,NaN,66,90,83,NaN,68,77,92,85,89,NaN,NaN,89,92,NaN,93,NaN,NaN,NaN,86,87,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320053,80,90,71,73,NaN,80,65,76,78,NaN,NaN,NaN,83,87,NaN,NaN,82,84,NaN,NaN,NaN,86,79,64,86,85,NaN,NaN,65,NaN,NaN,81,NaN,63,NaN,90,NaN,89,73,NaN,NaN,85,84,82,NaN,NaN,NaN,83,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN
401320054,75,75,93,77,NaN,NaN,63,77,68,88,NaN,92,66,80,51,NaN,78,84,NaN,NaN,77,80,NaN,63,NaN,84,NaN,57,79,74,80,80,NaN,72,87,74,NaN,89,NaN,NaN,NaN,83,88,NaN,85,NaN,NaN,NaN,NaN,82,NaN,75,NaN,NaN,NaN,NaN
401320036,60,83,64,NaN,NaN,NaN,69,67,62,64,NaN,92,71,90,NaN,60,85,68,NaN,NaN,90,83,NaN,60,NaN,73,NaN,60,73,NaN,83,90,NaN,58,NaN,80,NaN,67,63,NaN,NaN,84,87,60,NaN,NaN,NaN,72,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320017,81,88,87,NaN,NaN,NaN,77,81,79,NaN,NaN,85,80,89,78,NaN,90,82,NaN,NaN,90,88,86,74,82,87,NaN,66,72,NaN,80,81,NaN,NaN,NaN,82,NaN,92,NaN,NaN,88,85,90,75,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,85,95,NaN
401320056,NaN,NaN,NaN,NaN,NaN,90,NaN,84,83,NaN,NaN,NaN,81,88,72,75,85,85,NaN,NaN,NaN,NaN,NaN,63,NaN,60,NaN,56,70,86,NaN,86,NaN,66,NaN,79,NaN,82,NaN,NaN,86,82,89,73,90,84,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
