id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201025@勞動市場與就業專題討論@1@1,3201888@學系服務學習@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201026@就業諮商與輔導@2@1,3201888@學系服務學習@2@1,3202021@組織行為@1@1,3202031@就業安全理論與實務@1@1,3202034@組織理論@1@1,3202039@總體經濟學@1@1,3203001@集體協商@1@1,3203032@勞資談判@1@1,3203043@國際勞工運動@1@1,3203047@績效考核與管理@1@1,3203051@比較勞工關係@1@1,3203053@國際人力資源管理@1@1,3201027@勞工關係實用英語@2@1,3202004@勞動基準法@2@1,3202026@勞工運動理論@2@1,3202030@勞工保險理論與實務@2@1,3202032@性別與工作@2@1,3202035@勞動法概論@2@1,3202037@統計學@2@1,3202040@職業安全衛生法規@2@1,3202041@企業倫理@2@1,3203033@勞工政策@2@1,3203050@全球化與勞動@2@1,3202035@勞動法概論@1@1,3202038@人力資源發展@1@1,3203002@勞動經濟學@1@1,3203040@工會法@1@1,3203041@社會科學統計應用@1@1,3203054@行政法@1@1,3203055@勞保給付、爭議與救濟@1@1,3201025@勞動市場與就業專題討論@2@1,3203031@勞資爭議處理@2@1,3203044@研究方法@2@1,3203047@績效考核與管理@2@1,3203056@人力資源經濟分析@2@1,3201024@個體經濟學@1@1,3202043@勞工互助與合作@1@1,3203029@薪資福利管理@1@1,3204001@論文撰寫@1@1,3204001@論文撰寫@1@2,3202034@組織理論@2@1,3202039@總體經濟學@2@1,3203043@國際勞工運動@2@1,3203057@人力資源管理與勞工關係之競合@2@1,3202040@職業安全衛生法規@1@1,3202044@勞工教育與職業訓練@1@1
401320001,80,90,80,71,84,80,69,74,68,64,NaN,NaN,78,90,68,NaN,84,85,79,NaN,85,76,85,63,NaN,NaN,NaN,63,81,NaN,77,95,88,NaN,NaN,83,NaN,92,NaN,NaN,NaN,84,92,71,86,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
401320002,73,88,91,88,NaN,NaN,76,91,90,89,NaN,85,86,91,88,81,88,81,NaN,NaN,NaN,NaN,NaN,77,89,78,NaN,76,71,80,84,94,NaN,NaN,89,95,NaN,84,NaN,NaN,NaN,84,90,79,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
401320003,65,81,73,78,NaN,89,68,72,76,NaN,NaN,NaN,73,90,NaN,NaN,88,85,NaN,NaN,92,NaN,NaN,65,NaN,NaN,-1,NaN,76,NaN,NaN,87,NaN,61,NaN,83,NaN,60,NaN,64,NaN,73,89,73,84,NaN,NaN,80,86,NaN,NaN,NaN,NaN,NaN,72,NaN
401320004,67,87,80,87,82,NaN,76,72,85,84,NaN,95,75,89,84,74,83,75,NaN,NaN,NaN,88,NaN,67,87,87,NaN,70,80,88,NaN,90,88,NaN,84,90,NaN,91,NaN,NaN,NaN,85,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
401320005,70,89,86,81,NaN,90,84,80,86,NaN,NaN,NaN,85,85,77,66,90,81,NaN,NaN,NaN,90,NaN,74,81,81,NaN,64,76,NaN,NaN,92,84,NaN,NaN,91,NaN,94,69,NaN,NaN,84,87,75,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
401320006,72,85,97,86,72,NaN,77,88,90,NaN,NaN,90,89,87,71,89,86,83,NaN,NaN,NaN,90,NaN,70,NaN,91,NaN,65,89,NaN,NaN,87,92,NaN,87,94,NaN,99,NaN,NaN,NaN,85,86,84,91,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,87,NaN,NaN
401320007,65,76,72,71,70,87,60,75,77,66,NaN,NaN,80,84,75,74,87,NaN,NaN,NaN,87,78,NaN,61,87,NaN,NaN,63,63,NaN,80,84,NaN,NaN,NaN,81,NaN,92,NaN,NaN,NaN,82,90,NaN,NaN,NaN,NaN,77,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN
401320008,82,87,94,82,71,NaN,73,94,89,88,NaN,85,84,83,76,93,87,NaN,NaN,NaN,90,86,NaN,65,NaN,94,NaN,77,87,76,81,90,NaN,NaN,92,94,NaN,96,NaN,NaN,NaN,84,90,82,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
401320009,80,89,87,85,NaN,85,72,78,85,94,NaN,NaN,89,84,68,86,80,74,NaN,NaN,84,88,NaN,71,NaN,81,NaN,81,84,86,NaN,81,NaN,NaN,89,93,NaN,92,78,NaN,NaN,82,87,87,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
401320010,66,73,91,74,NaN,NaN,62,68,65,NaN,82,95,70,NaN,NaN,78,79,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,64,NaN,73,80,NaN,60,NaN,79,NaN,95,NaN,66,91,79,85,72,88,NaN,NaN,NaN,NaN,74,75,NaN,84,NaN,72,NaN
401320011,71,85,79,80,NaN,85,63,70,79,81,NaN,NaN,76,86,81,NaN,76,86,NaN,NaN,NaN,NaN,NaN,62,89,83,NaN,64,66,75,NaN,88,NaN,NaN,82,90,NaN,94,NaN,NaN,NaN,85,88,84,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320012,66,92,83,76,NaN,NaN,77,83,80,67,NaN,85,69,88,NaN,67,87,NaN,NaN,74,84,83,NaN,61,84,NaN,NaN,55,62,NaN,80,80,86,71,NaN,92,NaN,91,NaN,NaN,NaN,83,88,NaN,NaN,NaN,NaN,83,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
401320013,67,74,66,75,70,90,61,79,73,NaN,NaN,NaN,61,85,38,62,85,83,NaN,NaN,NaN,81,NaN,69,NaN,82,NaN,62,74,NaN,NaN,80,89,NaN,84,80,NaN,88,NaN,NaN,NaN,82,86,72,89,NaN,NaN,87,NaN,81,NaN,NaN,NaN,82,NaN,NaN
401320014,70,76,82,72,50,NaN,62,77,73,74,NaN,85,73,84,45,75,84,NaN,NaN,NaN,NaN,72,NaN,60,77,NaN,33,62,85,NaN,82,76,79,NaN,NaN,86,NaN,75,50,NaN,NaN,81,77,85,80,NaN,84,83,NaN,85,NaN,NaN,86,NaN,NaN,NaN
401320015,75,85,77,60,70,83,66,80,78,76,NaN,NaN,74,89,67,NaN,88,86,NaN,NaN,NaN,85,NaN,65,77,95,NaN,60,83,75,85,83,NaN,NaN,87,90,NaN,94,NaN,NaN,NaN,86,88,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN
401320016,70,91,75,79,NaN,NaN,67,81,84,NaN,NaN,85,88,87,65,72,80,NaN,NaN,NaN,NaN,86,NaN,63,77,84,NaN,65,61,NaN,NaN,88,89,NaN,NaN,85,NaN,90,63,NaN,NaN,84,88,78,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401320018,89,94,96,87,NaN,NaN,81,91,92,98,NaN,95,90,88,85,91,87,NaN,NaN,NaN,NaN,94,NaN,74,86,89,NaN,70,86,89,NaN,88,NaN,NaN,NaN,98,NaN,96,NaN,NaN,NaN,86,90,85,92,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
