id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4201151@工程圖學（二）@2@3,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203066@專題研究B（二）@2@1,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203068@專題研究D（二）@2@1,4203105@機械設計實習@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4203005@專題研究C（一）@1@1,4203104@機械設計@1@2,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204014@機械工程與綠色科技@1@1,4204015@工具機概論@1@1,4204109@機電整合與應用@1@1,4204301@應用光學與實務@1@1,4203067@專題研究C（二）@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4204353@電腦輔助工程分析與實務運用@1@1
401420038,76,NaN,81,63,NaN,NaN,NaN,60,NaN,85,NaN,70,71,NaN,69,62,70,60,68,60,NaN,60,NaN,NaN,62,66,NaN,NaN,60,NaN,-1,84,NaN,NaN,NaN,NaN,81,NaN,NaN,64,65,NaN,79,79,NaN,NaN,86,NaN,70,NaN,NaN,65,NaN,62,NaN,81,NaN,NaN,NaN,NaN,67,NaN,90,NaN,NaN,89,NaN,-1,NaN,NaN
401420039,13,NaN,74,NaN,70,NaN,92,60,NaN,78,NaN,70,NaN,NaN,3,NaN,63,65,34,42,NaN,NaN,NaN,NaN,19,60,NaN,NaN,NaN,NaN,35,NaN,67,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420040,65,NaN,90,84,NaN,NaN,NaN,60,NaN,90,NaN,84,86,NaN,60,88,65,76,82,64,NaN,60,NaN,NaN,68,76,60,NaN,68,NaN,76,89,NaN,NaN,NaN,NaN,86,90,71,84,NaN,63,90,NaN,NaN,NaN,NaN,NaN,77,NaN,91,70,71,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,71,89,NaN,NaN,90,NaN,77,NaN,NaN
401420041,79,96,NaN,NaN,75,NaN,95,81,80,NaN,78,NaN,NaN,NaN,80,90,80,90,91,88,NaN,86,NaN,NaN,93,99,96,NaN,99,NaN,83,88,NaN,NaN,NaN,90,92,NaN,99,99,NaN,93,NaN,73,NaN,83,NaN,82,NaN,91,NaN,95,98,96,NaN,NaN,88,NaN,NaN,NaN,NaN,79,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420042,63,NaN,85,62,NaN,NaN,NaN,65,62,NaN,58,NaN,62,NaN,88,84,69,88,78,83,64,89,NaN,NaN,87,90,88,NaN,86,NaN,96,83,NaN,NaN,NaN,90,93,90,99,99,NaN,98,NaN,NaN,NaN,NaN,NaN,82,NaN,91,NaN,95,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,89,84,NaN,NaN,NaN,NaN,NaN,NaN
401420043,77,NaN,95,80,NaN,90,NaN,71,90,NaN,NaN,78,NaN,NaN,88,NaN,82,90,84,90,NaN,67,NaN,NaN,77,82,74,NaN,80,NaN,63,89,NaN,90,NaN,NaN,79,NaN,81,86,71,NaN,NaN,NaN,NaN,NaN,95,81,NaN,NaN,93,NaN,69,100,NaN,NaN,86,94,NaN,NaN,NaN,74,90,73,NaN,NaN,NaN,NaN,NaN,NaN
401420044,71,NaN,85,72,NaN,NaN,NaN,72,NaN,78,NaN,80,NaN,87,60,91,62,70,81,62,NaN,60,84,72,60,67,60,NaN,73,NaN,65,NaN,83,NaN,NaN,NaN,85,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,82,NaN,69,NaN,NaN,72,-1,70,NaN,49,84,NaN,NaN,NaN,60,NaN,88,84,NaN,NaN,NaN,-1,NaN,NaN
401420045,89,88,NaN,69,NaN,83,NaN,64,72,NaN,70,NaN,NaN,NaN,72,NaN,79,85,82,76,NaN,62,NaN,90,66,NaN,67,NaN,77,NaN,93,79,NaN,NaN,NaN,NaN,86,NaN,72,70,68,NaN,NaN,70,NaN,NaN,93,NaN,78,NaN,NaN,81,83,78,NaN,83,87,NaN,NaN,NaN,NaN,67,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420046,67,NaN,88,79,NaN,NaN,NaN,60,NaN,70,NaN,77,NaN,78,60,NaN,60,78,64,68,NaN,60,78,61,71,68,60,66,NaN,NaN,69,NaN,87,NaN,NaN,NaN,84,NaN,NaN,72,65,NaN,NaN,NaN,NaN,NaN,99,NaN,81,NaN,NaN,83,NaN,65,72,83,NaN,NaN,NaN,NaN,NaN,69,89,84,NaN,NaN,NaN,NaN,NaN,NaN
401420047,64,87,NaN,NaN,66,NaN,95,62,60,NaN,71,NaN,NaN,NaN,88,NaN,91,86,68,63,NaN,72,NaN,93,61,86,NaN,NaN,73,NaN,62,83,NaN,NaN,NaN,NaN,88,NaN,NaN,74,NaN,76,NaN,NaN,NaN,NaN,82,78,NaN,NaN,87,NaN,93,93,NaN,85,83,NaN,NaN,NaN,77,NaN,90,84,NaN,92,NaN,NaN,NaN,NaN
401420048,66,64,NaN,NaN,62,NaN,NaN,71,NaN,60,71,NaN,74,NaN,81,60,81,86,79,82,NaN,85,98,NaN,65,84,70,67,NaN,NaN,61,80,NaN,NaN,NaN,89,77,NaN,NaN,88,69,NaN,NaN,NaN,NaN,NaN,99,NaN,74,NaN,85,NaN,78,85,NaN,86,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,86,NaN,NaN,83,NaN,NaN
401420050,77,NaN,85,86,NaN,NaN,NaN,70,NaN,87,NaN,81,NaN,77,82,91,83,94,84,81,NaN,74,95,NaN,76,92,73,NaN,84,90,74,NaN,84,NaN,NaN,NaN,85,93,NaN,95,NaN,81,95,NaN,NaN,NaN,NaN,NaN,76,NaN,92,NaN,NaN,82,NaN,NaN,84,92,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420051,72,89,NaN,NaN,77,NaN,95,67,NaN,84,NaN,83,NaN,NaN,60,NaN,71,82,80,67,NaN,15,93,NaN,70,48,NaN,NaN,38,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420052,67,NaN,85,77,NaN,NaN,NaN,60,NaN,99,NaN,73,87,NaN,66,95,74,76,82,80,NaN,68,NaN,90,76,75,NaN,NaN,75,NaN,77,88,NaN,NaN,85,NaN,85,90,91,85,NaN,71,85,NaN,NaN,NaN,NaN,80,NaN,NaN,93,NaN,74,NaN,NaN,NaN,87,90,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420054,76,NaN,84,72,NaN,NaN,NaN,60,NaN,79,NaN,70,NaN,77,60,NaN,60,82,65,60,NaN,60,NaN,69,68,70,NaN,NaN,60,NaN,77,NaN,84,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,60,92,81,91,NaN,82,NaN,75,NaN,NaN,78,NaN,72,NaN,75,79,NaN,NaN,NaN,NaN,74,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420056,77,NaN,94,NaN,64,NaN,NaN,70,NaN,65,63,NaN,68,NaN,60,66,60,76,76,67,NaN,-1,NaN,NaN,61,60,NaN,84,39,NaN,71,80,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,62,NaN,60,NaN,NaN,99,NaN,65,NaN,81,78,NaN,70,NaN,83,80,NaN,NaN,NaN,69,NaN,NaN,78,NaN,89,NaN,-1,NaN,NaN
401420058,26,NaN,78,NaN,62,NaN,NaN,23,NaN,71,NaN,79,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420060,60,NaN,78,NaN,61,NaN,NaN,67,NaN,60,57,NaN,61,NaN,63,NaN,60,68,65,60,64,60,NaN,65,60,60,21,62,NaN,NaN,-1,NaN,70,NaN,NaN,NaN,60,NaN,NaN,60,65,31,75,60,NaN,NaN,89,NaN,73,NaN,76,NaN,NaN,60,13,81,NaN,NaN,NaN,NaN,61,NaN,93,65,53,NaN,NaN,NaN,NaN,NaN
401420061,69,99,NaN,73,NaN,92,NaN,70,84,NaN,NaN,79,NaN,NaN,81,NaN,79,84,86,82,NaN,70,NaN,78,74,NaN,86,85,NaN,84,90,90,NaN,NaN,86,NaN,85,NaN,NaN,82,NaN,87,NaN,79,NaN,NaN,99,NaN,76,NaN,NaN,82,67,NaN,-1,78,NaN,NaN,NaN,NaN,NaN,77,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
401420063,86,99,NaN,73,NaN,89,NaN,85,64,NaN,58,NaN,NaN,NaN,83,NaN,65,76,70,77,89,78,NaN,71,69,NaN,66,NaN,88,NaN,76,NaN,86,62,NaN,NaN,77,NaN,NaN,76,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,78,NaN,NaN,69,79,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,86,NaN,89,NaN,80,65,NaN
401420064,60,NaN,79,NaN,70,NaN,NaN,60,NaN,60,NaN,87,81,NaN,74,71,77,60,73,85,NaN,78,NaN,73,77,64,64,NaN,85,NaN,86,NaN,83,NaN,NaN,NaN,60,NaN,61,NaN,NaN,78,NaN,NaN,NaN,77,94,NaN,76,NaN,NaN,NaN,66,90,70,84,NaN,NaN,NaN,NaN,NaN,66,NaN,71,79,81,NaN,NaN,60,NaN
401420065,62,NaN,87,69,NaN,84,NaN,75,60,NaN,63,NaN,NaN,NaN,61,NaN,67,71,71,68,NaN,69,NaN,72,60,77,65,62,NaN,NaN,65,81,NaN,79,NaN,NaN,71,NaN,78,NaN,72,24,NaN,71,NaN,NaN,79,NaN,74,NaN,72,71,NaN,76,NaN,NaN,78,NaN,NaN,NaN,65,NaN,89,NaN,NaN,NaN,NaN,NaN,30,NaN
401420066,80,NaN,90,NaN,71,NaN,NaN,70,NaN,75,NaN,74,82,49,79,60,65,70,60,70,NaN,60,NaN,72,60,69,64,NaN,71,NaN,64,85,NaN,63,NaN,NaN,72,NaN,NaN,84,NaN,69,NaN,NaN,NaN,NaN,84,75,NaN,NaN,76,70,54,77,NaN,NaN,82,NaN,NaN,NaN,NaN,67,91,75,63,NaN,NaN,NaN,NaN,NaN
401420068,73,NaN,89,NaN,77,NaN,NaN,63,NaN,78,NaN,84,NaN,77,75,60,84,92,75,73,NaN,66,NaN,NaN,76,81,75,NaN,82,NaN,67,NaN,87,NaN,NaN,NaN,90,90,NaN,80,NaN,82,86,NaN,NaN,NaN,NaN,79,NaN,NaN,78,83,64,79,NaN,77,80,NaN,NaN,NaN,82,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420069,82,93,NaN,NaN,67,NaN,92,90,70,NaN,69,NaN,NaN,NaN,100,NaN,89,99,93,96,NaN,93,NaN,NaN,99,99,92,98,NaN,NaN,99,NaN,92,NaN,NaN,85,90,88,99,92,NaN,87,NaN,NaN,NaN,75,NaN,82,NaN,89,NaN,93,95,97,88,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,69,NaN,NaN,76,76,NaN
401420070,77,NaN,94,NaN,78,NaN,NaN,60,NaN,88,NaN,75,70,NaN,60,87,60,79,82,72,NaN,60,NaN,95,79,79,71,65,NaN,87,62,85,NaN,NaN,NaN,NaN,84,NaN,83,75,NaN,64,NaN,NaN,NaN,81,99,72,NaN,NaN,74,NaN,80,84,72,NaN,NaN,NaN,NaN,NaN,NaN,86,88,NaN,78,NaN,NaN,NaN,73,NaN
401420071,62,NaN,91,78,NaN,84,NaN,60,72,NaN,71,NaN,NaN,NaN,65,89,60,67,67,60,NaN,60,NaN,67,63,NaN,60,NaN,71,NaN,62,NaN,72,NaN,NaN,NaN,86,NaN,NaN,NaN,63,NaN,NaN,80,85,NaN,NaN,NaN,76,NaN,NaN,72,NaN,74,NaN,75,79,NaN,NaN,NaN,62,NaN,91,83,63,NaN,NaN,NaN,NaN,NaN
401420072,62,NaN,89,NaN,61,NaN,NaN,50,70,NaN,NaN,59,NaN,50,13,NaN,50,55,25,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420074,66,NaN,93,NaN,69,NaN,NaN,77,NaN,74,NaN,84,72,NaN,60,72,80,76,76,64,NaN,72,NaN,62,69,79,60,NaN,74,NaN,81,85,NaN,NaN,NaN,NaN,72,NaN,75,74,NaN,62,NaN,NaN,NaN,NaN,76,76,NaN,NaN,77,73,38,68,66,24,NaN,NaN,NaN,NaN,NaN,60,NaN,52,17,NaN,NaN,-1,30,NaN
401420075,73,94,NaN,NaN,81,NaN,95,63,64,NaN,69,NaN,NaN,NaN,81,97,88,91,90,76,NaN,60,96,98,71,73,NaN,NaN,77,91,97,88,NaN,NaN,NaN,NaN,88,NaN,NaN,89,76,NaN,86,NaN,82,91,99,NaN,82,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
401420076,64,NaN,90,NaN,77,NaN,NaN,53,NaN,65,NaN,80,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420077,64,NaN,89,NaN,78,NaN,95,61,66,NaN,64,NaN,NaN,NaN,74,86,71,78,92,80,NaN,84,97,67,88,91,78,NaN,87,91,94,NaN,88,NaN,88,NaN,88,93,97,95,NaN,97,91,NaN,NaN,91,99,80,NaN,NaN,91,NaN,96,91,NaN,NaN,84,90,NaN,NaN,NaN,86,NaN,NaN,90,NaN,NaN,88,88,NaN
401420078,82,NaN,86,NaN,70,NaN,NaN,75,NaN,92,NaN,82,91,NaN,75,98,79,68,77,64,NaN,79,NaN,NaN,67,80,70,NaN,88,90,68,83,NaN,NaN,NaN,NaN,74,NaN,76,87,77,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,65,NaN,82,NaN,83,NaN,NaN,NaN,84,NaN,93,NaN,82,91,NaN,NaN,NaN,NaN
401420079,62,72,NaN,69,NaN,91,NaN,67,60,NaN,NaN,77,NaN,NaN,66,65,75,75,75,60,NaN,62,92,60,60,60,NaN,88,NaN,NaN,69,NaN,85,NaN,NaN,NaN,73,NaN,NaN,NaN,73,NaN,NaN,78,NaN,NaN,99,NaN,76,NaN,NaN,NaN,60,71,79,83,82,NaN,NaN,NaN,NaN,68,90,NaN,63,NaN,NaN,NaN,NaN,NaN
401420080,60,NaN,82,NaN,74,NaN,NaN,61,69,NaN,NaN,84,NaN,90,62,73,75,80,62,72,NaN,60,NaN,NaN,62,NaN,70,63,NaN,NaN,64,87,NaN,NaN,NaN,NaN,70,NaN,NaN,73,NaN,70,NaN,80,NaN,NaN,NaN,74,NaN,NaN,79,73,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,90,82,NaN,82,NaN,NaN,62,NaN
401420081,79,90,NaN,78,NaN,89,NaN,70,63,NaN,83,NaN,NaN,NaN,73,64,86,93,74,77,NaN,88,NaN,NaN,86,93,78,91,NaN,89,90,88,NaN,NaN,85,NaN,89,NaN,99,99,NaN,89,85,71,NaN,89,99,80,NaN,NaN,86,91,92,97,90,78,84,NaN,NaN,NaN,81,NaN,92,NaN,86,86,NaN,NaN,99,NaN
401420082,70,NaN,82,NaN,78,NaN,NaN,67,NaN,60,82,58,82,NaN,80,64,68,74,62,74,NaN,62,NaN,73,65,71,NaN,NaN,70,NaN,77,NaN,86,NaN,NaN,NaN,60,NaN,NaN,75,NaN,64,NaN,NaN,NaN,NaN,60,80,NaN,NaN,NaN,NaN,67,63,84,NaN,77,NaN,78,NaN,75,NaN,NaN,79,NaN,NaN,86,NaN,79,NaN
401420083,43,72,NaN,61,NaN,95,NaN,55,60,NaN,68,NaN,NaN,NaN,34,NaN,31,53,44,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420084,60,NaN,82,NaN,70,NaN,NaN,60,NaN,77,NaN,67,NaN,79,78,NaN,74,65,60,63,NaN,70,NaN,90,60,62,NaN,NaN,67,NaN,87,86,NaN,NaN,NaN,NaN,82,NaN,NaN,94,NaN,88,NaN,70,NaN,NaN,86,NaN,81,NaN,NaN,NaN,99,87,NaN,81,NaN,NaN,NaN,NaN,NaN,78,89,80,NaN,87,NaN,79,99,NaN
