id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4202002@物件導向程式設計@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203065@專題研究A(二)@2@1,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204353@電腦輔助工程分析與實務運用@1@1,4204703@嵌入式控制器設計@1@1,4202054@實驗方法與量測理論@2@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203067@專題研究C（二）@2@1,4203068@專題研究D（二）@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203755@機電專題實作(一)@2@1,4203755@機電專題實作(一)@2@2,4203952@工程光學@2@1,4204159@創意工程設計@2@1
403420053,81,79,NaN,77,NaN,NaN,66,60,60,93,NaN,NaN,NaN,78,NaN,NaN,62,77,82,82,85,79,NaN,81,87,-1,75,NaN,NaN,88,87,NaN,NaN,NaN,NaN,84,73,99,NaN,97,NaN,89,NaN,NaN,86,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403420054,80,NaN,86,NaN,82,NaN,NaN,81,61,NaN,90,NaN,92,NaN,NaN,95,74,84,81,89,65,-1,NaN,70,87,NaN,NaN,74,NaN,77,88,NaN,NaN,NaN,NaN,NaN,79,85,NaN,81,NaN,84,70,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
403420055,97,77,NaN,83,NaN,83,NaN,NaN,93,96,NaN,85,NaN,NaN,NaN,NaN,100,100,99,99,99,100,NaN,100,99,NaN,NaN,100,NaN,99,NaN,81,NaN,NaN,NaN,93,88,NaN,95,NaN,95,87,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403420056,60,NaN,70,NaN,71,NaN,NaN,75,60,NaN,81,NaN,74,NaN,NaN,75,60,71,77,67,68,-1,NaN,-1,-1,NaN,60,NaN,NaN,84,84,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,64,NaN,86,NaN,NaN,60,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420057,41,60,NaN,71,NaN,NaN,60,NaN,27,NaN,90,NaN,49,NaN,NaN,NaN,16,64,67,38,52,5,NaN,11,61,NaN,50,NaN,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403420058,61,NaN,86,NaN,71,NaN,NaN,96,72,NaN,90,59,NaN,75,NaN,90,61,64,61,71,71,-1,NaN,72,NaN,NaN,64,NaN,NaN,68,83,NaN,NaN,NaN,NaN,NaN,66,78,NaN,NaN,70,NaN,60,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420059,69,87,NaN,80,NaN,NaN,93,NaN,60,NaN,91,NaN,91,NaN,NaN,NaN,72,86,77,76,87,60,NaN,70,NaN,63,NaN,63,89,-1,89,NaN,NaN,NaN,NaN,NaN,76,NaN,78,71,NaN,88,NaN,93,92,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420060,60,NaN,78,NaN,78,NaN,NaN,92,-1,87,NaN,NaN,NaN,85,NaN,81,60,69,61,35,68,-1,NaN,60,64,NaN,NaN,67,NaN,-1,NaN,87,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403420061,74,82,NaN,78,NaN,NaN,78,73,60,NaN,74,NaN,78,NaN,NaN,NaN,61,72,73,68,75,61,NaN,71,71,64,79,NaN,NaN,65,NaN,83,87,NaN,NaN,NaN,76,NaN,72,NaN,85,85,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403420062,70,NaN,82,NaN,74,NaN,NaN,82,-1,86,NaN,NaN,76,NaN,NaN,89,60,60,60,60,60,64,NaN,-1,-1,-1,NaN,60,NaN,-1,NaN,87,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,70,NaN,NaN,NaN,64,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420063,66,85,NaN,76,NaN,83,NaN,75,60,89,NaN,81,NaN,NaN,NaN,NaN,65,68,72,71,77,60,NaN,60,65,77,74,NaN,NaN,66,NaN,76,NaN,NaN,NaN,NaN,70,87,NaN,NaN,71,87,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403420064,69,NaN,71,NaN,83,NaN,NaN,85,60,90,NaN,NaN,NaN,77,85,NaN,60,72,63,70,69,60,NaN,68,66,53,NaN,67,NaN,-1,NaN,89,NaN,NaN,81,NaN,64,NaN,72,74,NaN,84,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420066,99,NaN,89,NaN,85,NaN,NaN,98,68,91,NaN,NaN,NaN,87,95,NaN,76,88,94,87,84,70,NaN,87,94,NaN,96,NaN,88,79,90,NaN,NaN,NaN,NaN,NaN,81,NaN,77,80,NaN,NaN,NaN,91,91,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420067,75,85,NaN,78,NaN,NaN,97,NaN,70,90,NaN,80,NaN,NaN,NaN,NaN,71,69,91,82,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403420068,82,NaN,72,NaN,79,NaN,NaN,91,60,NaN,92,83,NaN,NaN,NaN,94,67,95,88,93,94,74,NaN,90,81,75,NaN,87,NaN,85,NaN,92,NaN,88,NaN,NaN,74,NaN,77,NaN,90,84,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
403420069,90,80,NaN,82,NaN,NaN,80,87,60,NaN,95,NaN,NaN,97,NaN,NaN,61,90,64,71,68,-1,NaN,75,-1,NaN,NaN,70,NaN,-1,NaN,91,NaN,NaN,NaN,NaN,65,NaN,65,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
403420070,81,NaN,73,NaN,75,NaN,NaN,93,60,NaN,97,80,NaN,NaN,NaN,87,65,83,99,81,87,82,NaN,69,96,84,NaN,74,NaN,87,NaN,84,NaN,NaN,NaN,NaN,76,NaN,74,87,NaN,84,NaN,83,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403420071,60,85,NaN,78,NaN,NaN,83,71,82,93,NaN,NaN,79,NaN,NaN,NaN,60,70,82,68,71,64,NaN,70,78,-1,78,NaN,-1,63,NaN,86,90,NaN,NaN,NaN,73,NaN,NaN,NaN,80,84,NaN,NaN,70,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
403420072,71,NaN,89,NaN,81,NaN,NaN,87,64,NaN,93,91,NaN,NaN,NaN,99,80,100,90,97,92,96,NaN,99,94,96,94,NaN,-1,95,88,NaN,92,NaN,NaN,NaN,79,NaN,91,NaN,97,89,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420073,87,85,NaN,73,NaN,83,NaN,NaN,66,NaN,93,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403420074,79,NaN,92,NaN,76,100,NaN,83,60,94,NaN,NaN,NaN,76,0,NaN,61,64,60,61,60,-1,NaN,-1,60,NaN,67,NaN,NaN,-1,83,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420075,86,74,NaN,77,NaN,88,NaN,NaN,74,90,NaN,NaN,83,NaN,NaN,NaN,98,100,96,90,98,100,NaN,96,98,NaN,NaN,100,NaN,99,86,NaN,NaN,NaN,NaN,93,75,NaN,93,NaN,93,87,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403420076,62,NaN,82,NaN,78,NaN,NaN,NaN,60,NaN,97,71,NaN,NaN,80,NaN,54,56,60,66,60,-1,NaN,60,60,NaN,NaN,60,NaN,-1,86,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420078,71,NaN,82,NaN,77,NaN,NaN,NaN,77,NaN,92,66,NaN,NaN,NaN,75,64,70,68,75,62,62,NaN,70,71,NaN,74,NaN,NaN,65,84,NaN,NaN,NaN,NaN,NaN,64,64,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403420080,64,NaN,88,NaN,77,NaN,NaN,88,60,94,NaN,NaN,89,NaN,90,NaN,69,85,61,66,72,69,NaN,-1,74,NaN,NaN,81,NaN,65,86,NaN,NaN,NaN,82,NaN,77,NaN,70,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420081,74,79,NaN,76,NaN,87,NaN,90,90,NaN,91,NaN,68,NaN,NaN,NaN,64,90,72,74,72,60,NaN,74,70,NaN,NaN,65,-1,60,NaN,65,NaN,79,NaN,NaN,72,NaN,69,71,NaN,82,NaN,NaN,60,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420082,69,NaN,78,NaN,74,NaN,NaN,82,60,NaN,94,NaN,NaN,69,75,NaN,64,72,80,60,65,60,68,61,88,64,NaN,72,NaN,-1,NaN,87,NaN,NaN,NaN,NaN,66,NaN,73,NaN,83,88,NaN,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403420083,66,73,NaN,75,NaN,NaN,75,NaN,60,NaN,89,NaN,NaN,92,NaN,NaN,44,68,71,NaN,61,45,NaN,56,NaN,NaN,NaN,40,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403420084,80,NaN,89,NaN,83,NaN,NaN,79,60,NaN,93,88,NaN,NaN,NaN,91,66,81,84,84,81,62,NaN,76,74,67,NaN,80,NaN,62,83,NaN,NaN,NaN,NaN,80,77,NaN,65,NaN,85,82,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403420085,63,74,NaN,76,NaN,83,NaN,89,-1,90,NaN,NaN,NaN,73,NaN,NaN,64,77,81,65,71,71,NaN,67,84,67,NaN,60,NaN,-1,86,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,82,88,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
403420086,71,NaN,75,NaN,77,NaN,NaN,90,60,86,NaN,87,NaN,NaN,NaN,91,77,81,74,80,75,70,NaN,69,76,73,NaN,80,NaN,69,NaN,78,NaN,NaN,NaN,NaN,60,NaN,69,NaN,82,85,NaN,88,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
403420087,86,86,NaN,82,NaN,NaN,99,90,69,NaN,97,NaN,83,NaN,NaN,NaN,61,84,86,87,78,87,NaN,85,95,84,NaN,86,NaN,76,NaN,91,NaN,NaN,NaN,NaN,79,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403420088,87,NaN,78,NaN,87,NaN,NaN,92,66,NaN,94,NaN,95,NaN,75,NaN,79,100,77,79,86,100,68,77,69,72,95,NaN,NaN,76,88,NaN,NaN,NaN,NaN,77,73,89,82,NaN,88,83,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN
403420089,65,67,NaN,75,NaN,85,NaN,82,70,NaN,86,63,NaN,NaN,NaN,NaN,60,63,68,66,60,-1,NaN,-1,63,NaN,60,NaN,NaN,-1,84,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420090,60,NaN,89,NaN,77,NaN,NaN,92,61,NaN,93,NaN,NaN,80,NaN,99,60,64,67,62,69,60,NaN,60,-1,-1,NaN,62,-1,-1,NaN,83,89,NaN,NaN,NaN,70,NaN,NaN,NaN,78,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403420091,60,82,NaN,79,NaN,NaN,84,68,-1,92,NaN,NaN,NaN,73,NaN,NaN,60,69,71,60,60,60,NaN,64,64,NaN,NaN,63,NaN,-1,NaN,81,NaN,NaN,NaN,NaN,66,NaN,64,78,NaN,83,NaN,NaN,66,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
403420092,70,NaN,70,NaN,73,100,NaN,75,87,NaN,76,NaN,69,NaN,0,NaN,71,89,76,79,73,76,NaN,80,87,-1,NaN,85,NaN,70,86,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,95,NaN,NaN,89,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403420093,79,82,NaN,73,NaN,NaN,95,84,63,90,NaN,NaN,NaN,78,NaN,NaN,60,68,75,72,72,60,NaN,65,NaN,NaN,84,NaN,NaN,-1,NaN,86,NaN,NaN,NaN,NaN,70,NaN,63,NaN,80,88,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420094,80,NaN,83,NaN,75,NaN,NaN,90,60,NaN,78,NaN,72,NaN,NaN,80,70,78,89,84,81,64,NaN,71,77,88,NaN,76,NaN,74,86,NaN,86,NaN,NaN,NaN,73,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420095,65,88,NaN,81,NaN,88,NaN,92,60,92,NaN,NaN,86,NaN,NaN,NaN,84,83,87,90,95,94,NaN,86,86,86,NaN,92,NaN,86,NaN,91,NaN,88,NaN,NaN,78,NaN,83,NaN,97,86,NaN,89,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403420096,77,NaN,85,NaN,76,NaN,NaN,NaN,60,NaN,95,76,NaN,NaN,NaN,81,72,75,86,80,72,75,NaN,72,92,80,NaN,85,NaN,81,NaN,93,86,NaN,NaN,NaN,78,89,NaN,NaN,87,NaN,NaN,88,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN
403420097,81,78,NaN,71,NaN,90,NaN,62,67,94,NaN,NaN,NaN,64,NaN,NaN,82,61,84,80,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403420098,65,NaN,65,NaN,79,NaN,NaN,82,60,90,NaN,NaN,NaN,84,82,NaN,64,84,84,72,70,89,NaN,79,83,-1,87,NaN,NaN,83,NaN,89,NaN,NaN,NaN,84,81,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
