id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4203006@專題研究D（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203067@專題研究C（二）@2@1,4203068@專題研究D（二）@2@1,4203602@流體力學（一）@2@1,4203753@訊號與影像處理導論@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203104@機械設計@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204301@應用光學與實務@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203066@專題研究B（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204052@精密機械生產技術實習@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204014@機械工程與綠色科技@1@1,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204703@嵌入式控制器設計@1@1,4204054@專利侵害鑑定理論與實務@2@1,4203104@機械設計@1@2
400420078,93,NaN,76,NaN,87,NaN,NaN,87,81,NaN,NaN,70,98,NaN,91,NaN,92,99,94,92,NaN,98,NaN,94,83,99,94,NaN,88,NaN,88,85,NaN,87,NaN,NaN,94,NaN,NaN,84,94,NaN,81,93,NaN,90,87,NaN,NaN,NaN,NaN,NaN,87,91,100,NaN,NaN,NaN,NaN,79,NaN,90,NaN,NaN,NaN,NaN,NaN
400420079,88,85,NaN,83,NaN,82,NaN,86,62,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400420080,69,NaN,70,NaN,80,NaN,NaN,64,NaN,77,NaN,70,NaN,81,60,NaN,63,60,65,60,NaN,75,97,NaN,61,16,NaN,71,NaN,NaN,NaN,62,NaN,83,NaN,NaN,63,NaN,NaN,NaN,NaN,60,39,NaN,8,78,NaN,75,NaN,NaN,NaN,NaN,50,77,69,77,NaN,83,NaN,NaN,71,83,85,90,91,77,NaN
400420081,72,77,NaN,77,NaN,NaN,85,74,85,NaN,84,NaN,NaN,NaN,82,85,91,90,74,80,NaN,86,92,80,74,84,NaN,92,NaN,NaN,NaN,69,NaN,NaN,89,NaN,85,NaN,99,NaN,NaN,95,NaN,NaN,NaN,94,79,NaN,NaN,87,80,NaN,NaN,81,93,NaN,NaN,NaN,NaN,NaN,84,84,88,NaN,NaN,83,NaN
400420082,63,NaN,80,NaN,76,NaN,NaN,60,NaN,68,NaN,60,NaN,88,72,76,65,60,62,62,NaN,63,NaN,70,72,77,NaN,79,NaN,NaN,NaN,76,NaN,NaN,84,NaN,76,NaN,NaN,NaN,NaN,68,NaN,75,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,71,55,76,NaN,73,NaN,NaN,68,NaN,83,NaN,87,72,77,NaN
400420083,69,73,NaN,77,NaN,NaN,87,62,65,NaN,67,NaN,NaN,NaN,81,88,72,81,79,85,NaN,97,NaN,81,82,81,85,NaN,85,NaN,NaN,74,NaN,86,NaN,NaN,93,NaN,99,86,87,NaN,75,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,89,78,91,NaN,NaN,NaN,94,NaN,71,91,NaN,NaN,78,83,NaN
400420084,79,NaN,79,NaN,79,NaN,NaN,62,NaN,87,NaN,71,NaN,85,70,97,69,72,94,70,NaN,87,NaN,73,60,99,65,NaN,67,NaN,NaN,98,NaN,86,NaN,NaN,83,NaN,96,78,67,NaN,NaN,NaN,89,NaN,NaN,79,NaN,NaN,NaN,90,84,NaN,100,99,NaN,82,NaN,NaN,79,87,91,NaN,96,NaN,NaN
400420085,68,71,NaN,82,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400420086,87,NaN,83,NaN,79,NaN,NaN,71,NaN,81,NaN,77,NaN,81,75,78,78,74,74,78,89,90,NaN,NaN,79,77,75,90,NaN,85,NaN,71,NaN,NaN,86,NaN,84,NaN,NaN,83,NaN,96,77,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,92,95,NaN,NaN,NaN,NaN,NaN,89,83,NaN,NaN,93,NaN,NaN
400420087,65,83,NaN,79,NaN,NaN,86,60,75,NaN,83,NaN,NaN,NaN,67,90,89,71,71,74,NaN,71,NaN,71,66,76,NaN,97,NaN,81,NaN,80,NaN,88,NaN,82,71,NaN,NaN,66,78,NaN,NaN,NaN,74,87,NaN,82,NaN,NaN,68,NaN,82,NaN,NaN,NaN,NaN,75,NaN,NaN,69,91,87,NaN,91,77,NaN
400420088,75,NaN,84,NaN,78,NaN,NaN,62,NaN,82,NaN,76,70,NaN,80,78,70,73,84,70,NaN,75,NaN,NaN,63,82,67,82,NaN,NaN,NaN,60,NaN,NaN,87,NaN,75,NaN,NaN,NaN,NaN,84,72,84,NaN,90,75,NaN,NaN,NaN,77,NaN,NaN,73,89,NaN,70,NaN,NaN,NaN,78,84,NaN,NaN,87,81,NaN
400420089,77,90,NaN,72,NaN,90,NaN,67,62,NaN,NaN,66,NaN,NaN,62,82,60,74,72,64,NaN,65,NaN,67,61,69,NaN,NaN,66,NaN,NaN,79,NaN,83,NaN,NaN,73,NaN,NaN,NaN,83,NaN,77,87,NaN,90,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,73,NaN,NaN,NaN,62,90,84,NaN,89,80,NaN
400420090,78,NaN,79,NaN,82,NaN,NaN,76,NaN,84,NaN,74,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400420091,68,85,NaN,76,NaN,85,NaN,74,83,NaN,79,NaN,NaN,NaN,83,91,85,81,81,72,88,83,NaN,92,73,81,71,NaN,80,NaN,90,70,NaN,NaN,95,NaN,83,93,99,87,87,NaN,NaN,NaN,NaN,93,78,NaN,NaN,NaN,NaN,NaN,87,82,86,NaN,NaN,72,97,87,NaN,92,NaN,NaN,95,NaN,NaN
400420092,72,NaN,60,NaN,77,NaN,NaN,64,NaN,80,NaN,71,NaN,85,75,78,92,88,79,70,NaN,80,92,78,69,75,NaN,96,NaN,NaN,89,77,NaN,83,NaN,NaN,76,NaN,94,NaN,NaN,86,61,NaN,NaN,88,NaN,78,NaN,NaN,72,NaN,NaN,55,97,NaN,77,NaN,NaN,NaN,79,83,NaN,NaN,94,77,NaN
400420093,74,84,NaN,83,NaN,NaN,82,70,72,NaN,81,NaN,NaN,NaN,77,NaN,89,86,78,82,NaN,80,NaN,NaN,78,89,85,89,NaN,NaN,89,90,NaN,87,NaN,89,87,NaN,99,NaN,NaN,93,77,79,77,NaN,84,NaN,NaN,NaN,NaN,NaN,90,89,96,NaN,NaN,NaN,NaN,NaN,83,88,NaN,NaN,NaN,NaN,NaN
400420094,65,NaN,73,NaN,68,NaN,NaN,64,NaN,81,NaN,75,10,90,62,NaN,64,60,70,67,NaN,66,NaN,60,73,60,NaN,NaN,68,NaN,NaN,76,NaN,84,NaN,NaN,73,NaN,NaN,NaN,NaN,72,73,74,NaN,67,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,64,NaN,NaN,63,NaN,81,89,89,85,77,NaN
400420095,13,0,NaN,44,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400420096,94,NaN,82,NaN,84,NaN,NaN,99,NaN,85,NaN,84,NaN,85,81,97,99,97,98,91,90,98,NaN,95,91,99,92,NaN,93,NaN,NaN,89,NaN,87,NaN,NaN,95,NaN,99,NaN,NaN,95,89,92,90,NaN,81,NaN,NaN,NaN,86,NaN,90,89,97,NaN,NaN,NaN,NaN,NaN,88,NaN,89,84,NaN,80,NaN
400420097,77,89,NaN,85,NaN,88,NaN,71,83,NaN,81,NaN,NaN,NaN,79,87,94,91,92,77,NaN,88,NaN,81,88,89,83,NaN,86,NaN,87,98,NaN,86,NaN,86,84,NaN,NaN,NaN,90,NaN,NaN,84,NaN,NaN,90,NaN,NaN,81,NaN,NaN,86,87,98,86,NaN,NaN,NaN,96,NaN,91,86,84,NaN,NaN,NaN
400420098,82,NaN,76,NaN,82,NaN,NaN,70,NaN,90,83,NaN,NaN,82,69,89,74,80,87,81,NaN,91,NaN,78,75,83,76,NaN,84,NaN,NaN,80,NaN,NaN,90,91,86,NaN,NaN,73,82,NaN,71,76,84,NaN,81,NaN,NaN,81,81,NaN,NaN,90,95,NaN,NaN,80,NaN,NaN,80,NaN,NaN,80,NaN,NaN,NaN
400420100,93,NaN,85,NaN,82,NaN,NaN,94,NaN,79,NaN,87,NaN,81,89,93,99,99,99,99,NaN,98,NaN,97,87,99,98,NaN,93,86,NaN,82,NaN,NaN,90,NaN,95,NaN,99,94,NaN,100,NaN,86,NaN,NaN,84,NaN,NaN,NaN,NaN,99,NaN,96,98,NaN,NaN,NaN,NaN,NaN,96,90,NaN,NaN,96,NaN,NaN
400420102,72,NaN,82,NaN,72,NaN,NaN,77,80,NaN,NaN,74,NaN,83,61,84,76,72,64,65,NaN,67,83,NaN,60,72,NaN,69,NaN,NaN,NaN,60,NaN,86,NaN,NaN,77,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,60,40,80,NaN,78,NaN,NaN,70,NaN,NaN,66,NaN,NaN,90,68,84,NaN
400420103,77,89,NaN,72,NaN,91,NaN,70,72,NaN,82,NaN,NaN,NaN,78,60,69,78,83,78,NaN,82,NaN,NaN,60,60,60,93,NaN,NaN,NaN,82,NaN,85,NaN,NaN,71,NaN,88,56,61,NaN,NaN,NaN,67,NaN,NaN,79,NaN,NaN,66,NaN,84,NaN,88,NaN,NaN,77,NaN,NaN,63,91,88,NaN,NaN,79,NaN
400420104,71,NaN,74,NaN,70,NaN,NaN,61,NaN,73,NaN,79,93,NaN,61,86,60,64,62,61,NaN,68,NaN,68,65,63,62,NaN,65,NaN,NaN,64,NaN,89,NaN,NaN,71,NaN,NaN,69,NaN,65,73,NaN,NaN,83,NaN,74,NaN,NaN,NaN,60,70,60,63,NaN,65,NaN,NaN,NaN,72,86,83,26,87,NaN,NaN
