id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4203006@專題研究D（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203067@專題研究C（二）@2@1,4203068@專題研究D（二）@2@1,4203602@流體力學（一）@2@1,4203753@訊號與影像處理導論@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203104@機械設計@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204301@應用光學與實務@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203066@專題研究B（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204052@精密機械生產技術實習@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204014@機械工程與綠色科技@1@1,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204703@嵌入式控制器設計@1@1,4204054@專利侵害鑑定理論與實務@2@1,4203104@機械設計@1@2
400420045,80,84,NaN,79,NaN,92,NaN,77,68,NaN,84,NaN,NaN,NaN,63,85,75,70,66,72,NaN,75,NaN,NaN,65,60,71,NaN,67,NaN,83,68,NaN,83,NaN,NaN,77,79,67,NaN,60,NaN,NaN,87,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,81,NaN,92,NaN,NaN,82,94,NaN,67,89,NaN,NaN,NaN,73,NaN
400420046,76,NaN,71,NaN,70,NaN,NaN,60,NaN,84,NaN,84,85,NaN,73,98,62,62,60,71,NaN,74,NaN,77,75,69,70,NaN,80,NaN,NaN,66,NaN,87,NaN,NaN,74,NaN,NaN,63,69,NaN,NaN,87,NaN,NaN,72,NaN,NaN,NaN,55,NaN,60,39,64,NaN,NaN,79,88,NaN,78,81,86,NaN,93,NaN,NaN
400420047,78,85,NaN,77,NaN,91,NaN,80,68,NaN,85,NaN,NaN,NaN,86,91,99,81,80,93,NaN,92,95,95,87,86,87,NaN,94,88,NaN,87,NaN,NaN,93,NaN,94,NaN,88,96,87,NaN,76,NaN,79,NaN,83,NaN,NaN,90,77,81,NaN,86,93,NaN,NaN,NaN,NaN,92,NaN,NaN,87,NaN,94,NaN,NaN
400420048,70,NaN,77,NaN,82,NaN,NaN,60,NaN,89,NaN,78,63,NaN,74,NaN,60,82,60,63,NaN,74,NaN,60,67,81,NaN,NaN,78,NaN,NaN,71,NaN,85,NaN,NaN,77,90,NaN,68,80,NaN,72,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,73,NaN,74,NaN,NaN,NaN,70,96,NaN,74,83,85,70,NaN,NaN,NaN
400420049,71,83,NaN,79,NaN,89,NaN,50,NaN,62,75,NaN,NaN,NaN,69,81,60,73,55,63,NaN,68,NaN,22,56,55,NaN,65,NaN,NaN,NaN,60,NaN,85,NaN,NaN,70,NaN,61,NaN,NaN,80,60,NaN,NaN,NaN,NaN,63,NaN,77,NaN,NaN,NaN,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400420050,65,NaN,74,NaN,72,NaN,NaN,60,NaN,87,NaN,66,98,NaN,60,81,60,63,60,60,NaN,60,NaN,68,70,77,60,NaN,65,NaN,NaN,60,NaN,NaN,83,NaN,65,NaN,NaN,NaN,66,NaN,NaN,77,NaN,78,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,65,80,NaN,NaN,60,79,82,NaN,69,80,NaN
400420051,64,75,NaN,81,NaN,88,NaN,70,68,NaN,80,NaN,NaN,NaN,68,73,74,72,72,80,NaN,80,NaN,86,65,60,71,94,NaN,NaN,NaN,97,NaN,85,NaN,NaN,81,NaN,NaN,60,78,NaN,NaN,85,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,82,NaN,93,NaN,NaN,77,NaN,67,NaN,88,NaN,NaN,89,73,NaN
400420052,66,NaN,79,NaN,77,NaN,NaN,52,NaN,91,NaN,78,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400420054,79,NaN,72,NaN,73,NaN,NaN,71,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400420056,70,NaN,81,NaN,86,NaN,NaN,60,NaN,88,74,NaN,NaN,82,62,87,63,70,70,67,NaN,77,NaN,75,75,65,64,NaN,72,NaN,NaN,60,NaN,85,NaN,NaN,68,NaN,NaN,NaN,67,NaN,74,81,NaN,NaN,78,NaN,NaN,82,NaN,64,60,52,78,NaN,NaN,74,NaN,NaN,76,NaN,74,NaN,75,70,NaN
