id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4202501@熱力學（一）@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202553@熱力學（二）@2@1
405420078,90,NaN,77,NaN,75,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405420079,95,71,NaN,78,NaN,NaN,71,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405420080,70,NaN,60,NaN,61,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405420081,77,NaN,NaN,88,NaN,NaN,92,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420082,76,NaN,77,NaN,76,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
405420083,79,80,NaN,86,NaN,NaN,52,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420084,71,NaN,62,NaN,61,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
405420085,76,71,NaN,76,NaN,100,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420086,86,NaN,81,NaN,89,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
405420087,63,79,NaN,73,NaN,NaN,86,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420088,69,NaN,80,NaN,77,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
405420089,80,73,NaN,90,NaN,100,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420090,73,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
405420091,95,64,NaN,80,NaN,NaN,51,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420093,82,71,NaN,92,NaN,NaN,86,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420094,77,NaN,74,NaN,81,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
405420095,71,64,NaN,70,NaN,NaN,86,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420096,79,NaN,73,NaN,77,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
405420097,72,72,NaN,74,NaN,100,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420098,95,NaN,73,NaN,60,NaN,NaN,91,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
405420099,92,76,NaN,71,NaN,100,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420100,72,NaN,64,NaN,66,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
405420101,82,76,NaN,88,NaN,100,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420102,70,NaN,64,NaN,62,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
405420104,67,NaN,73,NaN,64,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
405420105,77,63,NaN,82,NaN,100,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405420106,81,NaN,87,NaN,89,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
405420107,86,71,NaN,68,NaN,100,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405420108,69,NaN,75,NaN,61,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
405420109,100,60,NaN,96,NaN,100,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405420030,NaN,NaN,77,NaN,69,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
