id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202054@實驗方法與量測理論@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4204015@工具機概論@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201151@工程圖學（二）@2@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203062@熱工與流力實驗@2@1,4203066@專題研究B（二）@2@1,4203068@專題研究D（二）@2@1,4203602@流體力學（一）@2@1,4203952@工程光學@2@1,4204052@精密機械生產技術實習@2@1,4204552@機械工程CFD 分析與軟體應用@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204106@光學實驗@1@1,4204109@機電整合與應用@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4202054@實驗方法與量測理論@2@1,4203062@熱工與流力實驗@2@2,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203753@訊號與影像處理導論@2@1,4204053@積層製造（立體列印）@2@1,4204159@創意工程設計@2@1,4203003@專題研究A（一）@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4204012@自動控制實驗@1@1,4204014@機械工程與綠色科技@1@1,4204301@應用光學與實務@1@1,4203754@訊號與影像處理導論@2@1,4204109@機電整合與應用@2@1,4204017@專利寫作理論與實務@1@1,4204054@專利侵害鑑定理論與實務@2@1,4201101@工程圖學（一）@1@2,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@2
499420072,94,NaN,95,NaN,90,NaN,91,94,98,91,82,89,83,NaN,NaN,87,NaN,97,98,72,NaN,74,74,79,NaN,74,82,NaN,NaN,NaN,87,NaN,85,NaN,95,NaN,78,86,NaN,74,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,92,95,NaN,NaN,NaN,NaN,75,95,97
499420074,72,NaN,94,NaN,72,99,72,78,71,61,72,62,67,NaN,NaN,73,95,72,76,63,NaN,73,80,NaN,NaN,66,60,NaN,NaN,NaN,77,NaN,NaN,88,70,72,78,79,NaN,NaN,NaN,NaN,NaN,NaN,44,NaN,NaN,NaN,NaN,71,66,50,62,71,76,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,92,NaN,NaN,86,99,87
499420075,82,86,NaN,73,77,NaN,NaN,71,70,60,83,76,64,70,74,68,83,65,67,NaN,NaN,63,74,NaN,NaN,60,NaN,60,NaN,NaN,85,NaN,NaN,NaN,66,NaN,70,NaN,75,NaN,NaN,NaN,NaN,84,60,61,80,NaN,NaN,NaN,NaN,60,NaN,72,86,NaN,70,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420076,87,NaN,85,NaN,80,90,NaN,77,86,73,90,NaN,73,NaN,NaN,82,95,72,77,70,NaN,74,NaN,NaN,NaN,72,NaN,NaN,NaN,91,NaN,NaN,86,NaN,79,76,82,81,NaN,63,NaN,NaN,NaN,90,NaN,85,29,83,NaN,NaN,NaN,NaN,76,85,88,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,70,83,70
499420077,74,87,NaN,71,80,81,NaN,60,69,79,62,NaN,75,80,77,67,NaN,70,79,60,60,NaN,79,NaN,NaN,74,62,62,NaN,86,NaN,NaN,NaN,NaN,63,NaN,66,NaN,84,NaN,NaN,NaN,NaN,82,NaN,80,NaN,NaN,NaN,76,NaN,NaN,NaN,62,NaN,NaN,48,NaN,NaN,67,92,94,50,NaN,42,77,NaN,NaN,NaN
499420078,70,NaN,83,NaN,88,NaN,66,72,75,75,79,87,71,NaN,NaN,76,95,82,85,75,76,NaN,78,NaN,NaN,73,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,99,90,90,NaN,92,NaN,NaN,NaN,95,88,NaN,88,NaN,NaN,92,91,68,74,78,87,95,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,73,80,75
499420079,65,83,NaN,69,65,88,NaN,60,67,72,80,NaN,73,78,71,77,87,62,70,63,70,NaN,NaN,NaN,92,84,49,NaN,NaN,85,NaN,NaN,NaN,89,61,69,NaN,NaN,76,76,87,NaN,NaN,NaN,62,84,88,79,NaN,NaN,63,70,56,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420080,83,NaN,87,NaN,85,79,85,98,91,87,85,NaN,86,NaN,NaN,86,NaN,90,83,NaN,NaN,72,84,NaN,NaN,65,72,NaN,NaN,88,NaN,NaN,NaN,NaN,80,NaN,79,91,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,86,83,81,NaN,NaN,75,83,NaN,NaN,NaN,NaN,68,92,NaN,NaN,NaN,NaN,NaN,87,76,68
499420081,72,80,NaN,75,78,95,87,66,80,74,84,79,81,81,84,84,NaN,84,76,68,NaN,76,76,NaN,NaN,63,83,65,NaN,NaN,85,NaN,NaN,88,77,86,75,67,NaN,73,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,72,80,88,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420082,80,NaN,80,NaN,87,94,82,68,79,74,86,80,78,NaN,NaN,83,NaN,71,65,54,NaN,71,NaN,NaN,NaN,61,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,75,NaN,69,80,NaN,72,NaN,NaN,NaN,81,NaN,73,NaN,75,NaN,NaN,NaN,64,68,79,94,NaN,72,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,76,82,75
499420083,70,79,NaN,68,90,97,NaN,83,90,84,91,82,65,69,77,84,98,93,93,71,85,NaN,81,NaN,NaN,92,NaN,NaN,NaN,NaN,87,NaN,88,NaN,99,84,94,NaN,93,NaN,NaN,NaN,NaN,88,NaN,91,NaN,NaN,87,92,75,99,NaN,94,94,NaN,NaN,NaN,NaN,85,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420085,83,81,NaN,72,87,83,NaN,60,81,64,70,73,66,62,68,87,NaN,73,67,NaN,NaN,60,77,NaN,NaN,60,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,87,NaN,82,88,NaN,NaN,81,NaN,NaN,88,NaN,61,80,NaN,83,NaN,NaN,NaN,NaN,78,76,NaN,NaN,NaN,NaN,69,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
