id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202054@實驗方法與量測理論@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4204015@工具機概論@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201151@工程圖學（二）@2@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203062@熱工與流力實驗@2@1,4203066@專題研究B（二）@2@1,4203068@專題研究D（二）@2@1,4203602@流體力學（一）@2@1,4203952@工程光學@2@1,4204052@精密機械生產技術實習@2@1,4204552@機械工程CFD 分析與軟體應用@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204106@光學實驗@1@1,4204109@機電整合與應用@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4202054@實驗方法與量測理論@2@1,4203062@熱工與流力實驗@2@2,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203753@訊號與影像處理導論@2@1,4204053@積層製造（立體列印）@2@1,4204159@創意工程設計@2@1,4203003@專題研究A（一）@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4204012@自動控制實驗@1@1,4204014@機械工程與綠色科技@1@1,4204301@應用光學與實務@1@1,4203754@訊號與影像處理導論@2@1,4204109@機電整合與應用@2@1,4204017@專利寫作理論與實務@1@1,4204054@專利侵害鑑定理論與實務@2@1,4201101@工程圖學（一）@1@2,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@2
499420048,68,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420104,69,NaN,83,67,86,98,NaN,98,87,90,88,89,83,74,85,86,NaN,88,90,NaN,81,NaN,NaN,NaN,91,75,NaN,NaN,NaN,92,NaN,NaN,NaN,89,65,83,NaN,87,NaN,NaN,NaN,NaN,93,92,87,NaN,NaN,89,NaN,NaN,77,80,NaN,81,95,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420105,NaN,NaN,81,NaN,83,99,NaN,74,85,82,96,84,78,67,84,86,NaN,80,79,NaN,NaN,69,78,NaN,NaN,60,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,65,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,86,NaN,NaN,73,88,72,88,NaN,86,NaN,NaN,67,90,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
499420004,74,NaN,82,NaN,76,81,NaN,76,90,75,81,89,70,NaN,NaN,83,NaN,85,89,72,68,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,87,NaN,88,NaN,77,NaN,76,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,85,NaN,NaN,71,78,NaN,83,92,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,70,94,81
499420005,64,84,NaN,68,65,80,NaN,72,80,70,74,77,76,79,72,85,NaN,72,73,NaN,60,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,71,NaN,73,64,NaN,77,86,NaN,NaN,84,NaN,79,NaN,77,NaN,NaN,NaN,69,NaN,76,73,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420007,65,86,NaN,66,45,NaN,60,53,78,66,65,NaN,67,61,79,13,NaN,60,53,NaN,NaN,65,NaN,NaN,NaN,62,NaN,48,NaN,82,NaN,NaN,NaN,NaN,46,NaN,NaN,33,NaN,60,NaN,NaN,NaN,NaN,NaN,69,NaN,77,NaN,NaN,40,NaN,59,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420008,70,NaN,84,NaN,60,60,NaN,60,60,60,42,NaN,50,NaN,NaN,52,81,52,47,NaN,47,NaN,NaN,NaN,NaN,37,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,60,NaN,54,38,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,75,63
499420009,73,87,NaN,74,64,92,NaN,92,69,77,82,89,61,NaN,78,65,99,67,55,NaN,NaN,60,80,NaN,NaN,67,NaN,83,NaN,92,NaN,NaN,NaN,NaN,72,NaN,NaN,78,NaN,NaN,89,NaN,NaN,92,NaN,81,NaN,NaN,NaN,NaN,NaN,70,66,NaN,NaN,NaN,NaN,NaN,NaN,66,95,91,77,NaN,NaN,NaN,NaN,78,NaN
499420010,70,NaN,81,NaN,82,95,80,78,86,81,86,NaN,66,NaN,NaN,76,NaN,94,68,70,NaN,72,78,NaN,NaN,68,NaN,67,NaN,88,NaN,NaN,NaN,NaN,65,66,NaN,78,NaN,NaN,NaN,NaN,NaN,87,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,82,70,90,95,NaN,NaN,NaN,77,89,NaN,NaN,NaN,NaN,NaN,73,78,66
499420011,70,82,NaN,72,70,NaN,73,60,75,60,74,73,60,61,72,80,NaN,70,71,50,NaN,67,80,NaN,NaN,60,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,86,84,NaN,60,NaN,NaN,NaN,83,NaN,76,NaN,NaN,NaN,82,70,76,NaN,74,83,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420012,70,78,NaN,76,60,87,65,64,69,72,60,73,62,NaN,NaN,60,78,60,50,33,NaN,60,NaN,NaN,NaN,63,NaN,64,NaN,NaN,70,NaN,NaN,NaN,60,NaN,NaN,NaN,68,NaN,70,NaN,NaN,76,NaN,83,NaN,72,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,70,NaN,NaN,65,85,NaN,NaN,NaN,NaN,NaN,NaN,62,65
499420013,71,80,NaN,74,90,NaN,NaN,70,86,91,93,68,74,77,89,83,NaN,72,99,85,NaN,66,NaN,NaN,87,74,73,78,NaN,91,NaN,NaN,NaN,84,88,81,NaN,NaN,99,81,NaN,NaN,NaN,NaN,82,NaN,93,91,NaN,NaN,NaN,NaN,NaN,84,96,96,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420014,80,NaN,84,NaN,64,95,67,76,70,71,79,72,83,NaN,NaN,65,84,66,62,52,NaN,60,NaN,NaN,NaN,63,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,60,NaN,68,73,NaN,71,NaN,NaN,NaN,79,NaN,75,NaN,73,NaN,NaN,NaN,60,NaN,84,82,NaN,71,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,77,80,71
499420015,98,85,NaN,83,97,95,NaN,97,99,99,97,NaN,94,79,99,93,95,92,99,95,72,NaN,84,82,NaN,95,NaN,NaN,NaN,90,NaN,86,NaN,NaN,99,89,NaN,90,NaN,NaN,NaN,NaN,NaN,83,NaN,85,NaN,NaN,NaN,84,NaN,NaN,40,89,99,NaN,NaN,NaN,NaN,72,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420016,65,NaN,90,NaN,60,92,NaN,62,60,73,63,73,60,NaN,81,72,NaN,60,NaN,65,NaN,62,NaN,NaN,NaN,65,60,66,NaN,83,NaN,NaN,NaN,NaN,67,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,81,60,81,60,75,NaN,NaN,NaN,40,80,NaN,76,NaN,80,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,73,79,50
499420017,65,79,NaN,66,60,84,NaN,67,76,64,88,78,66,72,70,86,NaN,78,67,NaN,61,NaN,76,NaN,NaN,60,NaN,85,NaN,84,NaN,NaN,NaN,NaN,72,NaN,74,73,NaN,65,NaN,NaN,64,84,NaN,88,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,83,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420018,74,NaN,84,NaN,84,85,NaN,73,87,78,84,83,66,NaN,NaN,81,NaN,84,77,70,NaN,67,NaN,NaN,91,70,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,94,72,NaN,90,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,87,81,NaN,93,74,NaN,76,85,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,82,81,76
499420019,71,84,NaN,67,91,NaN,NaN,60,83,69,96,72,84,79,66,90,NaN,79,83,93,NaN,83,78,NaN,NaN,79,67,71,NaN,85,NaN,NaN,NaN,NaN,76,99,NaN,99,NaN,85,NaN,NaN,NaN,87,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,92,92,90,NaN,77,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420020,76,NaN,86,NaN,81,NaN,60,73,83,68,79,82,72,NaN,NaN,72,NaN,85,79,NaN,NaN,70,NaN,86,NaN,63,74,73,NaN,NaN,80,89,NaN,NaN,84,NaN,66,NaN,80,62,NaN,NaN,70,90,NaN,81,NaN,76,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,93,NaN,NaN,NaN,NaN,80,82,83
499420021,70,81,NaN,74,68,82,NaN,79,68,60,64,NaN,61,73,60,70,67,66,60,50,NaN,60,NaN,83,NaN,60,NaN,NaN,NaN,84,NaN,86,NaN,NaN,62,NaN,65,NaN,68,NaN,NaN,91,NaN,82,NaN,NaN,68,74,NaN,NaN,53,61,NaN,62,78,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
499420022,77,NaN,83,NaN,82,NaN,79,79,83,78,77,NaN,69,NaN,NaN,82,NaN,84,86,66,74,NaN,78,NaN,86,72,79,NaN,NaN,NaN,85,NaN,NaN,NaN,60,82,NaN,70,NaN,NaN,NaN,NaN,77,82,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,78,77,97,NaN,NaN,NaN,NaN,79,92,NaN,NaN,NaN,NaN,NaN,74,75,69
499420023,77,91,NaN,78,71,82,NaN,74,78,67,84,75,77,77,81,82,NaN,72,87,72,NaN,82,79,NaN,NaN,64,68,NaN,NaN,NaN,86,NaN,NaN,NaN,80,NaN,84,NaN,93,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,67,NaN,72,93,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420024,87,NaN,94,NaN,83,NaN,NaN,87,98,83,94,NaN,92,NaN,NaN,86,NaN,80,91,76,73,NaN,NaN,82,NaN,62,NaN,90,NaN,81,NaN,86,NaN,NaN,90,91,NaN,81,NaN,NaN,NaN,NaN,NaN,85,NaN,87,NaN,84,NaN,NaN,NaN,NaN,NaN,91,97,NaN,82,NaN,NaN,73,93,NaN,NaN,NaN,NaN,NaN,87,94,90
499420025,75,83,NaN,74,71,79,NaN,79,71,63,73,75,67,64,70,72,NaN,68,NaN,NaN,NaN,62,72,NaN,NaN,60,NaN,61,NaN,NaN,78,NaN,NaN,NaN,70,NaN,NaN,78,NaN,NaN,80,NaN,NaN,82,NaN,73,80,NaN,NaN,NaN,NaN,NaN,71,NaN,82,NaN,77,NaN,NaN,65,89,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420026,90,NaN,85,NaN,81,92,NaN,95,80,85,79,NaN,69,NaN,NaN,84,98,73,85,NaN,75,NaN,NaN,NaN,NaN,60,NaN,NaN,71,85,NaN,NaN,93,NaN,73,NaN,82,NaN,89,81,NaN,NaN,NaN,NaN,NaN,83,NaN,83,91,NaN,69,NaN,81,93,92,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,81,NaN,NaN,73,81,67
499420027,70,87,NaN,77,70,85,NaN,60,80,64,94,83,63,NaN,NaN,79,NaN,70,NaN,68,NaN,68,NaN,86,NaN,60,NaN,NaN,NaN,NaN,87,90,NaN,NaN,63,63,NaN,76,NaN,67,NaN,NaN,NaN,80,42,71,66,72,NaN,91,65,NaN,66,84,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,86,75
499420028,73,NaN,90,NaN,63,91,75,72,74,64,69,79,65,NaN,NaN,61,NaN,68,67,NaN,NaN,67,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,67,NaN,NaN,69,NaN,66,NaN,NaN,NaN,86,NaN,91,NaN,78,89,NaN,NaN,62,NaN,86,75,95,78,89,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,82,86,82
499420029,70,90,NaN,76,86,97,78,83,75,87,74,86,67,89,83,77,96,66,68,53,NaN,65,82,NaN,89,75,NaN,NaN,NaN,95,NaN,NaN,NaN,86,93,NaN,84,90,NaN,NaN,88,NaN,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,99,NaN,87,NaN,NaN,81,93,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN
499420030,60,NaN,90,NaN,64,79,63,68,76,77,61,76,60,NaN,NaN,70,NaN,68,81,46,NaN,67,75,NaN,NaN,60,55,64,NaN,NaN,86,NaN,NaN,NaN,75,NaN,68,NaN,76,61,NaN,NaN,NaN,86,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,67,72,81,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,69,65,62
499420031,91,84,NaN,80,90,NaN,90,98,99,99,98,NaN,96,81,77,98,NaN,99,99,85,NaN,88,84,88,NaN,93,NaN,99,NaN,NaN,91,90,NaN,NaN,99,NaN,90,95,NaN,NaN,85,NaN,NaN,89,NaN,93,NaN,NaN,NaN,86,NaN,99,NaN,95,91,NaN,NaN,NaN,NaN,87,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420032,70,NaN,85,NaN,81,95,NaN,78,86,73,96,87,65,NaN,NaN,81,NaN,78,86,80,78,NaN,76,NaN,89,83,NaN,NaN,NaN,NaN,86,NaN,NaN,86,99,75,NaN,94,NaN,70,NaN,NaN,83,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,92,88,90,NaN,84,NaN,91,NaN,94,NaN,NaN,NaN,NaN,NaN,75,94,87
499420033,70,87,NaN,77,62,NaN,NaN,79,68,61,78,60,63,77,92,66,NaN,74,66,65,NaN,69,83,87,NaN,65,NaN,62,NaN,NaN,87,90,NaN,NaN,95,NaN,80,66,NaN,NaN,NaN,NaN,78,81,77,76,80,NaN,NaN,92,67,NaN,NaN,75,76,NaN,NaN,NaN,NaN,76,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420034,81,NaN,94,NaN,83,97,NaN,93,83,97,92,NaN,76,NaN,NaN,84,NaN,92,78,70,77,NaN,89,NaN,90,81,90,NaN,NaN,96,NaN,NaN,NaN,NaN,65,73,79,91,NaN,83,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,81,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,89,NaN,NaN,NaN,80,94,87
499420035,80,90,NaN,77,62,NaN,66,60,80,64,72,75,60,82,68,67,NaN,81,66,NaN,60,NaN,NaN,NaN,NaN,60,53,78,NaN,84,NaN,NaN,NaN,NaN,82,NaN,60,66,NaN,60,NaN,NaN,NaN,88,NaN,83,NaN,83,NaN,NaN,52,NaN,80,NaN,NaN,NaN,76,NaN,NaN,NaN,95,93,NaN,NaN,45,77,NaN,NaN,NaN
499420036,76,NaN,84,NaN,90,NaN,84,98,96,93,96,NaN,93,NaN,NaN,91,NaN,88,92,92,NaN,86,74,NaN,NaN,91,91,NaN,NaN,NaN,88,NaN,NaN,88,90,95,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,78,78,94,NaN,NaN,NaN,NaN,78,93,NaN,NaN,88,NaN,NaN,76,99,86
499420037,85,89,NaN,72,86,NaN,73,72,87,75,90,NaN,71,80,89,89,NaN,92,87,74,NaN,80,NaN,NaN,NaN,76,NaN,NaN,NaN,89,NaN,NaN,86,NaN,63,69,77,NaN,91,NaN,87,NaN,NaN,80,NaN,86,NaN,90,NaN,NaN,NaN,NaN,76,81,87,NaN,NaN,NaN,NaN,64,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420038,NaN,NaN,81,NaN,60,NaN,NaN,64,50,37,57,82,NaN,NaN,NaN,50,NaN,61,NaN,NaN,NaN,36,NaN,NaN,NaN,18,NaN,NaN,NaN,59,NaN,NaN,NaN,NaN,44,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,73,64
499420039,62,85,NaN,71,61,NaN,64,71,74,67,74,68,55,65,68,71,NaN,60,69,NaN,60,NaN,NaN,NaN,NaN,73,NaN,60,NaN,NaN,78,NaN,NaN,NaN,78,NaN,60,79,NaN,NaN,NaN,NaN,NaN,76,NaN,73,NaN,64,NaN,NaN,NaN,63,67,NaN,72,NaN,79,NaN,NaN,63,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420040,62,NaN,88,NaN,42,86,53,60,55,58,56,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,85,54
499420041,70,88,NaN,71,60,81,66,61,73,74,69,66,64,65,69,74,76,70,73,47,NaN,71,NaN,86,NaN,65,NaN,60,NaN,81,NaN,88,NaN,NaN,69,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,71,NaN,78,NaN,76,NaN,NaN,NaN,NaN,80,NaN,71,NaN,76,NaN,NaN,60,86,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420042,62,NaN,77,NaN,66,91,NaN,60,71,60,62,79,60,NaN,67,66,95,64,56,NaN,NaN,60,76,NaN,NaN,59,NaN,66,NaN,81,NaN,NaN,NaN,NaN,77,NaN,63,70,NaN,66,NaN,NaN,NaN,78,NaN,NaN,65,NaN,NaN,69,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,60,NaN,83,70,69,64,57
499420043,78,87,NaN,72,70,NaN,NaN,65,60,62,60,72,60,65,60,72,78,72,79,NaN,NaN,60,NaN,NaN,NaN,60,NaN,74,NaN,85,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,78,NaN,82,NaN,NaN,82,NaN,NaN,75,83,NaN,NaN,NaN,NaN,62,65,69,NaN,74,NaN,NaN,70,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420044,84,NaN,79,NaN,91,90,NaN,91,87,86,85,NaN,77,NaN,NaN,83,83,89,83,60,NaN,69,76,NaN,NaN,74,NaN,NaN,NaN,NaN,86,NaN,87,NaN,82,NaN,75,NaN,87,81,83,NaN,NaN,86,83,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,83,92,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,79,80,61
499420045,65,77,NaN,71,49,NaN,61,40,31,35,63,NaN,64,72,73,64,NaN,50,NaN,41,NaN,65,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420046,77,NaN,89,NaN,65,85,NaN,68,70,67,62,NaN,67,NaN,65,70,64,68,63,NaN,60,NaN,77,NaN,NaN,60,54,64,NaN,83,NaN,NaN,NaN,NaN,60,NaN,69,NaN,83,63,NaN,NaN,NaN,81,61,NaN,74,NaN,NaN,NaN,69,62,NaN,NaN,84,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,70,56
499420047,64,83,NaN,77,61,98,85,64,74,77,72,83,64,80,95,80,93,61,NaN,NaN,NaN,60,NaN,NaN,89,70,NaN,68,NaN,NaN,85,NaN,NaN,86,67,NaN,69,NaN,75,66,88,NaN,NaN,NaN,47,90,NaN,79,NaN,82,NaN,NaN,NaN,60,86,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,83,NaN,NaN,NaN,NaN,NaN
499420049,70,87,NaN,67,60,NaN,NaN,74,65,69,61,77,40,60,56,60,78,60,72,NaN,85,NaN,65,NaN,NaN,60,NaN,60,NaN,NaN,84,NaN,NaN,NaN,60,NaN,NaN,NaN,80,60,NaN,NaN,NaN,83,46,85,60,NaN,NaN,NaN,NaN,71,83,60,NaN,NaN,70,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420050,73,79,NaN,64,60,83,74,71,73,64,65,67,60,NaN,NaN,64,NaN,19,54,64,NaN,70,79,79,NaN,63,21,NaN,NaN,85,NaN,NaN,NaN,NaN,38,62,NaN,79,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN,78,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,64
499420051,65,76,NaN,70,60,78,NaN,61,75,69,60,61,71,NaN,79,63,79,66,68,NaN,60,NaN,71,NaN,NaN,60,NaN,64,NaN,NaN,79,NaN,NaN,NaN,81,NaN,NaN,64,NaN,60,NaN,NaN,NaN,81,NaN,76,62,NaN,NaN,83,NaN,NaN,NaN,NaN,70,NaN,76,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN
499420052,81,NaN,85,NaN,80,NaN,79,82,82,73,73,82,73,NaN,NaN,84,NaN,80,83,60,NaN,70,84,NaN,NaN,74,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,73,79,74,NaN,87,NaN,NaN,NaN,NaN,NaN,60,87,NaN,NaN,NaN,NaN,74,NaN,NaN,65,84,NaN,NaN,NaN,NaN,66,92,NaN,NaN,NaN,NaN,NaN,73,68,65
499420053,77,84,NaN,73,70,91,73,66,73,60,70,65,60,63,72,73,NaN,61,75,60,NaN,77,68,NaN,NaN,75,NaN,63,NaN,82,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,80,66,NaN,NaN,68,78,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,67,75,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420054,80,NaN,87,NaN,83,98,82,62,80,83,81,83,71,NaN,NaN,74,NaN,68,67,NaN,NaN,66,NaN,NaN,NaN,69,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,83,NaN,83,85,NaN,83,82,NaN,NaN,87,NaN,NaN,NaN,81,88,NaN,NaN,66,NaN,74,86,97,NaN,NaN,NaN,NaN,89,NaN,NaN,82,NaN,NaN,79,90,64
499420055,70,83,NaN,68,67,76,NaN,60,71,64,67,NaN,67,63,64,80,79,61,73,60,60,NaN,NaN,NaN,NaN,61,72,60,NaN,NaN,82,NaN,NaN,NaN,64,67,NaN,NaN,78,NaN,NaN,NaN,76,82,68,NaN,NaN,80,NaN,87,NaN,73,NaN,NaN,NaN,96,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420056,70,NaN,85,NaN,76,92,88,76,82,73,71,77,74,NaN,NaN,74,NaN,73,75,60,69,NaN,72,NaN,NaN,60,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,82,NaN,82,NaN,NaN,87,NaN,NaN,NaN,NaN,88,NaN,NaN,72,NaN,89,87,NaN,NaN,NaN,NaN,70,87,NaN,NaN,NaN,NaN,NaN,81,81,72
499420057,62,78,NaN,64,67,20,60,65,69,60,62,NaN,54,61,67,60,NaN,60,-1,NaN,NaN,61,NaN,NaN,NaN,63,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,60,NaN,77,NaN,60,67,79,NaN,NaN,NaN,NaN,83,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,91,73,69,NaN,60,79,NaN,NaN,NaN
499420058,77,NaN,87,NaN,81,95,75,67,82,78,88,NaN,70,NaN,NaN,79,NaN,77,75,60,NaN,77,78,NaN,NaN,73,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,71,73,73,85,NaN,68,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,74,75,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,75,NaN,NaN,NaN,80,79,76
499420059,62,79,NaN,73,82,NaN,64,69,60,63,69,76,63,60,85,71,NaN,68,NaN,48,NaN,64,80,NaN,NaN,68,63,75,NaN,84,NaN,NaN,NaN,NaN,73,NaN,67,NaN,88,NaN,80,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,80,83,NaN,NaN,NaN,NaN,60,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420060,82,NaN,80,NaN,85,NaN,70,84,75,65,72,77,65,NaN,NaN,79,NaN,65,64,52,NaN,65,82,NaN,NaN,66,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,64,NaN,76,71,NaN,63,NaN,NaN,NaN,82,NaN,74,NaN,NaN,NaN,NaN,NaN,60,64,78,88,NaN,70,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,74,83,67
499420061,64,92,NaN,83,60,NaN,72,60,71,66,65,83,81,78,96,60,NaN,66,60,60,82,56,75,87,NaN,62,NaN,NaN,NaN,NaN,84,87,NaN,NaN,99,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,89,NaN,93,NaN,NaN,NaN,78,NaN,NaN,62,73,74,NaN,NaN,NaN,NaN,73,95,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN
