id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352021@統計分析與應用@1@1,2352023@礦物與岩石學@1@1,2352008@程式設計與應用@2@1,2352010@電磁學@2@1,2352011@水文學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2353006@環境化學@2@1,2353013@環境工程（一）@2@1,2353030@環境土壤學@2@1,2354016@海洋與大氣學@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353023@地震教育@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353035@有限差分法及其應用@1@1,2354009@環境工程（二）@1@1,2352009@土壤力學@2@1,2352015@沉積環境@2@1,2353005@大地測量@2@1,2353011@地球物理探勘@2@1,2353036@地震預警與地震前兆@2@1,2354017@時序分析@2@1,2354018@石油地質@2@1,2353033@專題研究（一）@1@1,2353037@震源與破裂過程@1@1,2354017@時序分析@1@1,2354019@野外地球物理@1@1,2352024@地磁學@2@1,2353020@專題研究（二）@2@1,2353038@沉積學@2@1,2354021@石油地質@2@1
400235016,67,91,NaN,NaN,94,NaN,89,78,71,69,NaN,70,71,64,75,80,NaN,62,63,76,NaN,66,60,NaN,NaN,62,63,67,NaN,85,92,80,91,92,NaN,NaN,90,70,90,NaN,NaN,83,90,NaN,85,88,NaN,NaN,NaN,NaN
400235017,70,91,NaN,80,87,NaN,85,NaN,76,72,NaN,70,NaN,71,64,71,NaN,60,66,69,69,68,77,NaN,NaN,NaN,61,67,69,88,85,NaN,79,91,NaN,NaN,81,79,81,88,NaN,83,90,NaN,80,91,NaN,NaN,NaN,NaN
400235018,67,NaN,83,NaN,82,NaN,84,82,60,60,NaN,69,70,63,71,74,NaN,80,73,NaN,NaN,65,60,79,NaN,70,53,82,NaN,NaN,81,80,NaN,NaN,89,NaN,75,80,NaN,84,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235019,70,NaN,86,80,90,86,NaN,NaN,73,69,NaN,66,70,66,87,NaN,NaN,98,68,NaN,70,NaN,95,95,86,66,89,66,83,NaN,NaN,92,NaN,NaN,91,92,NaN,91,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235020,60,87,NaN,NaN,81,NaN,70,85,64,70,63,71,60,67,65,NaN,NaN,64,80,NaN,NaN,60,77,NaN,67,50,NaN,60,73,NaN,NaN,NaN,67,NaN,86,72,NaN,NaN,NaN,64,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87
400235022,69,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235025,75,81,NaN,85,82,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235026,73,88,NaN,NaN,89,NaN,84,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235027,45,NaN,71,85,83,76,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235028,75,86,NaN,NaN,90,NaN,83,78,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235029,78,NaN,85,82,94,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235030,71,NaN,84,NaN,81,82,NaN,78,71,67,NaN,69,83,75,61,NaN,NaN,51,63,72,NaN,73,82,NaN,75,61,NaN,64,NaN,NaN,NaN,NaN,69,NaN,78,NaN,68,NaN,NaN,88,79,86,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN
400235031,72,86,NaN,82,85,77,NaN,NaN,61,66,78,68,65,65,75,NaN,NaN,NaN,65,52,NaN,76,75,NaN,60,60,NaN,67,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,66,79,NaN,85,NaN,NaN,NaN,82,80,NaN,87
400235032,82,NaN,83,NaN,89,85,NaN,78,71,80,NaN,84,86,75,77,95,NaN,85,83,74,58,86,79,89,88,NaN,91,72,82,NaN,NaN,80,NaN,92,90,75,NaN,69,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84
400235034,60,87,NaN,NaN,80,NaN,79,78,60,60,76,62,60,68,62,80,NaN,67,63,NaN,31,65,72,80,53,60,64,60,69,NaN,NaN,72,NaN,NaN,83,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235035,60,84,NaN,80,83,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235036,74,NaN,86,NaN,90,NaN,85,85,75,79,NaN,74,78,61,73,97,NaN,80,67,74,63,77,95,NaN,NaN,NaN,63,81,70,NaN,77,74,NaN,87,NaN,NaN,82,75,77,NaN,77,90,0,89,NaN,87,NaN,NaN,NaN,NaN
400235037,78,87,NaN,80,84,NaN,83,NaN,70,76,NaN,77,NaN,65,83,91,89,98,86,85,NaN,87,96,NaN,NaN,85,82,70,NaN,NaN,90,86,90,NaN,85,NaN,90,71,NaN,68,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235038,80,NaN,84,NaN,88,86,NaN,85,71,79,NaN,68,70,60,73,86,NaN,93,69,NaN,NaN,NaN,88,84,NaN,63,NaN,84,NaN,88,87,90,87,NaN,81,NaN,NaN,90,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235040,87,90,NaN,NaN,95,NaN,84,85,94,79,NaN,89,NaN,89,95,95,NaN,99,95,99,NaN,85,99,NaN,NaN,90,99,80,NaN,92,95,95,95,NaN,95,NaN,95,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235041,79,85,NaN,80,82,NaN,82,NaN,66,68,NaN,70,NaN,63,68,71,72,67,60,62,NaN,64,67,NaN,NaN,72,NaN,68,NaN,NaN,82,72,76,NaN,77,NaN,83,69,NaN,75,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235042,38,0,34,NaN,62,NaN,0,85,60,33,NaN,62,NaN,61,47,NaN,NaN,NaN,25,NaN,NaN,60,64,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,5,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235043,65,NaN,82,85,65,83,NaN,NaN,87,75,NaN,60,NaN,74,64,70,NaN,52,60,67,NaN,85,84,NaN,NaN,NaN,NaN,77,NaN,NaN,78,NaN,69,NaN,83,NaN,61,74,NaN,67,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,93
400235044,69,NaN,79,NaN,75,83,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235045,30,88,NaN,85,70,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235046,65,90,NaN,NaN,87,NaN,85,85,60,60,NaN,63,68,70,71,81,NaN,42,71,NaN,NaN,79,60,NaN,NaN,64,60,71,NaN,84,87,73,81,NaN,77,NaN,86,65,48,86,NaN,87,NaN,88,73,87,93,NaN,NaN,86
400235047,61,75,NaN,85,73,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235048,72,89,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235049,80,90,NaN,85,92,NaN,87,NaN,93,77,NaN,92,80,93,85,92,NaN,98,88,NaN,74,81,95,99,92,NaN,99,91,97,91,NaN,92,84,97,92,95,NaN,NaN,NaN,91,87,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235050,73,90,NaN,NaN,85,NaN,81,80,78,69,86,NaN,72,77,90,90,NaN,91,68,NaN,65,72,65,67,90,NaN,70,81,NaN,84,NaN,85,NaN,88,79,NaN,NaN,71,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87
400235051,69,85,NaN,85,83,79,NaN,NaN,63,64,NaN,63,60,74,75,64,NaN,66,60,NaN,NaN,62,65,52,84,NaN,NaN,78,NaN,NaN,NaN,70,69,NaN,82,NaN,77,NaN,NaN,71,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,84
400235052,30,74,NaN,NaN,71,NaN,66,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235053,71,NaN,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235024,60,NaN,61,NaN,72,60,NaN,85,64,72,NaN,63,72,61,63,NaN,NaN,NaN,64,NaN,NaN,76,66,NaN,65,NaN,66,68,NaN,NaN,80,NaN,68,NaN,78,NaN,72,66,NaN,63,NaN,82,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
400235033,60,NaN,80,82,79,NaN,81,NaN,60,67,NaN,72,60,67,60,NaN,NaN,40,72,68,NaN,55,81,NaN,NaN,NaN,NaN,64,NaN,NaN,79,NaN,79,NaN,67,NaN,73,64,NaN,69,NaN,85,NaN,91,NaN,89,NaN,NaN,NaN,NaN
400235055,67,NaN,79,92,77,88,NaN,NaN,61,60,NaN,71,80,66,65,NaN,NaN,65,75,NaN,NaN,73,71,NaN,70,63,NaN,62,NaN,88,NaN,NaN,72,NaN,NaN,NaN,NaN,70,NaN,80,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
400235056,60,NaN,75,86,76,64,0,NaN,75,75,60,70,60,68,62,NaN,NaN,NaN,74,NaN,31,65,69,42,60,NaN,NaN,70,NaN,72,NaN,NaN,NaN,NaN,76,68,NaN,NaN,NaN,65,64,NaN,NaN,84,NaN,NaN,60,NaN,NaN,85
400235058,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
