id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352021@統計分析與應用@1@1,2352023@礦物與岩石學@1@1,2352008@程式設計與應用@2@1,2352010@電磁學@2@1,2352011@水文學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2353006@環境化學@2@1,2353013@環境工程（一）@2@1,2353030@環境土壤學@2@1,2354016@海洋與大氣學@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353023@地震教育@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353035@有限差分法及其應用@1@1,2354009@環境工程（二）@1@1,2352009@土壤力學@2@1,2352015@沉積環境@2@1,2353005@大地測量@2@1,2353011@地球物理探勘@2@1,2353036@地震預警與地震前兆@2@1,2354017@時序分析@2@1,2354018@石油地質@2@1,2353033@專題研究（一）@1@1,2353037@震源與破裂過程@1@1,2354017@時序分析@1@1,2354019@野外地球物理@1@1,2352024@地磁學@2@1,2353020@專題研究（二）@2@1,2353038@沉積學@2@1,2354021@石油地質@2@1
400235001,60,NaN,73,82,76,61,NaN,NaN,64,68,NaN,74,40,78,72,60,NaN,66,67,55,NaN,NaN,64,68,70,70,60,64,NaN,76,NaN,NaN,60,NaN,74,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84
400235002,75,91,NaN,NaN,80,NaN,84,85,66,72,NaN,87,90,62,75,75,NaN,83,77,NaN,NaN,70,92,85,88,67,69,75,NaN,78,86,76,79,NaN,93,NaN,NaN,NaN,NaN,72,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235003,49,NaN,70,82,70,64,NaN,NaN,24,20,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,20,39,NaN,NaN,19,60,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235005,65,NaN,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235006,60,80,NaN,NaN,76,NaN,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235007,76,87,NaN,85,91,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235008,42,87,NaN,NaN,70,62,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235009,60,NaN,86,85,82,83,NaN,NaN,60,60,NaN,65,68,60,60,61,NaN,60,60,NaN,NaN,63,66,NaN,NaN,65,NaN,81,NaN,82,84,NaN,80,NaN,79,NaN,79,64,NaN,90,NaN,85,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
400235010,70,NaN,86,NaN,86,85,NaN,82,61,71,NaN,79,80,60,76,83,NaN,67,61,63,67,67,85,83,NaN,73,53,87,95,NaN,87,NaN,85,NaN,97,NaN,NaN,91,NaN,95,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
400235011,67,NaN,83,85,84,NaN,79,NaN,69,61,67,70,60,61,67,NaN,NaN,73,60,NaN,NaN,68,86,82,76,67,75,76,79,NaN,NaN,74,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400235012,76,87,NaN,NaN,77,67,NaN,82,61,60,NaN,63,NaN,62,73,71,NaN,82,71,63,NaN,72,66,NaN,55,47,65,72,74,NaN,NaN,75,75,NaN,71,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,81
400235013,82,88,NaN,85,80,NaN,83,NaN,72,68,77,NaN,65,66,78,97,NaN,94,69,NaN,77,76,76,NaN,NaN,NaN,NaN,70,73,88,79,NaN,72,93,NaN,NaN,NaN,80,68,77,NaN,83,88,NaN,76,88,NaN,NaN,NaN,84
400235014,80,NaN,75,NaN,83,NaN,84,82,82,62,NaN,65,60,63,75,82,NaN,60,60,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,86,NaN,88,81,88,75,NaN,87,NaN,NaN,74,43,NaN,NaN,82,NaN,81,NaN,NaN,NaN,NaN,82,NaN
400235015,71,88,NaN,80,80,76,NaN,NaN,60,63,72,76,60,68,70,84,NaN,60,60,76,NaN,76,60,NaN,NaN,NaN,NaN,71,NaN,NaN,80,NaN,77,NaN,83,NaN,73,NaN,42,75,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,86
