id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3151510@睡眠管理@2@1,3151888@學系服務學習@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153309@道德發展@1@1,3153311@情緒心理學@1@1,3153503@心理藥物學@1@1,3153963@行為改變技術@1@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152904@壓力調適：理論與實務@2@1,3153127@視聽覺心理學@2@1,3153261@語言心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3153003@心理測驗學理論@1@1,3153031@高齡學：多元面向探討@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3153104@設計心理學@2@1,3153302@青少年發展@2@1,3153312@兒童發展：推理與決策專題@2@1,3153751@組織行為學@2@1,3153911@優雅的銀髮生活：多層次照護環境之營造@2@1,3153912@台灣銀髮族照護政策與照護組織管理@2@1,3153913@補救教學專題@2@1,3153963@行為改變技術@2@1,3153965@諮商理論@2@1,3154502@睡眠管理@2@1,3153005@情緒與認知@1@1,3153103@認知心理學專題研究@1@1,3153907@臨床心理學見習@1@1,3154103@青年發展與探索@1@1,3153008@神經行銷學專題@2@1,3153105@認知心理學專題研究（二）@2@1,3153311@情緒心理學@2@1,3153104@設計心理學@1@1,3153965@諮商理論@1@1
401315049,80,71,60,78,91,NaN,80,83,72,NaN,77,NaN,81,84,87,73,77,91,88,NaN,90,NaN,79,76,77,96,84,NaN,NaN,NaN,NaN,88,NaN,NaN,90,86,NaN,NaN,89,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315051,90,77,63,78,81,NaN,70,84,79,NaN,77,NaN,81,86,91,77,74,81,91,NaN,82,NaN,75,72,71,97,79,NaN,95,NaN,NaN,88,NaN,NaN,80,91,NaN,NaN,NaN,NaN,NaN,90,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315052,83,64,60,78,NaN,NaN,82,84,78,NaN,NaN,79,64,80,100,79,60,85,91,NaN,NaN,NaN,66,63,86,89,NaN,NaN,NaN,NaN,74,83,77,NaN,76,94,NaN,NaN,NaN,93,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN
401315053,73,60,60,78,89,NaN,65,84,65,NaN,77,NaN,65,70,73,69,60,68,89,NaN,NaN,62,NaN,NaN,66,74,NaN,NaN,NaN,NaN,NaN,81,NaN,72,75,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
401315054,85,82,60,62,NaN,68,70,92,64,NaN,NaN,95,88,81,84,75,71,93,91,NaN,37,0,NaN,NaN,88,94,NaN,NaN,NaN,NaN,74,80,NaN,NaN,96,NaN,NaN,NaN,80,NaN,NaN,60,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315055,84,79,65,83,89,NaN,98,91,75,NaN,77,NaN,79,91,91,81,86,90,87,NaN,NaN,NaN,90,NaN,81,98,88,NaN,NaN,NaN,NaN,98,89,95,91,85,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315057,79,79,64,NaN,NaN,NaN,84,62,60,NaN,NaN,80,69,73,85,67,65,65,86,NaN,65,NaN,NaN,NaN,65,71,NaN,NaN,NaN,83,NaN,73,NaN,NaN,73,NaN,NaN,NaN,71,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315058,86,60,60,90,NaN,NaN,75,66,60,NaN,NaN,NaN,80,NaN,80,71,60,71,88,NaN,NaN,NaN,NaN,38,68,65,73,NaN,NaN,NaN,75,67,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
401315059,91,NaN,71,NaN,90,87,74,76,84,NaN,NaN,NaN,69,65,77,70,60,61,91,NaN,NaN,NaN,NaN,78,64,76,NaN,NaN,NaN,70,62,68,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86
401315060,NaN,NaN,78,NaN,90,NaN,NaN,75,79,NaN,NaN,NaN,86,NaN,92,NaN,68,76,91,NaN,86,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,78,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN
