id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4251910@計算機概論@2@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252700@生物學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252920@應用統計學@2@1,4253700@生物技術概論@2@1,4253911@高分子加工概論@2@1,4253970@特用化學品@2@1,4252710@生物化學@1@1,4253400@單元操作與輸送現象（二）@1@1,4253410@化工熱力學@1@1,4253500@儀器分析@1@1,4253800@組織工程概論@1@1,4253001@化工專題研究（一）@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@1,4253402@化學工程實驗（一）@2@2,4253403@單元操作與輸送現象（三）@2@1,4253501@儀器分析實驗@2@1,4253501@儀器分析實驗@2@2,4253720@生醫材料@2@1,4253730@分離程序@2@1,4253910@高分子概論@2@1,4253940@觸媒化學概論@2@1,4254410@化工反應工程@2@1,4254500@組織工程實驗@2@1
403425043,91,85,93,NaN,NaN,80,98,NaN,81,96,92,94,95,88,NaN,-1,91,NaN,80,70,98,81,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
403425044,54,NaN,68,80,NaN,64,60,63,NaN,69,71,66,67,68,NaN,NaN,61,68,74,68,73,70,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
403425045,73,78,70,NaN,78,84,NaN,NaN,NaN,68,73,67,70,84,-1,NaN,76,NaN,75,74,77,60,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN
403425047,64,78,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403425048,80,NaN,75,85,NaN,76,67,NaN,70,85,92,69,83,65,80,66,NaN,NaN,60,62,70,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN
403425050,82,NaN,99,85,NaN,100,89,NaN,88,88,91,97,97,78,80,72,NaN,NaN,99,92,96,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN
403425051,65,86,82,NaN,-1,79,94,88,NaN,99,90,80,92,NaN,NaN,NaN,92,NaN,84,85,95,87,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
403425052,71,NaN,82,86,NaN,73,61,NaN,70,90,85,73,69,78,NaN,-1,NaN,NaN,71,73,77,68,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN
403425054,78,NaN,67,80,-1,72,45,72,43,76,75,68,71,60,NaN,-1,NaN,NaN,66,71,79,64,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN
403425055,75,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
