id,3305010@政治學方法論@1@1,3305300@公共行政理論@1@1,3305310@國際關係理論@1@1,3305320@比較政治理論@1@1,3305850@人事管理@1@1,3305870@國際法@1@1,3306640@亞洲區域主義@1@1,3305020@社會科學統計@2@1,3305490@政治經濟學@2@1,3306401@公共政策專題研究@2@1,3306410@台灣政經發展專題研究@2@1,3306420@國際組織專題研究@2@1,3305420@國際政治經濟學@1@1,3306730@國際倫理學@2@1
604330001,92,90,90,NaN,91,83,NaN,80,93,93,NaN,79,NaN,NaN
604330003,0,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604330005,92,92,NaN,NaN,92,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604330006,93,92,94,82,NaN,NaN,94,70,93,NaN,76,NaN,89,NaN
604330008,92,94,90,NaN,NaN,88,95,70,94,92,NaN,86,93,-1
604330009,92,93,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
604330010,92,90,90,89,NaN,NaN,94,70,94,NaN,NaN,70,92,NaN
604330015,92,91,90,NaN,NaN,84,NaN,80,93,93,NaN,88,89,NaN
604330016,92,NaN,90,90,NaN,88,94,95,93,NaN,NaN,91,92,NaN
