id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5101002@經濟學原理（二）@2@3,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@5,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103915@訊息經濟學@1@1,5104920@經濟政策@1@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104710@國際貿易實務@2@1,5103307@高等統計學（一）@1@1,5103620@亞太地區經濟@1@1,5103920@統計軟體應用@1@1,5103308@高等統計學（二）@2@1,5103366@賽局理論（二）@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1
401510099,90,NaN,NaN,NaN,NaN,92,NaN,NaN,87,NaN,NaN,NaN,94,NaN,87,NaN,NaN,92,NaN,88,85,NaN,99,NaN,97,86,NaN,89,NaN,NaN,96,NaN,34,NaN,88,NaN,90,NaN,96,99,87,NaN,86,NaN,NaN,NaN,99,NaN,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401510105,62,NaN,NaN,NaN,89,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,66,NaN,75,77,94,81,NaN,NaN,76,81,NaN,81,62,NaN,NaN,76,83,NaN,64,60,NaN,NaN,NaN,80,NaN,76,NaN,69,NaN,84,NaN,72,NaN,92,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN
401510007,NaN,70,NaN,NaN,NaN,92,77,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,82,NaN,87,81,NaN,83,NaN,77,NaN,NaN,69,NaN,86,NaN,NaN,83,77,NaN,64,NaN,NaN,NaN,75,NaN,NaN,81,NaN,65,NaN,NaN,83,96,NaN,88,62,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN
401510008,NaN,75,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,96,50,74,66,NaN,NaN,65,74,NaN,NaN,NaN,50,-1,86,-1,NaN,68,NaN,-1,44,78,-1,NaN,NaN,NaN,73,65,NaN,NaN,NaN,84,NaN,88,75,NaN,NaN,NaN,NaN,58,NaN,NaN,84,87,NaN,NaN,NaN,NaN
401510012,NaN,93,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510016,NaN,95,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,90,NaN,87,NaN,81,NaN,NaN,98,84,NaN,97,NaN,96,NaN,86,87,NaN,84,NaN,NaN,94,94,NaN,76,85,NaN,NaN,90,NaN,86,NaN,92,NaN,96,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510020,NaN,88,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,88,NaN,91,84,NaN,NaN,96,87,93,NaN,NaN,NaN,99,NaN,85,NaN,NaN,96,NaN,96,85,NaN,72,80,NaN,69,NaN,96,95,92,NaN,78,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510023,NaN,81,NaN,NaN,NaN,92,87,NaN,NaN,NaN,NaN,NaN,88,NaN,89,NaN,NaN,92,93,99,90,NaN,92,NaN,90,83,NaN,89,NaN,NaN,92,94,98,NaN,NaN,NaN,99,NaN,97,87,92,NaN,83,NaN,NaN,NaN,88,NaN,94,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510024,NaN,80,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,90,NaN,99,NaN,72,NaN,87,78,82,NaN,NaN,NaN,98,NaN,NaN,85,NaN,75,NaN,80,NaN,88,NaN,60,NaN,NaN,NaN,81,63,78,NaN,88,NaN,80,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510026,NaN,62,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,90,NaN,60,NaN,71,NaN,NaN,76,60,84,NaN,NaN,NaN,63,85,60,NaN,69,NaN,NaN,68,70,NaN,NaN,78,NaN,NaN,68,NaN,80,79,NaN,61,NaN,64,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN
