id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5101002@經濟學原理（二）@2@3,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@5,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103915@訊息經濟學@1@1,5104920@經濟政策@1@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104710@國際貿易實務@2@1,5103307@高等統計學（一）@1@1,5103620@亞太地區經濟@1@1,5103920@統計軟體應用@1@1,5103308@高等統計學（二）@2@1,5103366@賽局理論（二）@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1
401510074,NaN,NaN,NaN,75,NaN,NaN,NaN,80,NaN,NaN,NaN,93,91,NaN,89,NaN,NaN,89,NaN,NaN,NaN,NaN,82,NaN,83,79,NaN,70,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,84,77,NaN,93,86,NaN,NaN,90,NaN,NaN,86,NaN,90,92,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN
401510075,NaN,NaN,NaN,66,NaN,84,NaN,NaN,NaN,64,NaN,NaN,80,NaN,77,NaN,NaN,86,88,NaN,NaN,NaN,85,NaN,NaN,76,NaN,69,NaN,NaN,93,85,NaN,NaN,77,NaN,99,NaN,87,80,84,NaN,72,NaN,NaN,NaN,84,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510086,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,68,NaN,94,81,NaN,72,NaN,NaN,85,81,NaN,NaN,NaN,76,NaN,NaN,64,NaN,NaN,75,NaN,60,83,NaN,NaN,60,NaN,NaN,NaN,61,74,NaN,88,NaN,87,91,NaN,79,NaN,87,73,NaN,NaN,NaN,NaN,NaN,90,81,NaN
401510092,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,62,NaN,NaN,78,80,NaN,66,NaN,NaN,81,80,NaN,NaN,NaN,89,NaN,92,70,NaN,73,NaN,NaN,83,77,NaN,68,NaN,NaN,NaN,75,NaN,77,NaN,86,NaN,93,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510093,NaN,NaN,NaN,60,89,NaN,29,NaN,62,NaN,NaN,NaN,NaN,60,73,NaN,NaN,60,81,72,NaN,NaN,NaN,72,NaN,65,NaN,64,NaN,NaN,62,NaN,76,47,NaN,NaN,87,66,NaN,NaN,79,NaN,78,NaN,79,NaN,76,NaN,85,73,NaN,NaN,92,NaN,NaN,76,NaN,NaN
401510094,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,85,90,NaN,80,NaN,78,NaN,NaN,83,87,NaN,99,NaN,87,NaN,86,75,NaN,81,NaN,NaN,81,84,NaN,72,77,NaN,NaN,80,NaN,80,NaN,93,NaN,94,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510098,NaN,NaN,NaN,60,NaN,85,NaN,52,NaN,NaN,50,NaN,NaN,60,72,NaN,NaN,62,63,NaN,NaN,69,NaN,67,NaN,60,NaN,73,NaN,NaN,67,74,NaN,69,65,NaN,NaN,NaN,70,72,82,NaN,62,NaN,87,NaN,65,NaN,NaN,58,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401510102,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,80,90,NaN,94,NaN,82,NaN,NaN,85,NaN,81,99,NaN,82,NaN,NaN,73,NaN,NaN,81,NaN,78,NaN,66,79,71,NaN,NaN,NaN,71,71,77,NaN,NaN,93,77,NaN,NaN,NaN,NaN,67,NaN,NaN,78,NaN,NaN,NaN,85,-1
401510104,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,72,90,NaN,NaN,75,69,NaN,NaN,84,95,NaN,NaN,NaN,72,NaN,90,65,NaN,NaN,80,NaN,73,84,NaN,81,79,NaN,NaN,NaN,81,84,89,NaN,80,NaN,92,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510108,NaN,NaN,NaN,NaN,NaN,90,84,NaN,NaN,NaN,NaN,NaN,NaN,72,80,NaN,65,NaN,80,NaN,74,NaN,78,NaN,86,73,NaN,NaN,78,88,NaN,NaN,91,NaN,NaN,NaN,67,70,NaN,70,82,NaN,62,NaN,NaN,NaN,74,NaN,NaN,65,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
401510109,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,90,92,NaN,82,NaN,NaN,NaN,NaN,99,86,87,NaN,NaN,91,87,NaN,NaN,NaN,74,83,NaN,96,74,NaN,91,NaN,91,NaN,92,95,NaN,NaN,NaN,89,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,73,NaN,61,NaN,NaN,73,70,76,NaN,NaN,75,NaN,86,69,NaN,73,NaN,64,NaN,70,NaN,NaN,NaN,NaN,72,NaN,87,76,88,NaN,66,NaN,NaN,NaN,60,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN
401510112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,72,NaN,80,NaN,NaN,73,NaN,93,70,NaN,NaN,89,92,71,NaN,75,NaN,NaN,72,78,NaN,64,80,NaN,92,75,NaN,NaN,NaN,89,NaN,90,NaN,NaN,67,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,94,NaN,90,NaN,91,NaN,93,NaN,NaN,NaN,99,98,87,NaN,84,NaN,99,NaN,87,NaN,NaN,NaN,NaN,99,87,NaN,94,90,NaN,89,NaN,91,NaN,75,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510115,NaN,69,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,100,NaN,NaN,65,74,NaN,NaN,62,72,86,NaN,NaN,NaN,60,NaN,66,NaN,NaN,NaN,NaN,64,NaN,61,62,NaN,NaN,68,NaN,74,72,84,NaN,65,NaN,63,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN
401510116,NaN,75,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,100,NaN,NaN,91,88,NaN,80,NaN,NaN,87,NaN,NaN,70,NaN,85,85,NaN,60,NaN,NaN,90,83,NaN,NaN,NaN,NaN,NaN,NaN,92,72,91,NaN,87,NaN,82,NaN,87,NaN,90,85,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN
401510114,NaN,NaN,NaN,NaN,94,NaN,74,NaN,NaN,NaN,NaN,NaN,94,NaN,76,NaN,94,NaN,87,NaN,60,NaN,76,NaN,86,60,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,79,96,NaN,63,NaN,NaN,84,NaN,68,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
401510117,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,70,87,NaN,NaN,NaN,72,NaN,NaN,NaN,60,NaN,71,NaN,NaN,60,63,NaN,NaN,65,NaN,60,71,NaN,NaN,80,64,NaN,71,NaN,NaN,60,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
