id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@5,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102301@統計學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@3,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5101001@經濟學原理（一）@1@6,5102101@個體經濟學（一）@1@1,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103365@賽局理論（一）@1@1,5103620@亞太地區經濟@1@1,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5101002@經濟學原理（二）@2@5,5101002@經濟學原理（二）@2@6,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103312@計量經濟學（二）@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@4,5102101@個體經濟學（一）@1@2,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@2,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103920@統計軟體應用@1@1,5103160@產業經濟學@2@1,5103308@高等統計學（二）@2@1,5103366@賽局理論（二）@2@1,5103405@國際貿易與全球化專題@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104710@國際貿易實務@2@1
403510011,NaN,75,NaN,NaN,NaN,NaN,82,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,71,NaN,72,NaN,NaN,78,81,70,NaN,NaN,NaN,70,NaN,82,73,NaN,64,87,82,NaN,NaN,NaN,NaN,NaN,NaN,72,73,NaN,82,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510016,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,90,NaN,NaN,NaN,61,NaN,71,NaN,79,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,50,-1,79,64,NaN,64,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,79,NaN,NaN,81,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
403510018,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,100,NaN,NaN,NaN,NaN,80,NaN,74,NaN,87,NaN,NaN,84,85,NaN,NaN,NaN,NaN,81,NaN,83,68,NaN,71,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,81,NaN,80,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510019,NaN,36,NaN,NaN,82,90,NaN,54,NaN,NaN,NaN,81,NaN,NaN,NaN,72,NaN,60,NaN,NaN,74,82,NaN,65,76,NaN,NaN,NaN,NaN,NaN,61,NaN,89,NaN,84,74,NaN,86,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,80,NaN,84,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
403510021,NaN,76,NaN,NaN,NaN,94,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,-1,NaN,NaN,75,NaN,63,NaN,69,NaN,56,73,NaN,83,NaN,NaN,NaN,70,NaN,84,60,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,79,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510025,NaN,70,NaN,NaN,76,99,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,90,NaN,76,NaN,NaN,75,77,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,74,79,NaN,91,NaN,NaN,NaN,NaN,NaN,82,68,NaN,80,NaN,62,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403510029,NaN,74,NaN,NaN,NaN,90,NaN,72,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,70,NaN,60,NaN,NaN,NaN,NaN,74,85,82,NaN,NaN,NaN,NaN,70,78,65,NaN,73,73,NaN,-1,NaN,65,NaN,NaN,NaN,64,NaN,76,62,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403510031,NaN,79,NaN,NaN,NaN,NaN,83,75,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,74,NaN,NaN,NaN,NaN,72,NaN,88,NaN,NaN,NaN,73,NaN,NaN,83,NaN,82,98,76,-1,NaN,NaN,NaN,NaN,88,86,87,NaN,81,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510032,NaN,75,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,74,NaN,100,NaN,NaN,88,NaN,83,NaN,NaN,75,NaN,80,67,75,NaN,85,NaN,NaN,NaN,NaN,88,86,NaN,84,78,NaN,91,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,75,NaN,89,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510041,NaN,78,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,69,NaN,82,NaN,NaN,82,NaN,81,NaN,NaN,NaN,80,NaN,76,86,NaN,84,98,86,NaN,NaN,NaN,NaN,NaN,88,88,90,NaN,NaN,88,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510043,NaN,83,NaN,NaN,92,85,NaN,70,NaN,NaN,NaN,90,NaN,NaN,NaN,81,NaN,85,NaN,80,NaN,NaN,NaN,77,77,NaN,90,NaN,NaN,NaN,75,NaN,81,83,NaN,-1,NaN,75,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,84,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403510044,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,100,NaN,NaN,NaN,NaN,90,NaN,89,NaN,89,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,93,NaN,84,95,NaN,95,100,88,NaN,NaN,NaN,NaN,NaN,NaN,92,95,NaN,82,NaN,NaN,-1,NaN,NaN,-1,-1,-1,-1,NaN,NaN
403510045,NaN,81,NaN,NaN,NaN,90,NaN,94,NaN,84,NaN,NaN,NaN,NaN,NaN,99,NaN,90,NaN,NaN,94,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,86,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,87,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510049,NaN,81,NaN,NaN,NaN,NaN,85,NaN,NaN,83,NaN,NaN,NaN,NaN,80,NaN,NaN,86,NaN,75,NaN,82,NaN,NaN,72,NaN,83,NaN,NaN,NaN,80,NaN,-1,85,NaN,NaN,97,64,-1,NaN,NaN,NaN,NaN,NaN,86,84,NaN,NaN,84,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
403510051,NaN,77,NaN,NaN,NaN,94,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,86,NaN,90,NaN,NaN,84,NaN,78,NaN,NaN,NaN,90,NaN,84,91,NaN,87,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,86,NaN,80,NaN,NaN,-1,NaN,NaN,-1,-1,-1,-1,NaN,NaN
403510052,NaN,66,NaN,NaN,NaN,NaN,NaN,67,65,NaN,NaN,NaN,100,NaN,NaN,88,NaN,78,NaN,60,NaN,NaN,NaN,73,77,82,88,NaN,NaN,NaN,NaN,81,80,-1,NaN,69,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,65,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403510053,NaN,81,NaN,NaN,NaN,99,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,73,NaN,83,NaN,NaN,NaN,90,85,NaN,NaN,NaN,71,NaN,NaN,72,NaN,80,96,80,NaN,NaN,74,NaN,NaN,NaN,84,86,NaN,76,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510054,NaN,91,NaN,NaN,NaN,NaN,NaN,81,NaN,83,NaN,NaN,NaN,92,NaN,93,NaN,90,NaN,90,NaN,NaN,NaN,81,76,86,87,NaN,NaN,NaN,87,NaN,NaN,91,NaN,89,NaN,87,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,92,89,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403510059,NaN,88,NaN,NaN,NaN,NaN,86,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,94,NaN,92,NaN,NaN,87,NaN,96,NaN,NaN,NaN,100,NaN,81,100,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,91,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
403510062,NaN,76,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,84,100,NaN,NaN,90,NaN,81,NaN,NaN,85,NaN,82,77,70,NaN,90,NaN,NaN,NaN,NaN,88,80,NaN,84,89,NaN,89,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,84,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510064,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,85,60,NaN,NaN,63,NaN,NaN,69,73,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,61,NaN,-1,60,NaN,NaN,77,75,NaN,NaN,65,NaN,NaN,NaN,76,76,NaN,NaN,71,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510067,NaN,77,NaN,NaN,NaN,NaN,83,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,61,NaN,71,NaN,NaN,75,83,80,NaN,NaN,NaN,54,-1,78,60,NaN,66,84,74,NaN,NaN,NaN,NaN,NaN,NaN,64,65,NaN,62,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403510068,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,88,NaN,NaN,NaN,68,NaN,69,NaN,77,NaN,54,66,NaN,NaN,NaN,NaN,NaN,75,NaN,85,60,NaN,82,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,69,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
403510070,NaN,78,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,64,NaN,91,NaN,89,NaN,90,NaN,87,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,88,78,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,70,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510072,NaN,82,NaN,NaN,NaN,NaN,NaN,83,NaN,76,NaN,NaN,100,NaN,NaN,99,NaN,86,NaN,81,NaN,NaN,NaN,86,NaN,NaN,85,NaN,NaN,NaN,87,NaN,81,92,NaN,87,NaN,99,NaN,-1,NaN,NaN,NaN,94,NaN,90,NaN,NaN,85,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510077,NaN,74,NaN,NaN,NaN,90,NaN,67,NaN,78,NaN,NaN,NaN,NaN,64,-1,NaN,71,NaN,NaN,60,NaN,NaN,NaN,70,89,NaN,60,NaN,NaN,70,NaN,84,66,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,74,60,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
403510078,NaN,72,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,71,100,NaN,73,NaN,NaN,68,NaN,NaN,77,50,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,62,NaN,70,NaN,75,NaN,73,NaN,-1,NaN,NaN,NaN,NaN,NaN,75,NaN,81,NaN,78,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403510082,NaN,68,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,61,NaN,90,NaN,89,NaN,83,NaN,NaN,86,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,75,-1,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,62,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510083,NaN,79,NaN,NaN,NaN,99,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,80,NaN,NaN,88,NaN,NaN,87,96,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,87,NaN,-1,NaN,82,NaN,100,90,NaN,NaN,NaN,NaN,NaN,88,89,NaN,90,NaN,83,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403510085,NaN,75,NaN,NaN,NaN,NaN,83,64,56,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,66,NaN,60,NaN,NaN,NaN,47,61,NaN,80,NaN,77,NaN,-1,NaN,-1,-1,NaN,76,NaN,77,-1,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403510092,NaN,82,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,75,NaN,87,NaN,NaN,NaN,80,NaN,77,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,-1,83,NaN,84,93,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,81,NaN,NaN,66,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403510093,NaN,60,NaN,NaN,NaN,NaN,90,74,NaN,NaN,73,NaN,NaN,NaN,71,81,NaN,40,NaN,NaN,67,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,60,82,-1,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,60,NaN,72,NaN,82,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510094,NaN,88,NaN,NaN,NaN,NaN,NaN,92,NaN,88,NaN,NaN,NaN,93,NaN,95,NaN,94,NaN,88,NaN,NaN,NaN,84,78,93,NaN,NaN,NaN,NaN,NaN,98,93,92,NaN,90,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,97,96,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403510095,NaN,72,NaN,NaN,NaN,NaN,84,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510101,NaN,86,NaN,NaN,NaN,90,NaN,76,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,64,NaN,60,NaN,NaN,NaN,64,65,87,NaN,NaN,NaN,NaN,70,NaN,-1,68,NaN,71,73,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,76,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510102,NaN,70,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,73,NaN,90,NaN,90,NaN,84,NaN,NaN,87,NaN,NaN,NaN,80,94,NaN,NaN,NaN,NaN,61,NaN,81,NaN,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,75,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403510104,NaN,89,NaN,NaN,NaN,NaN,NaN,82,NaN,92,NaN,NaN,NaN,92,NaN,96,NaN,95,NaN,94,NaN,NaN,NaN,84,87,NaN,99,84,NaN,NaN,NaN,99,83,93,NaN,80,NaN,90,NaN,-1,NaN,NaN,NaN,91,NaN,90,NaN,NaN,91,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510107,NaN,67,NaN,NaN,NaN,NaN,82,71,NaN,71,NaN,NaN,NaN,NaN,NaN,89,NaN,67,NaN,60,NaN,NaN,NaN,60,77,NaN,NaN,NaN,NaN,NaN,63,NaN,74,63,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510108,NaN,82,NaN,NaN,NaN,NaN,NaN,61,NaN,80,NaN,NaN,NaN,87,70,NaN,NaN,77,NaN,NaN,74,NaN,NaN,NaN,74,NaN,NaN,69,NaN,NaN,54,-1,83,-1,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,84,69,71,NaN,NaN,67,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510109,NaN,68,NaN,NaN,NaN,NaN,86,74,NaN,NaN,NaN,82,NaN,NaN,NaN,78,NaN,76,NaN,NaN,78,NaN,NaN,55,75,84,NaN,NaN,NaN,NaN,NaN,82,82,NaN,81,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,60,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403510002,NaN,NaN,59,NaN,69,NaN,NaN,64,NaN,NaN,NaN,60,100,NaN,NaN,-1,NaN,NaN,NaN,NaN,61,51,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,40,NaN,NaN,NaN,50,NaN,70,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403510005,NaN,NaN,73,NaN,NaN,NaN,82,71,NaN,NaN,71,NaN,NaN,NaN,NaN,-1,NaN,75,NaN,65,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,65,NaN,85,62,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403510006,NaN,NaN,79,NaN,NaN,NaN,NaN,80,NaN,NaN,70,NaN,100,NaN,NaN,86,NaN,94,NaN,72,NaN,NaN,65,71,80,84,NaN,67,NaN,NaN,NaN,84,89,80,NaN,-1,NaN,87,-1,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,75,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403510008,NaN,NaN,75,NaN,NaN,NaN,NaN,65,NaN,NaN,65,NaN,NaN,85,NaN,83,NaN,68,NaN,NaN,67,NaN,NaN,NaN,80,NaN,50,NaN,NaN,NaN,61,NaN,65,60,NaN,-1,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,69,73,NaN,NaN,52,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510014,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,90,60,NaN,NaN,63,NaN,61,NaN,67,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,61,NaN,81,60,NaN,NaN,82,65,NaN,NaN,NaN,NaN,NaN,NaN,62,84,NaN,NaN,53,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510017,NaN,NaN,73,NaN,NaN,94,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,67,NaN,81,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,64,NaN,72,71,NaN,76,78,88,NaN,NaN,NaN,NaN,NaN,NaN,75,73,NaN,NaN,68,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510024,NaN,NaN,84,NaN,NaN,NaN,NaN,90,NaN,NaN,81,NaN,100,NaN,NaN,96,NaN,90,NaN,75,NaN,NaN,60,74,78,NaN,84,76,NaN,NaN,81,NaN,78,82,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,76,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
403510026,NaN,NaN,85,NaN,NaN,NaN,NaN,74,NaN,NaN,86,NaN,NaN,87,NaN,88,NaN,88,NaN,77,NaN,NaN,NaN,75,76,NaN,88,NaN,NaN,NaN,NaN,77,NaN,65,NaN,76,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,69,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510030,NaN,NaN,90,NaN,NaN,NaN,NaN,76,NaN,NaN,76,NaN,100,NaN,NaN,88,NaN,68,NaN,74,NaN,NaN,78,71,70,NaN,87,84,NaN,NaN,NaN,85,84,71,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,74,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN
403510042,NaN,NaN,57,NaN,NaN,NaN,NaN,29,NaN,NaN,52,NaN,NaN,91,NaN,NaN,NaN,40,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510047,NaN,NaN,73,NaN,NaN,NaN,83,NaN,NaN,61,NaN,NaN,NaN,NaN,60,NaN,NaN,66,NaN,NaN,71,68,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,61,NaN,89,62,NaN,NaN,81,NaN,65,NaN,NaN,NaN,NaN,NaN,68,76,NaN,NaN,60,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403510050,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510055,NaN,NaN,74,NaN,NaN,89,NaN,88,NaN,NaN,83,NaN,NaN,NaN,NaN,88,NaN,81,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,76,NaN,73,82,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510056,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,100,NaN,63,NaN,NaN,74,NaN,69,NaN,73,68,NaN,62,NaN,68,NaN,NaN,NaN,61,NaN,82,66,NaN,NaN,89,NaN,65,NaN,NaN,NaN,NaN,NaN,65,NaN,73,NaN,51,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510060,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,89,NaN,NaN,NaN,90,NaN,84,NaN,89,NaN,82,NaN,NaN,83,NaN,NaN,NaN,91,NaN,89,89,NaN,95,99,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,91,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403510075,NaN,NaN,86,NaN,NaN,NaN,88,84,NaN,NaN,82,NaN,NaN,NaN,NaN,89,NaN,90,NaN,75,NaN,NaN,NaN,76,NaN,93,88,NaN,NaN,NaN,71,NaN,82,73,NaN,71,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,83,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403510098,NaN,NaN,81,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,76,NaN,89,66,NaN,NaN,85,NaN,NaN,84,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,80,84,76,NaN,NaN,97,NaN,77,NaN,NaN,NaN,NaN,NaN,83,NaN,84,NaN,84,90,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403510012,NaN,NaN,NaN,70,NaN,NaN,NaN,80,81,NaN,NaN,NaN,100,NaN,NaN,91,NaN,87,NaN,71,NaN,NaN,NaN,78,71,NaN,NaN,NaN,NaN,NaN,72,NaN,78,74,NaN,73,NaN,79,NaN,-1,NaN,NaN,NaN,92,NaN,77,NaN,78,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403510007,NaN,NaN,NaN,NaN,98,90,NaN,74,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,94,NaN,71,NaN,74,NaN,65,NaN,NaN,NaN,90,NaN,76,NaN,84,73,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510009,NaN,NaN,NaN,NaN,97,99,NaN,86,NaN,NaN,NaN,96,NaN,NaN,NaN,99,NaN,99,NaN,NaN,97,NaN,85,87,84,NaN,99,NaN,NaN,NaN,96,NaN,88,NaN,99,99,NaN,NaN,NaN,-1,NaN,NaN,NaN,93,NaN,NaN,97,NaN,93,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403510020,NaN,NaN,NaN,NaN,63,NaN,NaN,67,NaN,NaN,NaN,77,100,NaN,-1,80,NaN,77,NaN,NaN,77,NaN,NaN,NaN,78,NaN,87,NaN,NaN,NaN,60,NaN,80,70,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,78,89,NaN,NaN,78,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403510022,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,67,100,NaN,NaN,NaN,NaN,65,NaN,60,NaN,81,NaN,NaN,76,85,NaN,NaN,NaN,NaN,70,NaN,NaN,74,NaN,-1,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,76,NaN,71,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510023,NaN,NaN,NaN,NaN,83,NaN,85,62,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,79,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,85,85,74,NaN,66,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,84,NaN,NaN,84,NaN,-1,NaN,NaN,-1,-1,-1,-1,NaN,NaN
