id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@5,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102301@統計學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@3,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5101001@經濟學原理（一）@1@6,5102101@個體經濟學（一）@1@1,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103365@賽局理論（一）@1@1,5103620@亞太地區經濟@1@1,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5101002@經濟學原理（二）@2@5,5101002@經濟學原理（二）@2@6,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103312@計量經濟學（二）@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@4,5102101@個體經濟學（一）@1@2,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@2,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103920@統計軟體應用@1@1,5103160@產業經濟學@2@1,5103308@高等統計學（二）@2@1,5103366@賽局理論（二）@2@1,5103405@國際貿易與全球化專題@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104710@國際貿易實務@2@1
403510115,NaN,NaN,NaN,NaN,NaN,91,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,61,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,60,NaN,78,-1,NaN,65,60,NaN,NaN,NaN,NaN,NaN,NaN,73,74,68,NaN,63,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN
403510113,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,79,NaN,74,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,76,NaN,-1,64,NaN,66,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,85,NaN,80,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403510114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,72,NaN,NaN,NaN,39,-1,NaN,NaN,NaN,63,NaN,41,NaN,NaN,NaN,NaN,58,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403510129,87,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,72,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403510124,NaN,69,NaN,NaN,NaN,89,NaN,76,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,83,NaN,67,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403510121,NaN,NaN,71,NaN,NaN,NaN,NaN,66,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403510116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,92,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
403510127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,82,NaN,72,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403510128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,71,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,72,70,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510131,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,70,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510119,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,82,NaN,69,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403510125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,91,NaN,NaN,93,NaN,NaN,64,NaN,NaN,78,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
403510130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
