id,5101002@經濟學原理（二）@2@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@5,5102103@個體經濟學@1@1,5103620@亞太地區經濟@1@1,5101002@經濟學原理（二）@2@2,5102240@貨幣銀行學@2@1,5102101@個體經濟學（一）@1@1,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102102@個體經濟學（二）@2@1,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102203@總體經濟學@2@1,5102302@統計學（二）@2@1,5103915@訊息經濟學@2@1
403310049,92,NaN,NaN,91,88,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403310032,NaN,95,NaN,NaN,NaN,79,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403310033,83,NaN,73,NaN,NaN,NaN,-1,76,NaN,93,-1,-1,-1,NaN,-1,-1
403310002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
