id,5155052@行為財務學@2@1,5155303@國際金融服務管理@2@1,5155503@風險管理與保險@2@1,5155908@財務金融專題研討（一）@2@1,5156152@公司併購與治理@2@1,5156210@投資組合分析@2@1,5155100@財務管理@1@1,5155100@財務管理@1@2,5155180@國際財務管理@1@1,5155200@投資管理學@1@1,5155300@金融市場與機構@1@1,5155300@金融市場與機構@1@2,5155650@計量經濟學（一）@1@1,5155653@財務計量與實證@1@1,5155909@財務金融專題研討（二）@1@1,5156241@財務工程@1@1,5156300@財金個案研究@1@1,5156300@財金個案研究@1@2,5155231@期貨市場@2@1,5155235@選擇權市場@2@1,5155312@金融風險與金控公司管理@2@1,5155321@投資哲理@2@1,5155510@企業價值評估@2@1,5155562@資本市場與基金組合管理@2@1,5155654@財務經濟@2@1,5155660@財務報表分析@2@1,5156243@財務風險管理@2@1,5155330@債券市場@1@1,5156130@金融倫理學@1@1,5156152@公司併購與治理@1@1,5157173@公司理財專題研討@2@1,5158210@公司治理專題研討@2@1
603515003,90,NaN,NaN,96,NaN,NaN,NaN,88,NaN,90,78,NaN,88,NaN,93,95,NaN,84,91,NaN,NaN,NaN,NaN,NaN,NaN,93,90,NaN,85,NaN,80,NaN
603515008,NaN,NaN,91,96,NaN,93,NaN,92,NaN,87,79,NaN,85,88,83,93,95,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,87,91,NaN,NaN,NaN
603515009,96,NaN,97,96,NaN,99,NaN,92,NaN,NaN,81,NaN,85,94,91,94,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,86,NaN,90,NaN
603515011,93,NaN,78,86,NaN,NaN,NaN,80,NaN,78,77,NaN,77,83,93,93,94,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,81,NaN,NaN,84,NaN,83,NaN
603515019,NaN,NaN,78,86,NaN,93,NaN,87,NaN,85,75,NaN,77,NaN,83,94,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,92,NaN,90,87,86,NaN,93
603515020,90,NaN,78,96,NaN,91,NaN,87,NaN,85,76,NaN,83,87,93,94,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,90,NaN,87,NaN
603515025,NaN,NaN,NaN,84,NaN,NaN,NaN,93,NaN,83,77,NaN,89,90,86,94,96,NaN,NaN,NaN,NaN,NaN,NaN,99,88,89,NaN,91,86,81,NaN,93
603515028,91,NaN,NaN,96,NaN,96,NaN,98,NaN,98,81,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
603515041,NaN,NaN,NaN,91,NaN,94,NaN,86,98,88,78,NaN,90,NaN,93,93,NaN,84,85,NaN,NaN,NaN,NaN,NaN,NaN,87,89,NaN,88,NaN,87,NaN
603515047,NaN,NaN,74,79,NaN,79,NaN,90,NaN,90,NaN,89,78,NaN,76,NaN,NaN,70,84,NaN,NaN,NaN,NaN,NaN,80,85,NaN,80,84,NaN,88,NaN
603515057,NaN,NaN,NaN,84,NaN,75,NaN,87,90,83,NaN,80,78,NaN,88,NaN,NaN,90,NaN,NaN,85,89,NaN,NaN,82,NaN,73,NaN,82,NaN,NaN,NaN
603515061,91,NaN,76,86,NaN,NaN,NaN,88,NaN,80,77,NaN,83,82,81,93,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,86,NaN,87,NaN
603515064,90,NaN,70,74,NaN,NaN,NaN,81,90,83,72,NaN,72,88,81,NaN,94,NaN,76,75,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,95,NaN,NaN,NaN
