id,5155052@行為財務學@2@1,5155231@期貨市場@2@1,5155235@選擇權市場@2@1,5155660@財務報表分析@2@1,5155908@財務金融專題研討（一）@2@1,5156243@財務風險管理@2@1,5155100@財務管理@1@1,5155100@財務管理@1@2,5155200@投資管理學@1@1,5155200@投資管理學@1@2,5155300@金融市場與機構@1@1,5155300@金融市場與機構@1@2,5155650@計量經濟學（一）@1@1,5155909@財務金融專題研討（二）@1@1,5156130@金融倫理學@1@1,5156300@財金個案研究@1@1,5155562@資本市場與基金組合管理@2@1,5156120@財務計劃與管理專題研討@2@1,5156210@投資組合分析@2@1,5157173@公司理財專題研討@2@1,5158210@公司治理專題研討@2@1,5155180@國際財務管理@1@1,5155312@金融風險與金控公司管理@1@1,5155330@債券市場@1@1,5156121@市場微結構@1@1,5156152@公司併購與治理@1@1,5156273@創業投資與私募股權@1@1,5155173@財務程式設計@2@1,5155504@保險財務與精算@2@1,5155653@財務計量與實證@2@1,5156244@結構型證券@2@1,5156382@國際金融@2@1
604515059,93,81,NaN,88,98,NaN,81,NaN,86,NaN,92,NaN,84,99,87,89,NaN,85,NaN,NaN,96,NaN,NaN,85,NaN,NaN,95,-1,NaN,NaN,NaN,NaN
604515060,91,81,91,89,96,NaN,88,NaN,86,NaN,89,NaN,84,99,77,84,-1,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515061,93,82,NaN,92,93,NaN,85,NaN,93,NaN,88,NaN,74,99,80,85,NaN,85,87,NaN,NaN,NaN,NaN,92,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515016,93,NaN,NaN,96,86,NaN,NaN,80,80,NaN,87,NaN,71,99,89,83,NaN,89,93,NaN,92,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
604515020,93,NaN,NaN,96,95,NaN,NaN,84,85,NaN,87,NaN,80,99,88,85,NaN,89,91,NaN,92,95,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515030,NaN,NaN,91,92,92,NaN,NaN,93,NaN,90,NaN,90,80,99,89,92,98,NaN,90,NaN,NaN,NaN,NaN,80,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
604515037,NaN,NaN,NaN,92,92,NaN,NaN,94,84,NaN,NaN,98,84,99,98,92,99,89,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
604515039,93,NaN,NaN,90,88,NaN,NaN,84,90,NaN,86,NaN,75,99,84,85,-1,84,93,NaN,92,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515053,NaN,81,92,88,93,NaN,NaN,88,NaN,90,93,NaN,76,95,93,92,96,92,NaN,NaN,NaN,NaN,NaN,85,NaN,90,NaN,NaN,-1,NaN,NaN,NaN
604515054,91,NaN,94,94,94,NaN,NaN,91,89,NaN,88,NaN,76,99,86,80,NaN,NaN,95,NaN,NaN,NaN,90,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515057,95,88,95,91,96,NaN,NaN,86,NaN,92,NaN,90,85,99,89,86,NaN,90,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,94,NaN,NaN,NaN,-1,NaN
604515010,-1,NaN,NaN,-1,-1,NaN,94,NaN,92,NaN,NaN,91,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
