id,1155005@研究和寫作@1@1,1155190@文化研究專題@1@1,1155218@亞美文學研究@1@1,1155220@喬伊思研究@1@1,1155008@文學理論應用@2@1,1155227@十九、二十世紀小說專題@2@1,1155228@從現代至後現代文學與電影@2@1,1155229@戲劇與電影@2@1,1155178@歐洲文學專題@1@1,1155212@偵探小說與電影@1@1,1155230@美國寫實主義及自然主義@1@1,1155232@二十世紀美國小說專題@2@1,1155233@中世紀研究專題：罪與罰@2@1
603115001,82,86,87,NaN,87,86,80,NaN,88,NaN,80,90,84
603115002,83,NaN,NaN,84,80,91,87,92,88,86,86,95,NaN
