id,1155005@研究和寫作@1@1,1155048@當代文學理論@1@1,1155057@維多利亞小說@1@1,1155148@小說研究@1@1,1155208@十九世紀蘇格蘭小說@1@1,1157019@現代主義@1@1,1155004@文學批評史@2@1,1155030@美國浪漫主義@2@1,1155209@新女性小說@2@1,1155210@二十／二十一世紀文學中的創傷與復原@2@1,1155211@尤利西斯專題@2@1,1155212@偵探小說與電影@2@1,1155096@文藝心理批評@1@1,1155213@創傷研究@1@1,1155214@二十世紀蘇格蘭小說@1@1,1155215@跨文化評析文學與影像的生命政治@1@1,1155216@中世紀英國文學專題（一）：性、權力 與 騎士文化@1@1,1155217@存在與荒謬主義@1@1,1155204@世紀末戲劇選讀@2@1,1155218@亞美文學研究@2@1,1155219@維多利亞時期至現代文學@2@1,1155220@喬伊思研究@2@1,1155178@歐洲文學專題@1@1,1155222@當代中國作家之英文寫作@1@1,1155223@愛爾蘭文學@1@1,1155224@當代英國小說專題@2@1,1155225@美國多元文學研究專題@2@1,1155115@二十世紀英國小說@2@1,1155188@專題：喬伊斯研究@2@1
600115001,85,84,NaN,79,NaN,NaN,85,76,NaN,80,81,NaN,85,84,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,84
600115002,72,72,39,70,NaN,NaN,77,NaN,NaN,83,NaN,NaN,71,80,85,83,NaN,NaN,76,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600115003,90,60,40,NaN,NaN,NaN,79,NaN,86,NaN,NaN,NaN,NaN,NaN,84,83,NaN,NaN,84,89,NaN,NaN,82,83,85,89,88,NaN,NaN
600115004,79,NaN,NaN,NaN,85,78,84,NaN,NaN,88,NaN,76,77,NaN,88,82,NaN,NaN,NaN,89,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600115006,78,70,NaN,NaN,NaN,75,82,NaN,85,86,NaN,NaN,NaN,86,88,90,NaN,NaN,84,91,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
600115009,81,83,82,NaN,NaN,NaN,79,NaN,NaN,85,NaN,NaN,NaN,83,86,88,NaN,NaN,84,88,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
600115010,71,74,NaN,NaN,81,NaN,80,NaN,NaN,85,NaN,NaN,NaN,83,84,84,NaN,NaN,NaN,85,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600115013,83,85,NaN,86,NaN,NaN,88,73,NaN,NaN,NaN,NaN,89,87,NaN,NaN,NaN,84,NaN,91,84,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600115007,NaN,NaN,91,83,NaN,NaN,NaN,NaN,93,NaN,NaN,83,83,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
