id,1155004@文學批評史@2@1,1155210@二十／二十一世紀文學中的創傷與復原@2@1,1155211@尤利西斯專題@2@1,1155005@研究和寫作@1@1,1155096@文藝心理批評@1@1,1155213@創傷研究@1@1,1155214@二十世紀蘇格蘭小說@1@1,1155217@存在與荒謬主義@1@1,1155204@世紀末戲劇選讀@2@1,1155218@亞美文學研究@2@1,1155220@喬伊思研究@2@1,1155163@童話研究@1@1,1155178@歐洲文學專題@1@1,1155209@新女性小說@1@1,1155222@當代中國作家之英文寫作@1@1,1155223@愛爾蘭文學@1@1,1155224@當代英國小說專題@2@1,1155225@美國多元文學研究專題@2@1,1155226@索爾貝婁研究@2@1,1155190@文化研究專題@1@1
601115002,85,83,80,91,89,NaN,86,NaN,87,90,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601115001,90,NaN,NaN,92,88,NaN,NaN,88,89,NaN,90,92,88,NaN,NaN,88,NaN,NaN,95,NaN
601115004,74,NaN,78,88,76,NaN,NaN,70,NaN,NaN,83,73,76,NaN,NaN,82,NaN,NaN,55,70
601115008,89,NaN,89,87,NaN,83,NaN,75,82,87,84,NaN,83,NaN,NaN,85,NaN,NaN,NaN,NaN
601115009,79,NaN,80,81,70,NaN,NaN,70,NaN,82,76,NaN,80,42,NaN,78,NaN,NaN,NaN,NaN
601115010,78,NaN,NaN,84,70,NaN,NaN,70,NaN,81,NaN,NaN,80,NaN,82,82,85,82,NaN,NaN
601115005,72,NaN,84,85,NaN,NaN,NaN,NaN,NaN,84,NaN,85,NaN,NaN,78,NaN,84,86,75,87
