id,5205002@研究方法@2@1,5205122@網路行銷@2@1,5205204@通路管理@2@1,5205215@行銷文案寫作與溝通@2@1,5206142@電腦套裝軟體應用@2@1
606520005,-1,-1,NaN,-1,NaN
606520006,-1,NaN,-1,-1,-1
