id,4100003@計算機概論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4103001@作業系統概論@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102161@電腦軟體設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4102013@機率論@2@1,4102170@統計學@2@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4102013@機率論@1@2,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102160@物件導向程式設計@2@2,4103900@工程倫理@2@1,4104801@專題實驗（二）@2@1
402410025,NaN,81,NaN,88,NaN,NaN,NaN,88,NaN,93,80,NaN,NaN,67,NaN,NaN,84,NaN,NaN,NaN,84,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410026,NaN,68,62,NaN,62,NaN,NaN,NaN,NaN,64,NaN,NaN,72,NaN,56,61,NaN,NaN,NaN,61,NaN,NaN,60,64,64,NaN,93,64,NaN,60,60,72,NaN,63,NaN,92,74,NaN,73,63,68,NaN,-1,55,72,NaN,73,62,NaN,62,NaN,82,NaN,81,NaN,NaN,NaN,NaN,NaN,74,80,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,-1,NaN
402410027,NaN,73,99,NaN,99,NaN,NaN,NaN,NaN,84,75,NaN,NaN,NaN,95,100,NaN,100,NaN,NaN,NaN,NaN,NaN,91,100,82,NaN,88,100,NaN,70,NaN,92,93,92,NaN,NaN,100,91,100,85,NaN,NaN,83,88,83,91,NaN,94,82,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
402410028,NaN,62,61,NaN,61,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,76,NaN,21,-1,NaN,-1,21,NaN,74,NaN,68,31,88,NaN,47,NaN,NaN,19,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410029,NaN,72,67,NaN,67,NaN,NaN,NaN,NaN,70,76,NaN,NaN,66,NaN,75,NaN,NaN,NaN,75,NaN,NaN,NaN,65,65,NaN,84,67,NaN,69,73,NaN,80,73,NaN,97,77,NaN,79,NaN,70,NaN,-1,67,85,84,71,69,NaN,72,NaN,83,NaN,NaN,NaN,60,NaN,NaN,71,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
402410030,NaN,62,67,NaN,67,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,60,NaN,71,NaN,NaN,NaN,71,NaN,NaN,69,69,63,NaN,87,73,NaN,62,82,71,NaN,64,NaN,75,83,NaN,81,74,71,NaN,-1,60,78,80,71,60,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,62,NaN,84,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410031,NaN,65,62,NaN,NaN,NaN,62,NaN,61,NaN,77,NaN,NaN,NaN,45,61,NaN,NaN,4,61,NaN,NaN,NaN,73,66,NaN,76,63,63,53,74,61,NaN,-1,NaN,86,88,NaN,73,NaN,70,NaN,63,64,NaN,NaN,75,62,NaN,NaN,NaN,77,70,NaN,-1,NaN,NaN,52,NaN,68,NaN,NaN,90,NaN,NaN,68,NaN,NaN,83,NaN,NaN,NaN,-1,NaN
402410032,NaN,79,73,NaN,NaN,NaN,73,NaN,79,NaN,NaN,NaN,62,NaN,61,73,NaN,73,NaN,NaN,NaN,NaN,79,83,74,NaN,86,62,NaN,60,71,64,NaN,67,NaN,86,64,NaN,60,NaN,58,NaN,NaN,56,70,78,72,48,NaN,60,NaN,67,NaN,NaN,NaN,48,NaN,NaN,-1,38,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
402410033,NaN,76,NaN,95,NaN,NaN,NaN,95,85,NaN,NaN,92,NaN,75,NaN,NaN,98,NaN,NaN,NaN,98,NaN,NaN,75,92,NaN,88,62,83,NaN,92,66,NaN,76,NaN,87,NaN,83,63,NaN,90,NaN,-1,71,95,NaN,NaN,73,NaN,80,NaN,76,93,NaN,NaN,94,NaN,63,NaN,78,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
402410034,NaN,87,81,NaN,NaN,NaN,81,NaN,NaN,96,NaN,NaN,NaN,77,NaN,68,NaN,NaN,NaN,68,NaN,NaN,87,92,92,91,NaN,87,NaN,87,84,90,NaN,88,NaN,92,88,NaN,73,84,71,NaN,71,75,100,88,NaN,72,NaN,72,NaN,90,NaN,NaN,NaN,NaN,NaN,73,NaN,80,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
402410035,NaN,84,NaN,83,NaN,83,NaN,NaN,NaN,85,NaN,92,NaN,91,NaN,NaN,99,NaN,99,NaN,NaN,NaN,NaN,84,81,83,NaN,79,NaN,72,80,NaN,80,91,NaN,93,NaN,100,78,NaN,80,-1,85,84,90,NaN,79,NaN,78,NaN,81,100,NaN,NaN,NaN,NaN,NaN,70,NaN,86,91,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410036,NaN,81,NaN,82,NaN,82,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,78,NaN,90,NaN,NaN,NaN,90,76,NaN,83,72,89,NaN,80,90,NaN,68,81,NaN,68,91,NaN,88,NaN,90,NaN,76,NaN,-1,82,90,80,NaN,69,NaN,82,86,78,NaN,NaN,NaN,61,89,NaN,NaN,71,80,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410037,NaN,73,73,NaN,73,NaN,NaN,NaN,70,NaN,NaN,73,NaN,NaN,65,73,NaN,NaN,NaN,73,NaN,NaN,NaN,79,69,NaN,92,70,NaN,83,69,NaN,74,86,NaN,89,80,NaN,79,65,80,NaN,88,81,86,90,76,NaN,72,86,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
402410038,NaN,82,96,NaN,96,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,68,NaN,80,NaN,NaN,NaN,80,NaN,NaN,74,80,61,NaN,89,72,NaN,81,72,79,NaN,91,NaN,97,98,NaN,80,NaN,77,NaN,93,75,NaN,81,NaN,NaN,60,85,NaN,76,NaN,NaN,NaN,70,NaN,73,NaN,85,NaN,87,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
402410039,NaN,77,NaN,81,NaN,81,NaN,NaN,90,NaN,83,NaN,NaN,96,NaN,NaN,98,NaN,98,NaN,NaN,NaN,NaN,74,100,92,NaN,72,98,NaN,91,88,NaN,93,89,NaN,98,NaN,97,NaN,81,NaN,NaN,81,92,NaN,88,86,NaN,94,NaN,79,78,NaN,-1,100,86,77,91,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN
402410040,NaN,66,NaN,68,NaN,68,NaN,NaN,45,54,NaN,NaN,75,6,NaN,NaN,66,NaN,53,NaN,66,NaN,68,61,43,NaN,79,60,66,18,74,-1,55,-1,NaN,90,NaN,67,70,NaN,68,NaN,-1,NaN,NaN,65,65,70,NaN,NaN,NaN,91,NaN,60,NaN,-1,NaN,49,NaN,65,90,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410041,NaN,72,96,NaN,57,NaN,NaN,96,82,NaN,76,NaN,NaN,78,NaN,63,NaN,67,NaN,NaN,NaN,NaN,NaN,72,74,85,NaN,77,79,NaN,88,79,NaN,73,92,NaN,92,NaN,76,88,71,-1,82,78,86,82,NaN,72,NaN,81,NaN,96,NaN,NaN,NaN,77,NaN,66,NaN,76,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN
402410042,NaN,60,53,NaN,NaN,NaN,53,NaN,NaN,64,NaN,NaN,NaN,43,NaN,61,NaN,NaN,NaN,61,NaN,71,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410043,NaN,77,NaN,81,NaN,81,NaN,NaN,NaN,76,74,NaN,NaN,NaN,63,NaN,75,NaN,NaN,NaN,75,NaN,NaN,69,67,NaN,78,64,61,NaN,64,61,NaN,75,89,NaN,NaN,84,72,NaN,-1,NaN,NaN,70,NaN,82,NaN,NaN,75,65,NaN,95,82,NaN,75,66,NaN,NaN,NaN,69,94,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410044,NaN,69,64,NaN,NaN,NaN,64,NaN,NaN,71,NaN,NaN,72,62,NaN,63,NaN,NaN,NaN,63,NaN,69,NaN,72,68,77,NaN,60,75,NaN,60,60,NaN,60,86,NaN,NaN,71,64,NaN,-1,NaN,NaN,37,NaN,50,NaN,NaN,70,65,NaN,77,NaN,NaN,-1,-1,NaN,NaN,60,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,NaN
402410045,NaN,82,81,NaN,81,NaN,NaN,NaN,NaN,94,89,NaN,NaN,85,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,83,86,82,NaN,67,65,NaN,61,NaN,77,83,NaN,89,NaN,98,79,NaN,84,NaN,69,96,NaN,NaN,NaN,86,NaN,75,NaN,86,86,NaN,NaN,-1,NaN,84,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
