id,4100003@計算機概論@1@2,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102013@機率論@2@1,4102085@離散數學@2@1,4103039@電腦網路概論@2@1,4102003@數位電子學實驗@1@2,4102013@機率論@1@1,4102013@機率論@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@2,4100008@程式語言@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1
404410071,NaN,60,NaN,64,NaN,NaN,NaN,64,62,NaN,62,NaN,66,NaN,NaN,71,NaN,NaN,NaN,71,NaN,NaN,NaN,72,NaN,60,NaN,63,68,NaN,53,68,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
404410072,NaN,71,60,NaN,60,NaN,NaN,NaN,65,42,NaN,NaN,72,80,69,NaN,69,NaN,NaN,NaN,NaN,81,NaN,60,NaN,NaN,NaN,67,61,NaN,64,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410073,NaN,70,95,NaN,95,NaN,NaN,NaN,83,NaN,NaN,79,80,72,92,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,91,NaN,NaN,84,NaN,NaN,84,NaN,92,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410074,NaN,76,NaN,74,NaN,NaN,NaN,74,72,NaN,NaN,NaN,65,74,NaN,83,NaN,NaN,NaN,83,74,NaN,NaN,69,NaN,NaN,NaN,67,66,NaN,54,71,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410075,NaN,70,77,NaN,77,NaN,NaN,NaN,77,NaN,NaN,78,NaN,NaN,71,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410076,NaN,85,NaN,89,NaN,NaN,89,NaN,NaN,83,NaN,NaN,78,84,NaN,97,NaN,97,NaN,NaN,NaN,77,NaN,96,-1,NaN,76,NaN,92,89,NaN,91,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN
404410077,NaN,87,83,NaN,NaN,83,NaN,NaN,71,NaN,77,NaN,79,92,76,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,74,-1,NaN,NaN,87,73,NaN,72,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410078,NaN,48,NaN,73,NaN,NaN,73,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,18,NaN,18,NaN,NaN,0,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410079,NaN,72,80,NaN,80,NaN,NaN,NaN,57,NaN,NaN,82,52,NaN,80,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,83,63,NaN,68,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410080,NaN,80,77,NaN,77,NaN,NaN,NaN,81,NaN,NaN,NaN,89,NaN,94,NaN,NaN,NaN,94,NaN,NaN,71,NaN,83,NaN,78,NaN,74,73,NaN,75,81,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410081,NaN,73,93,NaN,93,NaN,NaN,NaN,80,NaN,NaN,82,90,NaN,86,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,83,-1,84,NaN,86,77,NaN,80,88,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410082,NaN,82,NaN,87,NaN,NaN,87,NaN,NaN,86,NaN,NaN,78,NaN,NaN,88,NaN,88,NaN,NaN,82,NaN,NaN,93,-1,88,NaN,94,78,80,NaN,89,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410083,NaN,47,NaN,60,NaN,NaN,60,NaN,61,NaN,NaN,78,70,79,NaN,-1,NaN,56,NaN,-1,NaN,NaN,NaN,61,NaN,NaN,NaN,60,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410084,NaN,72,NaN,86,NaN,NaN,86,NaN,NaN,63,NaN,NaN,72,NaN,NaN,80,NaN,NaN,NaN,80,NaN,74,NaN,74,-1,83,NaN,NaN,61,NaN,70,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
