id,4100003@計算機概論@1@2,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102013@機率論@2@1,4102085@離散數學@2@1,4103039@電腦網路概論@2@1,4102003@數位電子學實驗@1@2,4102013@機率論@1@1,4102013@機率論@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@2,4100008@程式語言@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1
404410019,NaN,76,NaN,93,NaN,NaN,93,NaN,56,41,NaN,82,46,NaN,NaN,85,NaN,85,NaN,NaN,NaN,NaN,NaN,72,NaN,73,NaN,68,32,71,NaN,77,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410020,NaN,80,NaN,99,NaN,NaN,99,NaN,72,NaN,NaN,NaN,89,85,NaN,97,NaN,97,NaN,NaN,NaN,79,60,85,-1,NaN,NaN,NaN,83,97,NaN,79,96,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN
404410021,NaN,60,80,NaN,80,48,NaN,NaN,NaN,43,75,NaN,62,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,60,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410022,NaN,93,100,NaN,100,NaN,NaN,NaN,93,NaN,NaN,NaN,80,83,100,NaN,NaN,NaN,100,NaN,85,NaN,NaN,86,NaN,NaN,NaN,72,99,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410023,NaN,76,83,NaN,83,NaN,NaN,NaN,NaN,75,76,NaN,91,NaN,75,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,84,NaN,82,NaN,NaN,70,76,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410025,NaN,63,NaN,84,NaN,NaN,NaN,84,51,NaN,NaN,72,68,62,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,55,NaN,NaN,67,NaN,72,48,NaN,78,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404410026,NaN,68,NaN,75,NaN,NaN,75,NaN,84,NaN,NaN,NaN,30,74,NaN,80,NaN,80,NaN,NaN,NaN,59,NaN,61,NaN,NaN,NaN,70,NaN,NaN,19,75,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404410027,NaN,72,NaN,62,NaN,NaN,NaN,62,NaN,64,73,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,16,NaN,NaN,NaN,62,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410028,NaN,71,89,NaN,89,NaN,NaN,NaN,75,NaN,NaN,NaN,79,88,90,NaN,90,NaN,NaN,NaN,80,NaN,NaN,70,NaN,NaN,NaN,77,77,NaN,68,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410029,NaN,77,100,NaN,NaN,100,NaN,NaN,93,NaN,83,NaN,69,86,92,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,73,-1,NaN,69,NaN,72,NaN,63,79,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
404410030,NaN,100,NaN,100,NaN,NaN,100,NaN,NaN,94,NaN,NaN,85,90,NaN,100,NaN,100,NaN,NaN,NaN,78,82,91,-1,NaN,NaN,NaN,93,94,NaN,82,96,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN
404410031,NaN,72,NaN,67,NaN,NaN,67,NaN,NaN,62,74,NaN,62,NaN,NaN,70,NaN,70,NaN,NaN,NaN,NaN,NaN,79,-1,78,NaN,68,65,64,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404410032,NaN,66,87,NaN,87,NaN,NaN,NaN,NaN,62,NaN,NaN,69,67,61,NaN,NaN,NaN,61,NaN,78,NaN,NaN,60,NaN,NaN,NaN,64,29,NaN,51,67,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410033,NaN,95,100,NaN,NaN,100,NaN,NaN,96,NaN,NaN,81,77,86,100,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,95,-1,NaN,81,NaN,85,NaN,88,85,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410034,NaN,75,80,NaN,NaN,80,NaN,NaN,69,NaN,NaN,NaN,65,65,-1,NaN,-1,NaN,56,NaN,NaN,73,NaN,62,-1,NaN,NaN,66,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410036,NaN,98,93,NaN,93,NaN,NaN,NaN,92,NaN,NaN,NaN,100,83,89,NaN,89,NaN,NaN,NaN,NaN,78,NaN,89,NaN,NaN,NaN,90,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410037,NaN,68,60,23,60,NaN,23,NaN,74,NaN,73,NaN,71,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,66,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410038,NaN,81,85,NaN,NaN,85,NaN,NaN,86,NaN,NaN,NaN,99,NaN,87,NaN,87,NaN,NaN,NaN,NaN,71,NaN,80,NaN,92,86,NaN,94,NaN,80,78,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410039,NaN,89,NaN,86,NaN,NaN,86,NaN,67,NaN,NaN,81,73,77,NaN,89,NaN,89,NaN,NaN,NaN,NaN,84,86,NaN,NaN,NaN,NaN,88,NaN,79,NaN,NaN,85,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410040,NaN,61,94,NaN,NaN,94,NaN,NaN,61,NaN,NaN,NaN,22,NaN,60,NaN,NaN,NaN,60,NaN,60,NaN,NaN,-1,NaN,0,NaN,54,1,NaN,9,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410041,NaN,78,86,NaN,NaN,86,NaN,NaN,73,NaN,67,NaN,84,71,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,75,NaN,95,NaN,88,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
404410042,NaN,75,77,NaN,NaN,77,NaN,NaN,80,NaN,NaN,NaN,100,79,67,NaN,NaN,NaN,67,NaN,83,NaN,NaN,75,62,NaN,80,NaN,78,NaN,77,77,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410043,NaN,62,NaN,60,NaN,NaN,NaN,60,50,37,NaN,75,47,NaN,NaN,71,NaN,71,NaN,NaN,NaN,NaN,NaN,74,NaN,71,NaN,69,37,NaN,NaN,62,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410044,NaN,66,NaN,68,NaN,NaN,68,NaN,60,52,NaN,NaN,79,NaN,NaN,76,NaN,76,NaN,NaN,78,NaN,NaN,68,-1,83,NaN,63,NaN,NaN,63,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410045,NaN,94,NaN,93,NaN,NaN,NaN,93,64,NaN,78,NaN,70,84,NaN,76,NaN,NaN,NaN,76,NaN,NaN,NaN,-1,NaN,NaN,NaN,75,37,NaN,23,79,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410046,NaN,73,91,NaN,91,NaN,NaN,NaN,82,NaN,NaN,NaN,93,68,91,NaN,NaN,NaN,91,NaN,70,NaN,NaN,82,-1,NaN,NaN,74,74,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410047,NaN,80,NaN,95,NaN,NaN,NaN,95,95,NaN,77,NaN,100,87,NaN,94,NaN,94,NaN,NaN,NaN,NaN,NaN,96,-1,NaN,86,NaN,93,NaN,90,91,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410048,NaN,71,NaN,69,NaN,NaN,NaN,69,47,39,NaN,NaN,73,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,64,NaN,73,NaN,94,NaN,71,87,NaN,62,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410050,NaN,66,67,NaN,NaN,67,NaN,NaN,NaN,70,NaN,NaN,64,64,-1,NaN,-1,NaN,56,NaN,NaN,80,NaN,67,-1,NaN,NaN,62,61,NaN,73,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410051,NaN,82,NaN,60,NaN,NaN,NaN,60,NaN,80,82,NaN,87,NaN,NaN,82,NaN,NaN,NaN,82,NaN,NaN,NaN,72,NaN,91,71,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410052,NaN,74,NaN,74,NaN,NaN,74,NaN,NaN,85,NaN,NaN,87,74,NaN,77,NaN,77,NaN,NaN,73,NaN,NaN,80,NaN,NaN,73,NaN,69,NaN,74,78,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410053,NaN,100,NaN,95,NaN,NaN,95,NaN,NaN,95,84,NaN,100,NaN,NaN,98,NaN,NaN,NaN,98,NaN,NaN,NaN,98,NaN,98,93,NaN,99,NaN,99,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1
