id,4100003@計算機概論@1@1,4100004@計算機導論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4100008@程式語言@2@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102068@計算方法概論@2@2,4102085@離散數學@2@1,4103061@數值分析@2@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103001@作業系統概論@1@1,4103055@計算機組織@1@1,4102068@計算方法概論@2@1,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4102161@電腦軟體設計@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104011@影像處理概論@2@1,4104052@嵌入式系統軟體設計與實作@2@1,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102013@機率論@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4102013@機率論@1@1,4103900@工程倫理@2@1,4104801@專題實驗（二）@2@1
401410010,NaN,NaN,69,NaN,68,NaN,68,NaN,NaN,70,NaN,NaN,NaN,NaN,63,NaN,NaN,85,NaN,NaN,NaN,85,NaN,76,NaN,61,NaN,67,82,NaN,65,NaN,67,60,74,78,71,60,84,NaN,77,NaN,71,65,78,NaN,NaN,76,NaN,84,NaN,NaN,95,85,81,NaN,82,77,NaN,81,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410011,NaN,NaN,82,64,NaN,64,NaN,NaN,NaN,80,NaN,NaN,84,NaN,74,NaN,60,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,91,NaN,90,22,NaN,15,79,NaN,NaN,30,77,74,NaN,67,NaN,27,68,NaN,NaN,31,43,NaN,NaN,37,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410012,NaN,NaN,69,42,69,NaN,69,42,NaN,68,NaN,NaN,NaN,NaN,60,NaN,68,27,68,27,44,NaN,69,NaN,NaN,60,37,79,NaN,97,73,75,NaN,66,60,NaN,60,72,NaN,86,86,NaN,72,60,83,NaN,NaN,NaN,NaN,67,60,67,NaN,99,82,NaN,65,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410013,NaN,NaN,77,85,NaN,NaN,NaN,85,NaN,NaN,74,82,NaN,NaN,80,NaN,86,NaN,NaN,NaN,86,NaN,NaN,NaN,84,71,NaN,95,NaN,96,78,91,NaN,89,NaN,99,NaN,90,NaN,83,93,NaN,93,99,95,85,97,100,NaN,94,NaN,NaN,NaN,100,NaN,NaN,NaN,91,NaN,90,NaN,91,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401410014,NaN,NaN,76,NaN,68,NaN,NaN,NaN,68,NaN,75,NaN,NaN,NaN,NaN,82,NaN,74,NaN,NaN,NaN,74,69,NaN,70,77,61,66,NaN,89,75,68,NaN,71,69,84,NaN,73,NaN,86,77,NaN,69,79,85,NaN,NaN,73,NaN,81,NaN,66,NaN,89,NaN,NaN,NaN,85,NaN,82,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410015,NaN,NaN,84,99,NaN,NaN,NaN,99,NaN,NaN,69,89,NaN,NaN,76,NaN,99,NaN,99,NaN,NaN,NaN,NaN,NaN,88,76,NaN,85,98,NaN,99,98,NaN,76,NaN,NaN,NaN,88,87,NaN,88,NaN,95,82,NaN,95,92,95,97,85,92,NaN,NaN,90,NaN,NaN,NaN,86,NaN,84,NaN,84,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410016,NaN,NaN,86,NaN,60,NaN,60,NaN,NaN,NaN,82,NaN,NaN,NaN,82,NaN,NaN,95,NaN,57,NaN,95,69,NaN,NaN,75,NaN,66,NaN,95,68,NaN,67,67,NaN,NaN,74,63,NaN,85,67,NaN,72,64,NaN,80,72,87,86,NaN,60,86,91,84,NaN,NaN,NaN,69,60,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410017,NaN,NaN,74,NaN,75,NaN,75,NaN,NaN,NaN,81,NaN,NaN,NaN,72,NaN,NaN,82,NaN,82,NaN,NaN,NaN,77,77,75,NaN,100,98,NaN,85,NaN,94,91,NaN,NaN,NaN,74,85,NaN,86,NaN,88,88,NaN,78,81,81,88,85,86,NaN,NaN,80,NaN,NaN,NaN,80,NaN,87,NaN,84,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410018,NaN,NaN,78,NaN,66,NaN,NaN,NaN,66,NaN,58,NaN,NaN,NaN,40,NaN,NaN,26,NaN,NaN,NaN,26,62,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410019,NaN,NaN,93,95,NaN,NaN,NaN,95,NaN,NaN,90,89,NaN,NaN,94,NaN,87,NaN,87,NaN,NaN,NaN,NaN,NaN,83,93,NaN,100,96,NaN,88,NaN,98,100,NaN,NaN,NaN,97,93,NaN,90,NaN,91,95,96,92,96,100,100,NaN,93,94,NaN,91,NaN,NaN,NaN,97,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410020,NaN,NaN,96,99,NaN,99,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,98,NaN,99,NaN,99,NaN,NaN,NaN,85,NaN,83,99,NaN,100,96,NaN,87,NaN,87,92,NaN,NaN,NaN,90,90,NaN,100,NaN,89,97,NaN,82,96,100,100,NaN,99,94,NaN,99,NaN,NaN,NaN,93,NaN,92,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN
401410021,NaN,NaN,78,NaN,76,NaN,NaN,NaN,76,NaN,71,86,NaN,NaN,73,NaN,NaN,86,NaN,NaN,NaN,86,NaN,NaN,97,84,NaN,93,94,NaN,74,83,NaN,81,84,NaN,NaN,77,82,NaN,84,NaN,77,71,84,76,NaN,90,NaN,79,80,82,NaN,100,NaN,NaN,NaN,71,NaN,78,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410022,NaN,NaN,88,NaN,96,NaN,96,NaN,NaN,NaN,94,NaN,NaN,NaN,83,NaN,NaN,99,NaN,99,NaN,NaN,84,NaN,98,88,NaN,100,NaN,93,93,96,NaN,100,NaN,100,NaN,87,NaN,92,99,NaN,92,82,96,NaN,96,99,100,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,89,NaN,90,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410023,NaN,NaN,80,NaN,97,NaN,97,NaN,NaN,NaN,95,86,NaN,NaN,90,NaN,NaN,99,NaN,NaN,NaN,99,NaN,NaN,99,89,NaN,100,NaN,95,100,99,NaN,100,90,98,NaN,97,NaN,91,98,NaN,96,92,99,96,NaN,100,100,NaN,NaN,NaN,NaN,95,98,NaN,NaN,98,NaN,98,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410024,NaN,NaN,85,98,NaN,NaN,NaN,98,NaN,69,NaN,NaN,NaN,NaN,NaN,77,82,NaN,NaN,NaN,82,NaN,NaN,77,82,80,NaN,71,94,NaN,79,86,NaN,66,63,NaN,NaN,79,NaN,85,85,NaN,94,84,71,61,NaN,79,81,NaN,64,77,NaN,68,82,NaN,NaN,NaN,NaN,77,74,84,NaN,NaN,92,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410026,NaN,NaN,81,NaN,76,NaN,76,NaN,NaN,80,NaN,NaN,NaN,NaN,77,NaN,NaN,89,NaN,NaN,NaN,89,NaN,88,73,87,NaN,84,94,NaN,88,88,NaN,95,NaN,NaN,NaN,79,75,NaN,86,NaN,74,73,NaN,NaN,92,99,NaN,NaN,85,72,NaN,94,NaN,NaN,NaN,70,NaN,80,NaN,83,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410027,NaN,NaN,79,NaN,80,NaN,80,NaN,NaN,NaN,70,82,NaN,NaN,60,NaN,NaN,73,NaN,73,NaN,NaN,NaN,NaN,69,68,NaN,82,92,NaN,80,NaN,71,78,NaN,NaN,NaN,74,75,NaN,75,NaN,74,74,74,NaN,78,96,95,NaN,80,NaN,NaN,100,NaN,NaN,NaN,79,NaN,78,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410028,NaN,NaN,73,69,NaN,NaN,NaN,69,NaN,78,NaN,NaN,NaN,NaN,74,NaN,61,NaN,61,NaN,NaN,NaN,60,NaN,71,66,NaN,75,NaN,90,74,NaN,72,61,NaN,83,NaN,60,NaN,83,78,NaN,86,65,81,94,82,80,93,NaN,NaN,NaN,89,87,NaN,NaN,NaN,78,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401410029,NaN,NaN,64,75,NaN,75,NaN,NaN,NaN,NaN,69,60,NaN,NaN,NaN,55,74,NaN,51,NaN,74,NaN,NaN,NaN,NaN,83,NaN,61,NaN,95,67,NaN,73,60,11,NaN,64,75,NaN,75,83,34,78,31,86,NaN,77,NaN,NaN,71,65,67,NaN,79,86,NaN,NaN,NaN,NaN,79,NaN,NaN,80,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,85,NaN,77,NaN,NaN,NaN
401410030,NaN,NaN,89,99,NaN,99,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,84,NaN,95,NaN,95,NaN,NaN,NaN,NaN,88,81,86,NaN,72,94,NaN,93,89,NaN,72,NaN,83,NaN,86,83,NaN,95,NaN,95,99,NaN,81,94,89,NaN,NaN,NaN,83,NaN,90,NaN,NaN,NaN,87,NaN,77,NaN,85,NaN,NaN,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410031,NaN,NaN,84,NaN,85,NaN,85,NaN,NaN,NaN,92,84,NaN,NaN,95,NaN,NaN,94,NaN,94,NaN,NaN,NaN,NaN,NaN,90,NaN,100,NaN,97,83,98,NaN,94,NaN,75,99,78,79,NaN,NaN,98,94,NaN,90,78,84,NaN,NaN,88,NaN,NaN,NaN,80,NaN,NaN,NaN,86,91,NaN,NaN,93,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401410033,NaN,NaN,70,NaN,69,NaN,69,NaN,NaN,NaN,82,NaN,76,NaN,62,NaN,NaN,83,NaN,83,NaN,NaN,NaN,NaN,82,76,NaN,61,94,NaN,71,66,NaN,82,NaN,70,NaN,73,82,NaN,NaN,79,71,57,60,50,72,77,NaN,73,NaN,67,NaN,87,72,NaN,NaN,63,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,NaN,NaN,72,NaN,NaN,NaN
401410034,NaN,NaN,89,77,NaN,77,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,82,96,NaN,96,NaN,NaN,NaN,NaN,88,NaN,78,NaN,92,82,NaN,94,92,NaN,89,NaN,NaN,85,89,76,NaN,86,NaN,95,78,NaN,NaN,85,88,NaN,NaN,87,82,NaN,100,NaN,NaN,NaN,89,NaN,82,NaN,83,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410035,NaN,NaN,79,99,NaN,99,NaN,NaN,NaN,NaN,79,NaN,84,NaN,90,NaN,93,NaN,93,NaN,NaN,NaN,NaN,NaN,91,80,NaN,100,93,NaN,89,NaN,94,94,NaN,NaN,NaN,88,90,NaN,86,NaN,91,81,NaN,89,85,99,98,NaN,92,92,NaN,100,NaN,NaN,NaN,80,NaN,85,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410036,NaN,NaN,73,NaN,63,NaN,63,NaN,NaN,NaN,64,NaN,NaN,NaN,68,NaN,NaN,71,NaN,71,NaN,NaN,62,NaN,NaN,66,NaN,82,NaN,84,62,NaN,62,78,NaN,80,73,79,87,NaN,77,NaN,81,78,NaN,NaN,82,93,NaN,73,NaN,77,NaN,95,NaN,NaN,NaN,79,NaN,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410037,NaN,NaN,96,99,NaN,NaN,NaN,93,NaN,NaN,87,84,NaN,NaN,95,NaN,87,NaN,87,NaN,NaN,NaN,NaN,NaN,83,94,NaN,99,88,NaN,91,93,NaN,83,NaN,NaN,NaN,82,NaN,84,89,NaN,90,95,NaN,67,95,99,99,NaN,86,99,NaN,100,NaN,NaN,NaN,93,NaN,88,NaN,84,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
401410038,NaN,NaN,70,NaN,61,NaN,61,NaN,NaN,NaN,63,NaN,NaN,NaN,48,65,NaN,60,NaN,60,NaN,NaN,84,NaN,NaN,69,NaN,77,86,NaN,79,NaN,65,75,NaN,80,60,60,79,NaN,69,NaN,82,74,80,NaN,77,84,NaN,76,NaN,NaN,NaN,87,83,NaN,NaN,72,NaN,77,NaN,NaN,90,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410039,NaN,NaN,73,NaN,66,NaN,NaN,NaN,66,NaN,64,86,NaN,NaN,NaN,66,NaN,9,NaN,NaN,NaN,9,NaN,NaN,NaN,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410040,NaN,NaN,77,NaN,76,NaN,NaN,NaN,76,71,NaN,NaN,NaN,NaN,66,NaN,NaN,77,NaN,77,NaN,NaN,76,NaN,86,68,NaN,68,NaN,96,79,NaN,73,62,NaN,83,NaN,72,79,NaN,NaN,72,80,80,NaN,67,68,84,NaN,86,NaN,80,NaN,91,78,NaN,NaN,NaN,NaN,84,15,NaN,95,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410041,NaN,NaN,85,89,NaN,89,NaN,NaN,NaN,87,NaN,NaN,87,NaN,92,NaN,82,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,100,94,NaN,80,91,NaN,98,NaN,NaN,96,96,83,NaN,NaN,86,86,77,91,NaN,85,100,NaN,93,90,82,NaN,87,89,NaN,81,76,NaN,86,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410043,NaN,NaN,85,84,NaN,NaN,NaN,84,NaN,79,NaN,NaN,84,NaN,86,NaN,77,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,84,87,NaN,65,NaN,73,71,NaN,NaN,82,83,79,NaN,79,NaN,68,74,81,73,76,88,NaN,77,70,NaN,NaN,79,NaN,NaN,NaN,83,79,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410044,NaN,NaN,75,NaN,80,NaN,NaN,NaN,80,NaN,92,NaN,NaN,NaN,NaN,80,NaN,76,NaN,NaN,NaN,76,71,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410045,NaN,NaN,67,75,NaN,75,NaN,NaN,NaN,NaN,70,81,NaN,NaN,NaN,76,68,NaN,68,NaN,NaN,NaN,NaN,NaN,61,77,65,61,94,NaN,67,NaN,63,60,60,65,NaN,60,76,NaN,84,NaN,63,70,NaN,NaN,NaN,62,77,NaN,NaN,75,NaN,80,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
401410046,NaN,NaN,80,NaN,78,NaN,78,NaN,NaN,NaN,84,NaN,NaN,NaN,76,NaN,NaN,91,NaN,91,NaN,NaN,NaN,88,NaN,83,NaN,89,94,NaN,83,80,NaN,66,NaN,78,82,79,84,NaN,78,NaN,88,90,NaN,88,80,NaN,94,77,NaN,NaN,NaN,66,81,NaN,NaN,77,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401410048,NaN,NaN,77,NaN,63,NaN,NaN,NaN,63,NaN,80,NaN,NaN,NaN,70,NaN,NaN,84,NaN,84,NaN,NaN,NaN,69,NaN,80,NaN,79,80,NaN,79,NaN,63,70,NaN,84,64,71,78,NaN,NaN,81,83,65,NaN,67,64,NaN,76,85,NaN,73,NaN,70,NaN,NaN,72,60,73,NaN,70,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410049,NaN,NaN,58,NaN,46,NaN,NaN,NaN,46,NaN,61,NaN,80,0,NaN,45,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410050,NaN,NaN,82,NaN,64,NaN,NaN,NaN,64,NaN,60,NaN,NaN,NaN,10,56,NaN,82,NaN,82,NaN,NaN,68,NaN,NaN,81,NaN,94,81,NaN,70,68,NaN,65,43,94,62,63,82,NaN,73,NaN,87,77,NaN,NaN,67,72,NaN,79,NaN,NaN,NaN,75,82,NaN,NaN,NaN,NaN,65,80,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,89,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
401410053,NaN,NaN,73,NaN,89,NaN,89,NaN,NaN,NaN,61,85,NaN,NaN,NaN,70,NaN,79,NaN,NaN,NaN,79,NaN,NaN,70,75,NaN,69,93,NaN,68,NaN,70,69,NaN,63,51,62,NaN,79,NaN,61,70,59,60,79,68,73,NaN,NaN,NaN,19,NaN,80,75,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
401410054,NaN,NaN,60,41,62,NaN,62,41,NaN,NaN,65,NaN,NaN,NaN,15,75,NaN,71,NaN,71,NaN,NaN,70,NaN,70,75,NaN,80,78,NaN,60,76,16,60,NaN,72,43,71,72,NaN,78,39,69,62,75,75,69,NaN,NaN,80,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN
401410055,NaN,NaN,71,NaN,66,NaN,NaN,NaN,66,NaN,68,NaN,85,NaN,3,62,NaN,60,NaN,60,NaN,NaN,NaN,NaN,74,70,NaN,73,92,NaN,64,63,NaN,60,4,68,43,71,73,NaN,83,51,69,67,69,NaN,66,74,NaN,75,NaN,NaN,NaN,93,63,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410056,NaN,NaN,51,NaN,39,NaN,NaN,NaN,39,NaN,40,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,41,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410058,NaN,NaN,75,NaN,78,NaN,78,NaN,NaN,NaN,79,NaN,NaN,NaN,70,NaN,NaN,77,NaN,77,NaN,NaN,60,NaN,97,74,NaN,77,94,NaN,60,NaN,83,73,NaN,NaN,NaN,83,79,NaN,75,NaN,66,74,92,72,80,91,NaN,75,70,83,NaN,81,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
401410059,NaN,NaN,61,NaN,68,NaN,NaN,NaN,68,NaN,62,NaN,86,NaN,44,NaN,NaN,49,NaN,NaN,NaN,49,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410060,NaN,NaN,68,NaN,63,NaN,63,NaN,NaN,NaN,76,NaN,NaN,NaN,72,NaN,NaN,84,NaN,84,NaN,NaN,NaN,63,60,69,50,71,80,NaN,87,83,NaN,77,NaN,NaN,NaN,81,NaN,79,91,53,67,75,NaN,81,62,82,NaN,82,78,91,91,92,NaN,NaN,NaN,67,NaN,77,67,NaN,90,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN
401410062,NaN,71,60,NaN,60,NaN,NaN,NaN,60,NaN,84,NaN,NaN,84,NaN,77,NaN,24,NaN,NaN,NaN,24,76,NaN,NaN,83,NaN,79,73,NaN,22,NaN,8,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410063,NaN,NaN,72,NaN,76,NaN,NaN,NaN,76,NaN,68,86,NaN,NaN,65,NaN,NaN,67,NaN,NaN,NaN,67,NaN,NaN,71,68,NaN,71,82,NaN,64,NaN,75,60,NaN,NaN,NaN,61,74,NaN,79,NaN,61,62,NaN,62,81,72,NaN,80,73,80,NaN,89,70,NaN,NaN,70,NaN,62,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410064,NaN,NaN,89,99,NaN,99,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,76,97,NaN,97,NaN,NaN,NaN,NaN,70,87,82,NaN,92,90,NaN,91,95,NaN,65,NaN,NaN,NaN,93,94,NaN,85,NaN,93,93,NaN,88,92,NaN,98,NaN,91,77,91,92,NaN,NaN,NaN,95,NaN,86,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410065,NaN,NaN,71,NaN,80,NaN,NaN,NaN,80,74,NaN,NaN,86,NaN,NaN,74,NaN,82,NaN,NaN,NaN,82,NaN,NaN,NaN,84,NaN,67,NaN,89,83,NaN,76,65,NaN,67,73,66,81,NaN,73,NaN,81,85,72,NaN,67,87,NaN,77,NaN,60,NaN,82,64,NaN,80,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401410066,NaN,NaN,66,NaN,67,NaN,67,NaN,NaN,NaN,70,NaN,NaN,NaN,67,NaN,85,59,85,59,NaN,0,84,NaN,NaN,75,NaN,87,86,NaN,64,NaN,68,67,NaN,83,73,72,79,NaN,82,NaN,78,91,90,NaN,90,100,95,NaN,NaN,NaN,NaN,100,93,NaN,NaN,81,NaN,82,NaN,NaN,90,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
