id,4100003@計算機概論@1@1,4100004@計算機導論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4100008@程式語言@2@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102068@計算方法概論@2@2,4102085@離散數學@2@1,4103061@數值分析@2@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103001@作業系統概論@1@1,4103055@計算機組織@1@1,4102068@計算方法概論@2@1,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4102161@電腦軟體設計@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104011@影像處理概論@2@1,4104052@嵌入式系統軟體設計與實作@2@1,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102013@機率論@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4102013@機率論@1@1,4103900@工程倫理@2@1,4104801@專題實驗（二）@2@1
401410087,NaN,NaN,70,NaN,82,NaN,82,NaN,NaN,76,NaN,NaN,80,NaN,77,NaN,NaN,81,NaN,81,NaN,NaN,NaN,NaN,NaN,81,NaN,66,NaN,92,73,60,NaN,64,60,78,69,63,NaN,79,75,38,60,65,77,46,NaN,81,NaN,NaN,NaN,68,NaN,81,NaN,61,NaN,72,NaN,79,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN
401410088,NaN,NaN,69,83,49,83,NaN,NaN,49,NaN,61,NaN,NaN,NaN,NaN,68,NaN,99,NaN,99,NaN,6,NaN,70,NaN,85,NaN,100,NaN,86,87,NaN,95,86,NaN,96,81,81,NaN,81,85,NaN,85,87,76,NaN,87,92,NaN,NaN,NaN,95,NaN,90,NaN,NaN,NaN,83,NaN,81,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410089,NaN,NaN,94,NaN,89,NaN,NaN,NaN,89,80,NaN,NaN,86,NaN,62,NaN,NaN,87,NaN,NaN,NaN,87,NaN,NaN,67,99,NaN,75,NaN,97,76,82,NaN,60,60,NaN,NaN,76,NaN,90,70,NaN,80,62,NaN,44,NaN,68,82,NaN,62,NaN,NaN,76,76,77,60,71,NaN,73,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410090,NaN,NaN,83,NaN,79,NaN,NaN,NaN,79,74,NaN,NaN,NaN,NaN,73,NaN,NaN,91,NaN,91,NaN,NaN,NaN,66,78,66,NaN,64,77,NaN,66,NaN,79,62,NaN,90,NaN,73,79,NaN,NaN,89,84,65,24,64,69,NaN,91,77,NaN,85,NaN,71,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410091,NaN,NaN,85,89,NaN,89,NaN,NaN,NaN,93,NaN,NaN,84,NaN,98,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,94,100,88,92,NaN,98,NaN,87,95,78,97,93,89,84,NaN,NaN,89,99,98,99,85,NaN,99,96,92,NaN,98,NaN,89,97,97,100,90,96,NaN,94,NaN,80,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN
401410092,NaN,NaN,66,NaN,63,NaN,63,NaN,NaN,NaN,66,NaN,NaN,NaN,48,65,NaN,67,NaN,67,NaN,NaN,NaN,60,71,69,NaN,70,92,NaN,75,NaN,63,73,NaN,81,NaN,73,79,NaN,70,NaN,76,80,78,NaN,70,79,81,69,NaN,NaN,NaN,91,NaN,NaN,NaN,82,NaN,78,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410093,NaN,NaN,60,33,NaN,NaN,NaN,33,NaN,NaN,44,83,NaN,NaN,43,NaN,NaN,24,NaN,24,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410094,NaN,NaN,61,NaN,61,NaN,61,NaN,NaN,49,76,NaN,NaN,NaN,17,NaN,71,3,71,3,NaN,NaN,NaN,-1,5,-1,NaN,74,NaN,64,60,60,NaN,72,69,68,-1,-1,NaN,73,75,NaN,85,-1,NaN,-1,53,71,NaN,77,NaN,60,NaN,76,24,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,90,63,NaN,NaN,NaN,-1,NaN
401410096,NaN,NaN,60,NaN,67,NaN,67,NaN,NaN,NaN,72,NaN,NaN,NaN,40,60,NaN,65,NaN,65,NaN,NaN,NaN,63,NaN,65,NaN,75,80,NaN,79,NaN,68,63,NaN,82,60,60,78,NaN,71,NaN,75,56,66,NaN,72,76,86,NaN,NaN,NaN,NaN,80,60,NaN,NaN,71,NaN,66,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410098,NaN,NaN,73,87,NaN,87,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,64,NaN,66,NaN,NaN,NaN,66,NaN,NaN,68,69,87,NaN,81,NaN,96,79,NaN,75,65,NaN,NaN,NaN,64,NaN,88,73,NaN,83,70,90,83,77,84,NaN,76,62,77,91,93,NaN,NaN,NaN,82,69,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
401410099,NaN,NaN,78,NaN,66,NaN,NaN,NaN,66,NaN,83,NaN,86,NaN,74,NaN,NaN,79,NaN,NaN,NaN,79,NaN,NaN,NaN,82,NaN,85,NaN,83,78,NaN,69,83,NaN,85,75,69,73,NaN,76,NaN,63,75,NaN,70,82,89,NaN,81,NaN,NaN,NaN,96,NaN,NaN,83,79,NaN,80,67,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410103,NaN,NaN,71,NaN,63,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,61,NaN,NaN,-1,60,-1,NaN,NaN,95,87,62,NaN,68,NaN,39,NaN,-1,80,NaN,61,28,-1,-1,NaN,-1,13,41,NaN,NaN,67,NaN,75,84,12,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,29,-1,NaN
401410106,NaN,NaN,50,NaN,32,NaN,NaN,NaN,32,60,NaN,NaN,NaN,NaN,NaN,50,10,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,58,NaN,0,85,NaN,NaN,NaN,NaN,18,NaN,NaN,NaN,29,NaN,77,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410102,NaN,NaN,NaN,NaN,77,NaN,77,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,57,NaN,75,NaN,75,NaN,NaN,NaN,NaN,NaN,69,NaN,73,NaN,78,57,NaN,NaN,65,NaN,NaN,NaN,49,NaN,NaN,NaN,52,41,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410104,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,85,64,NaN,61,NaN,NaN,NaN,61,NaN,93,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,65,75,94,NaN,64,NaN,72,80,60,72,69,NaN,NaN,NaN,NaN,69,NaN,60,34,9,NaN,61,75,65,25,NaN,NaN,84,NaN,87,NaN,60,NaN,72,NaN,NaN,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410105,NaN,NaN,73,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,56,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,60,32,61,NaN,94,70,60,NaN,NaN,60,62,61,65,89,NaN,91,43,76,77,66,NaN,NaN,77,81,68,33,NaN,NaN,78,66,NaN,NaN,64,NaN,73,NaN,NaN,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN
401410107,NaN,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,10,NaN,NaN,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,NaN,60,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
