id,4101031@蝔?閮剛?嚗?嚗1@2,4101033@蝔?閮剛?撖衣?嚗?嚗1@4,4101013@璈?隢2@2,4101032@蝔?閮剛?嚗?嚗2@2,4101034@蝔?閮剛?撖衣?嚗?嚗2@4,4102085@?Ｘ?詨飛@2@1,4101031@蝔?閮剛?嚗?嚗1@1,4101033@蝔?閮剛?撖衣?嚗?嚗1@1,4101033@蝔?閮剛?撖衣?嚗?嚗1@3,4101155@蝺找誨?睹1@1,4101155@蝺找誨?睹1@2,4101888@摮貊頂??摮貊?@1@1,4102001@?訾??餃?摮睹1@1,4102003@?訾??餃?摮詨祕撽1@1,4102050@蝯?隤?@1@1,4102062@鞈?蝯?@1@1,4102090@撌亦??詨飛@1@1,4103022@頠?撌亦?@1@1,4101013@璈?隢2@1,4101034@蝔?閮剛?撖衣?嚗?嚗2@2,4102068@閮??寞?璁?@2@1,4102068@閮??寞?璁?@2@2,4102100@?訾?蝟餌絞撠?@2@1,4102130@?訾?蝟餌絞撠?撖阡?@2@1,4102130@?訾?蝟餌絞撠?撖阡?@2@2,4102150@蝟餌絞蝔?@2@1,4102150@蝟餌絞蝔?@2@2,4102160@?拐辣撠?蝔?閮剛?@2@1,4103039@?餉蝬脰楝璁?@2@1,4101012@鞈?璁?@1@1,4101033@蝔?閮剛?撖衣?嚗?嚗1@2,4103001@雿平蝟餌絞璁?@1@2,4103020@蝔?隤?撠?@1@1,4103026@憭?擃?銵?隢1@1,4103055@閮?璈?蝜1@1,4103055@閮?璈?蝜1@2,4103066@鈭箏極?箸撠?@1@1,4103800@鞈?撌亦???@1@1,4101032@蝔?閮剛?嚗?嚗2@1,4101034@蝔?閮剛?撖衣?嚗?嚗2@3,4102013@璈?隢2@1,4102160@?拐辣撠?蝔?閮剛?@2@2,4102170@蝯梯?摮睹2@1,4103095@Java蝔?閮剛?嚗?璆剛?撋撘頂蝯娼2@1,4104005@蝺刻陌?刻身閮2@2,4104800@撠?撖阡?嚗?嚗2@1,4104800@撠?撖阡?嚗?嚗2@3,4103001@雿平蝟餌絞璁?@1@1,4104801@撠?撖阡?嚗?嚗1@3,4104801@撠?撖阡?嚗?嚗1@4,4103900@撌亦??怎?@2@1,4104005@蝺刻陌?刻身閮2@1
402530048,NaN,NaN,NaN,NaN,NaN,73,99,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,99,NaN,92,NaN,NaN,NaN,NaN,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402530009,NaN,NaN,NaN,76,76,82,93,93,NaN,NaN,86,NaN,88,85,84,NaN,76,86,NaN,NaN,-1,NaN,-1,NaN,82,NaN,64,NaN,62,NaN,NaN,NaN,81,69,NaN,86,62,96,NaN,NaN,81,71,NaN,NaN,NaN,-1,NaN,73,NaN,NaN,NaN,-1
402530016,NaN,NaN,89,84,NaN,91,95,NaN,95,NaN,85,79,100,86,88,100,92,97,NaN,84,NaN,96,80,NaN,95,99,NaN,92,80,NaN,NaN,87,100,NaN,NaN,94,91,97,NaN,NaN,NaN,NaN,95,95,85,90,NaN,NaN,NaN,93,NaN,NaN
402530018,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,66,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530028,NaN,NaN,NaN,NaN,NaN,NaN,55,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530039,NaN,NaN,NaN,85,NaN,NaN,99,NaN,99,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,90,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530046,NaN,NaN,NaN,78,NaN,93,82,NaN,82,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,86,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530020,NaN,NaN,NaN,NaN,NaN,82,99,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530035,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530045,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
