id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102062@資料結構@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4101031@程式設計（一）@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103069@易數邏輯@1@1,4102013@機率論@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103039@電腦網路概論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4102013@機率論@1@1,4102013@機率論@1@2,4103001@作業系統概論@1@1,4103022@軟體工程@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103900@工程倫理@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5
403410012,75,89,89,NaN,NaN,NaN,NaN,82,NaN,NaN,91,70,NaN,76,NaN,NaN,NaN,76,NaN,71,NaN,82,NaN,92,NaN,87,73,NaN,86,85,NaN,NaN,NaN,60,73,NaN,87,NaN,84,NaN,66,77,NaN,NaN,NaN,NaN,-1,NaN,NaN,85,81,NaN,81,NaN,98,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
403410013,83,86,NaN,86,NaN,NaN,NaN,64,83,NaN,69,64,NaN,NaN,77,NaN,77,NaN,NaN,NaN,NaN,60,NaN,72,71,NaN,60,39,63,NaN,NaN,NaN,-1,NaN,-1,83,NaN,75,NaN,NaN,77,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,80,85,NaN,79,NaN,92,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
403410014,82,92,NaN,NaN,92,NaN,NaN,72,NaN,NaN,NaN,62,NaN,NaN,83,NaN,83,NaN,NaN,65,NaN,65,NaN,38,NaN,74,39,52,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403410015,72,74,NaN,74,NaN,NaN,NaN,63,84,NaN,NaN,64,NaN,74,NaN,74,NaN,NaN,NaN,NaN,NaN,74,NaN,72,NaN,79,75,64,60,83,74,NaN,NaN,78,71,NaN,87,81,NaN,NaN,71,75,-1,-1,NaN,NaN,-1,NaN,NaN,83,84,NaN,88,65,98,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403410016,84,96,NaN,96,NaN,NaN,85,NaN,NaN,NaN,NaN,61,NaN,NaN,85,NaN,85,NaN,NaN,79,NaN,73,NaN,92,95,NaN,86,91,85,NaN,NaN,NaN,NaN,81,75,NaN,90,86,NaN,NaN,81,NaN,-1,-1,NaN,NaN,82,NaN,NaN,90,81,NaN,84,NaN,98,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403410017,80,80,80,45,NaN,NaN,NaN,62,80,NaN,NaN,34,NaN,63,NaN,63,NaN,NaN,NaN,NaN,NaN,73,NaN,39,NaN,72,33,13,29,NaN,NaN,51,NaN,37,NaN,83,NaN,67,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403410019,78,61,NaN,NaN,61,NaN,NaN,58,83,NaN,NaN,NaN,45,NaN,NaN,NaN,NaN,NaN,19,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403410020,88,99,NaN,NaN,99,NaN,NaN,95,NaN,NaN,NaN,94,NaN,NaN,88,NaN,NaN,NaN,88,68,NaN,97,NaN,100,NaN,87,98,100,99,NaN,NaN,NaN,99,NaN,93,NaN,88,100,NaN,NaN,95,92,-1,-1,-1,NaN,NaN,NaN,NaN,99,95,NaN,93,90,97,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
403410021,85,99,NaN,99,NaN,NaN,NaN,95,85,NaN,80,90,NaN,99,NaN,99,NaN,NaN,NaN,NaN,NaN,84,NaN,100,NaN,95,88,NaN,68,89,NaN,NaN,88,NaN,82,NaN,91,88,NaN,NaN,86,NaN,-1,NaN,NaN,NaN,81,NaN,NaN,84,86,88,NaN,82,90,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
403410022,73,91,NaN,91,NaN,NaN,NaN,86,NaN,NaN,NaN,70,NaN,NaN,80,NaN,80,NaN,NaN,NaN,65,83,NaN,95,NaN,87,77,65,64,76,78,NaN,NaN,89,69,NaN,87,84,NaN,NaN,71,77,NaN,-1,NaN,NaN,NaN,NaN,NaN,83,80,NaN,74,60,92,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403410023,87,70,NaN,NaN,70,NaN,NaN,66,NaN,67,NaN,NaN,67,NaN,78,NaN,78,NaN,NaN,NaN,NaN,77,NaN,97,NaN,76,66,75,78,87,NaN,NaN,NaN,66,68,NaN,86,91,NaN,NaN,82,NaN,-1,NaN,-1,89,NaN,NaN,NaN,73,77,NaN,81,71,95,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410024,76,96,NaN,96,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,65,NaN,85,NaN,NaN,NaN,85,NaN,65,69,NaN,69,79,NaN,60,79,60,NaN,NaN,NaN,NaN,77,-1,83,NaN,66,NaN,NaN,80,70,-1,-1,NaN,NaN,-1,NaN,NaN,72,79,NaN,83,73,96,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403410025,72,74,NaN,NaN,74,NaN,66,NaN,NaN,84,NaN,NaN,73,74,NaN,NaN,NaN,74,NaN,NaN,NaN,81,NaN,71,NaN,78,60,57,67,NaN,NaN,NaN,NaN,62,71,NaN,85,NaN,86,NaN,66,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,76,89,63,NaN,67,97,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
403410026,82,76,NaN,76,48,NaN,85,NaN,NaN,NaN,NaN,73,NaN,62,NaN,NaN,NaN,62,NaN,77,NaN,65,NaN,72,81,NaN,60,30,64,NaN,NaN,NaN,69,NaN,72,83,NaN,NaN,73,69,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,72,NaN,NaN,77,60,95,72,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
403410027,82,99,NaN,NaN,99,NaN,77,NaN,84,NaN,NaN,91,NaN,93,NaN,NaN,NaN,93,NaN,NaN,NaN,80,NaN,84,NaN,88,84,88,71,NaN,NaN,NaN,NaN,71,78,NaN,90,NaN,89,NaN,86,80,-1,NaN,-1,NaN,NaN,NaN,NaN,87,84,NaN,79,75,93,82,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
403410028,61,56,NaN,56,60,NaN,NaN,68,NaN,NaN,17,60,NaN,60,NaN,60,NaN,NaN,NaN,NaN,71,66,60,61,NaN,87,60,NaN,78,NaN,NaN,NaN,11,-1,-1,90,NaN,69,NaN,-1,49,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,49,NaN,NaN,64,NaN,98,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
403410029,80,74,NaN,NaN,74,NaN,72,NaN,NaN,79,NaN,NaN,68,69,NaN,69,NaN,NaN,NaN,NaN,NaN,69,NaN,71,NaN,80,73,69,69,NaN,86,NaN,NaN,75,74,90,NaN,82,NaN,NaN,71,74,NaN,-1,-1,82,-1,NaN,NaN,75,83,64,NaN,63,96,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
403410030,60,98,98,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,35,60,NaN,60,NaN,NaN,NaN,NaN,60,-1,NaN,86,72,NaN,NaN,76,67,NaN,NaN,79,-1,NaN,68,NaN,85,NaN,66,82,NaN,71,-1,-1,-1,NaN,NaN,NaN,NaN,78,71,66,NaN,NaN,93,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
403410031,66,75,NaN,NaN,75,NaN,60,NaN,NaN,76,70,66,NaN,NaN,72,NaN,72,NaN,NaN,NaN,NaN,67,NaN,75,87,NaN,74,NaN,88,74,NaN,NaN,NaN,72,67,83,NaN,71,NaN,-1,50,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,73,NaN,70,NaN,61,92,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
403410032,65,64,NaN,64,NaN,NaN,66,NaN,NaN,NaN,NaN,52,NaN,NaN,66,NaN,NaN,NaN,66,NaN,67,60,NaN,82,74,NaN,60,41,61,77,NaN,76,NaN,70,66,78,NaN,63,NaN,76,NaN,74,-1,NaN,-1,NaN,-1,NaN,NaN,74,77,NaN,79,63,90,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
403410033,99,99,NaN,NaN,99,NaN,100,NaN,87,NaN,NaN,85,NaN,NaN,98,NaN,98,NaN,NaN,NaN,NaN,88,NaN,93,95,NaN,91,100,81,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,99,92,NaN,NaN,99,97,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403410034,83,99,99,NaN,NaN,NaN,NaN,83,NaN,NaN,100,90,NaN,NaN,99,NaN,99,NaN,NaN,76,NaN,91,NaN,81,80,NaN,93,NaN,86,NaN,NaN,NaN,87,NaN,-1,84,NaN,95,NaN,NaN,89,-1,80,-1,93,NaN,NaN,NaN,NaN,79,90,NaN,85,94,93,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410035,71,71,71,NaN,NaN,NaN,NaN,75,88,NaN,81,NaN,56,NaN,69,NaN,69,NaN,NaN,NaN,NaN,64,NaN,29,79,NaN,68,NaN,78,81,NaN,83,63,NaN,64,84,NaN,NaN,74,NaN,74,79,-1,-1,NaN,NaN,-1,NaN,NaN,75,NaN,NaN,80,NaN,96,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
403410036,73,68,NaN,NaN,68,NaN,NaN,68,NaN,NaN,65,75,NaN,NaN,63,NaN,63,NaN,NaN,NaN,66,68,NaN,89,66,NaN,42,10,60,80,NaN,NaN,77,NaN,66,NaN,66,NaN,69,80,NaN,77,-1,NaN,-1,NaN,NaN,NaN,NaN,63,71,70,NaN,NaN,95,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
403410037,100,99,NaN,99,NaN,NaN,NaN,95,NaN,81,NaN,99,NaN,98,NaN,NaN,NaN,98,NaN,NaN,NaN,100,NaN,100,NaN,73,94,100,99,97,NaN,NaN,99,NaN,99,NaN,94,NaN,94,99,NaN,87,-1,NaN,-1,NaN,-1,NaN,NaN,97,85,NaN,89,87,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403410038,75,93,93,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,82,NaN,NaN,84,NaN,84,NaN,NaN,70,NaN,82,NaN,97,95,NaN,69,83,88,91,NaN,NaN,90,NaN,84,89,NaN,85,NaN,NaN,83,NaN,-1,NaN,NaN,77,94,NaN,NaN,83,86,98,NaN,94,97,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
403410039,82,68,68,NaN,NaN,NaN,NaN,75,NaN,82,NaN,84,NaN,81,NaN,NaN,NaN,81,NaN,NaN,NaN,75,NaN,85,NaN,88,75,88,89,88,86,NaN,NaN,76,74,NaN,94,85,NaN,NaN,80,85,NaN,NaN,-1,NaN,-1,NaN,NaN,88,85,NaN,90,80,98,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
